Assembly_No,TCPD_Prof_Main,MLAs_var
14,Agricultural Labour,1
14,Agriculture,53
14,Business,71
14,Education,2
14,Former Government,1
14,Liberal Profession or Professional,7
14,Other,24
14,Politics,6
14,Retired or Pension,6
14,Salaried Work or Employed,4
14,Small Business or Self-employed,1
14,Social Work,6
13,Agriculture,64
13,Business,67
13,Education,2
13,Liberal Profession or Professional,7
13,Other,23
13,Politics,7
13,Retired or Pension,1
13,Salaried Work or Employed,2
13,Small Business or Self-employed,2
13,Social Work,5
13,Unknown,2
12,Agriculture,58
12,Business,42
12,Education,1
12,Liberal Profession or Professional,8
12,Other,29
12,Politics,4
12,Retired or Pension,3
12,Salaried Work or Employed,1
12,Small Business or Self-employed,1
12,Social Work,13
12,Unknown,22
11,Other,178
11,Unknown,4
