Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct
14,1621,126,73,182,25,6,201,1378,107,136,86,72,2022,13,181,0,8,7,165,14,2,5,5,0,0,AAAP,3.48,#87CEEB,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/8),5.81
14,1621,126,73,182,25,6,201,1378,107,136,86,72,2022,706,13,0,0,0,12,0,1,0,0,0,0,AIMIM,0,#285B35,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,1621,126,73,182,25,6,201,1378,107,136,86,72,2022,25139,4,0,0,0,4,0,0,0,0,0,0,Aadi Bharat Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,1621,126,73,182,25,6,201,1378,107,136,86,72,2022,268,2,0,0,0,2,0,0,0,0,0,0,Akhil Bharat Hindu Mahasabha,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,1621,126,73,182,25,6,201,1378,107,136,86,72,2022,662,1,0,0,0,1,0,0,0,0,0,0,All India Hindustan Congress Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,1621,126,73,182,25,6,201,1378,107,136,86,72,2022,25151,1,0,0,0,1,0,0,0,0,0,0,Apni Janta Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,1621,126,73,182,25,6,201,1378,107,136,86,72,2022,1605,182,72,8,95,77,30,75,74,64,62,5,BJP,47.26,#ff9933,57.14,72 (57.14%),86.11,86.11% (62/72),62.5,62.5% (5/8),86.05
14,1621,126,73,182,25,6,201,1378,107,136,86,72,2022,16651,101,0,0,7,92,8,1,0,0,0,0,BSP,3.48,#003399,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,1621,126,73,182,25,6,201,1378,107,136,86,72,2022,25141,4,0,1,1,3,0,1,0,0,0,0,Bahujan RepublicanSocialist Party,0.5,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
14,1621,126,73,182,25,6,201,1378,107,136,86,72,2022,1267,1,0,0,0,1,0,0,0,0,0,0,Bahujan Suraksha Dal,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,1621,126,73,182,25,6,201,1378,107,136,86,72,2022,15789,2,0,0,0,2,0,0,0,0,0,0,Bharatiya Bahujan Congress,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,1621,126,73,182,25,6,201,1378,107,136,86,72,2022,25142,1,0,0,0,1,0,0,0,0,0,0,Bharatiya Hitrakshak Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,1621,126,73,182,25,6,201,1378,107,136,86,72,2022,9441,5,0,0,1,4,0,1,0,0,0,0,Bharatiya National Janta Dal,0.5,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,1621,126,73,182,25,6,201,1378,107,136,86,72,2022,1771,1,0,0,0,1,0,0,0,0,0,0,Bharatiya Rashtravadi Paksha,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,1621,126,73,182,25,6,201,1378,107,136,86,72,2022,1800,1,0,0,0,1,0,0,0,0,0,0,Bharatiya Republican Paksha,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,1621,126,73,182,25,6,201,1378,107,136,86,72,2022,25140,1,0,0,0,1,0,0,0,0,0,0,Bharatiya Yuva Jan Ekta Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,1621,126,73,182,25,6,201,1378,107,136,86,72,2022,25138,12,0,0,0,12,0,0,0,0,0,0,Bhartiya Jan Parishad,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,1621,126,73,182,25,6,201,1378,107,136,86,72,2022,25143,1,0,0,0,1,0,0,0,0,0,0,Bhartiya Nagrik Suraksha Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,1621,126,73,182,25,6,201,1378,107,136,86,72,2022,2055,26,0,1,0,25,0,1,0,0,0,0,Bhartiya Tribal Party,0,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
14,1621,126,73,182,25,6,201,1378,107,136,86,72,2022,2444,3,0,0,0,3,0,0,0,0,0,0,CPI,0,#ff3300,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,1621,126,73,182,25,6,201,1378,107,136,86,72,2022,14635,9,0,0,1,7,0,2,0,0,0,0,Communist Party of India(Marxist),0.5,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,1621,126,73,182,25,6,201,1378,107,136,86,72,2022,2472,3,0,0,0,2,1,0,0,0,0,0,Communist Party of India(Marxist-Leninist)(Liberation),0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,1621,126,73,182,25,6,201,1378,107,136,86,72,2022,2911,1,0,0,0,1,0,0,0,0,0,0,Democratic Bharatiya Samaj Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,1621,126,73,182,25,6,201,1378,107,136,86,72,2022,25144,1,0,0,0,1,0,0,0,0,0,0,Dhanwan Bharat Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
