Assembly_No,MyNeta_education,MLAs_var
13,10th Pass,9
13,12th Pass,15
13,5th Pass,1
13,8th Pass,2
13,Doctorate,2
13,Graduate,27
13,Graduate Professional,17
13,Others,1
13,Post Graduate,14
13,Unknown,2
12,10th Pass,8
12,12th Pass,16
12,8th Pass,4
12,Doctorate,2
12,Graduate,24
12,Graduate Professional,19
12,Illiterate,1
12,Others,1
12,Post Graduate,12
12,Unknown,3
11,10th Pass,23
11,12th Pass,4
11,5th Pass,3
11,8th Pass,2
11,Doctorate,1
11,Graduate,20
11,Graduate Professional,15
11,Illiterate,1
11,Post Graduate,10
11,Unknown,11
10,10th Pass,13
10,12th Pass,8
10,5th Pass,1
10,8th Pass,6
10,Doctorate,1
10,Graduate,22
10,Graduate Professional,18
10,Illiterate,1
10,Literate,2
10,Others,4
10,Post Graduate,13
10,Unknown,1
