Assembly_No,Total_Candidates,Contesting_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,Recontesting_Candidates,First_Contests,Second_Contests,Multiple_Contests,No_first_time_winners,First_Contest_Winners,Year,Recontesting_Candidates_pct,First_Contests_pct,Second_Contests_pct,Multiple_Contests_pct,Contesting_Incumbents_pct,Successful_Incumbents_pct,No_first_time_winners_pct,First_Contest_Winners_pct,Incumbent_Strike_Rate,Turncoat_Strike_Rate
13,1169,64,30,90,44,14,183,958,91,120,49,27,2019,15.65,81.95,7.78,10.27,71.11,33.33,54.44,30,46.88,31.82
12,1351,66,20,90,45,6,222,1039,178,134,60,35,2014,16.43,76.91,13.18,9.92,73.33,22.22,66.67,38.89,30.3,13.33
11,1222,58,26,90,26,5,165,969,123,130,49,38,2009,13.5,79.3,10.07,10.64,64.44,28.89,54.44,42.22,44.83,19.23
10,983,54,16,90,45,9,174,706,141,136,51,28,2005,17.7,71.82,14.34,13.84,60,17.78,56.67,31.11,29.63,20
9,965,67,29,90,59,37,227,673,141,151,42,20,2000,23.52,69.74,14.61,15.65,74.44,32.22,46.67,22.22,43.28,62.71
8,2527,71,18,90,88,26,333,2054,290,183,57,28,1996,13.18,81.28,11.48,7.24,78.89,20,63.33,31.11,25.35,29.55
7,1849,36,7,90,57,12,221,1522,201,126,55,36,1991,11.95,82.31,10.87,6.81,40,7.78,61.11,40,19.44,21.05
6,1322,59,16,90,23,7,194,1066,158,98,65,44,1987,14.67,80.64,11.95,7.41,65.56,17.78,72.22,48.89,27.12,30.43
5,1095,49,21,90,40,19,165,889,136,70,54,35,1982,15.07,81.19,12.42,6.39,54.44,23.33,60,38.89,42.86,47.5
4,671,36,5,90,24,18,81,560,63,48,78,67,1977,12.07,83.46,9.39,7.15,40,5.56,86.67,74.44,13.89,75
3,384,51,29,81,22,14,103,275,105,4,52,29,1972,26.82,71.61,27.34,1.04,62.96,35.8,64.2,35.8,56.86,63.64
2,398,5,3,81,0,0,8,390,8,0,78,76,1968,2.01,97.99,2.01,0,6.17,3.7,96.3,93.83,60,0
1,471,0,0,81,0,0,0,471,0,0,81,81,1967,0,100,0,0,0,0,100,100,0,0
