State_Name,Year,Assembly_No,Party,Total_Seats_in_Assembly,Total_Votes_in_Assembly,Total_Votes_in_Contested_Seats,Total_Candidates,Winners,Deposits_Lost,Strike_Rate,Seat_Share,Vote_Share_in_Assembly,Vote_Share_in_Contested_Seats,position,Expanded_Party_Name
Haryana,2019,13,AAAAP,90,12520177,158755,1,0,1,0.0,0,0,0.13,7,
Haryana,2019,13,AAAP,90,12520177,6521664,46,0,46,0.0,0,0.48,0.92,8,
Haryana,2019,13,ABHM,90,12520177,288945,2,0,2,0.0,0,0,0.14,9,
Haryana,2019,13,ABKMP,90,12520177,169263,1,0,1,0.0,0,0,0.28,10,
Haryana,2019,13,ADBNP,90,12520177,273028,2,0,2,0.0,0,0,0.05,11,
Haryana,2019,13,AIFB,90,12520177,419109,3,0,3,0.0,0,0.01,0.18,12,
Haryana,2019,13,APoI,90,12520177,121981,1,0,1,0.0,0,0,0.2,13,
Haryana,2019,13,AVIRP,90,12520177,122587,1,0,1,0.0,0,0,0.21,14,
Haryana,2019,13,BAHUMP,90,12520177,753883,6,0,6,0.0,0,0.01,0.11,15,
Haryana,2019,13,BC(M),90,12520177,133483,1,0,1,0.0,0,0,0.05,16,
Haryana,2019,13,BHSMWPA,90,12520177,801895,6,0,6,0.0,0,0.01,0.22,17,
Haryana,2019,13,BHTJP,90,12520177,127702,1,0,1,0.0,0,0,0.36,18,
Haryana,2019,13,BJP,90,12520177,12520177,90,40,3,44.44444444444444,44.44,36.49,36.49,1,BHARATIYA JANATA PARTY
Haryana,2019,13,BJSAP,90,12520177,389503,3,0,3,0.0,0,0.01,0.46,19,
Haryana,2019,13,BKNP,90,12520177,771288,6,0,6,0.0,0,0.01,0.24,20,
Haryana,2019,13,BMFP,90,12520177,177622,1,0,1,0.0,0,0,0.07,21,
Haryana,2019,13,BMUP,90,12520177,1288449,9,0,9,0.0,0,0.02,0.18,22,
Haryana,2019,13,BSCP,90,12520177,1651981,11,0,11,0.0,0,0.03,0.22,23,
Haryana,2019,13,BSP,90,12520177,12041556,87,0,82,0.0,0,4.14,4.31,24,BAHUJAN SAMAJ PARTY
Haryana,2019,13,BVD,90,12520177,164482,1,0,1,0.0,0,0,0.15,25,
Haryana,2019,13,BaSaPa,90,12520177,300534,2,0,2,0.0,0,0.01,0.44,26,
Haryana,2019,13,CPI,90,12520177,607017,4,0,4,0.0,0,0.03,0.65,27,COMMUNIST PARTY OF INDIA
Haryana,2019,13,CPI(ML)(L),90,12520177,293684,2,0,2,0.0,0,0.01,0.29,28,
Haryana,2019,13,CPIM,90,12520177,1008466,7,0,7,0.0,0,0.07,0.87,29,
Haryana,2019,13,DSPVAD,90,12520177,121050,1,0,1,0.0,0,0,0.29,30,
Haryana,2019,13,HaLP,90,12520177,733839,5,1,3,20.0,1.11,0.65,11.13,5,
Haryana,2019,13,INC,90,12520177,12520177,90,31,27,34.44444444444444,34.44,28.08,28.08,2,INDIAN NATIONAL CONGRESS
Haryana,2019,13,IND,90,12520177,12520177,377,7,358,1.856763925729443,7.78,9.71,9.71,4,INDEPENDENTS
