State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Haryana,2019,13,1,KALKA,GEN,PARDEEP CHAUDHARY,INC,57948,1,45.26,3,MANVIR KAUR,2,29.9
Haryana,2019,13,1,KALKA,GEN,LATIKA SHARMA,BJP,52017,2,40.63,1,LATIKA SHARMA,-1,0.21
Haryana,2019,13,1,KALKA,GEN,KIRAN CHAUDHARY,JNJP,7739,3,6.04,,,,6.04
Haryana,2019,13,1,KALKA,GEN,SATINDER SINGH,INLD,4963,4,3.88,2,PARDEEP CHAUDHARY,-2,-21.26
Haryana,2019,13,1,KALKA,GEN,ASHWANI NAGRA,BSP,2573,5,2.01,4,SATVINDER SINGH RANA,-1,-5.87
Haryana,2019,13,1,KALKA,GEN,NOTA,NOTA,737,6,0.58,8,None of the Above,2,-0.13
Haryana,2019,13,1,KALKA,GEN,PARVEEN KUMAR,AAAP,446,8,0.35,,,,0.35
Haryana,2019,13,1,KALKA,GEN,CHARAN SINGH,SHPP,394,9,0.31,,,,0.31
Haryana,2019,13,1,KALKA,GEN,MEENAKSHI SHARMA,JanSP,174,11,0.14,,,,0.14
Haryana,2019,13,2,PANCHKULA,GEN,Gian Chand Gupta,BJP,61537,1,48.84,1,GIAN CHAND GUPTA,0,-5.45
Haryana,2019,13,2,PANCHKULA,GEN,Chander Mohan,INC,55904,2,44.37,3,DEVENDER KUMAR BANSAL,1,32.28
Haryana,2019,13,2,PANCHKULA,GEN,Karundeep Chaudhary,INLD,2342,3,1.86,2,KUL BHUSHAN GOYAL,-1,-17.8
Haryana,2019,13,2,PANCHKULA,GEN,NOTA,NOTA,1195,4,0.95,7,None of the Above,3,0.12
Haryana,2019,13,2,PANCHKULA,GEN,Roshan Lal Kocher,BSP,1055,5,0.84,6,VISHAW DEEPAK SHARMA,1,-0.22
Haryana,2019,13,2,PANCHKULA,GEN,Yogeshwar Sharma,AAAP,959,6,0.76,,,,0.76
Haryana,2019,13,2,PANCHKULA,GEN,Manoj Kumar,RtrJP,765,7,0.61,,,,0.61
Haryana,2019,13,2,PANCHKULA,GEN,Ajay Gautam,JNJP,677,8,0.54,,,,0.54
Haryana,2019,13,2,PANCHKULA,GEN,Madhu Anand,SWARAJ,470,9,0.37,,,,0.37
Haryana,2019,13,2,PANCHKULA,GEN,Suresh Kumar,SHPP,96,13,0.08,,,,0.08
Haryana,2019,13,2,PANCHKULA,GEN,Rahul Kumar Sharma,JanSP,78,15,0.06,,,,0.06
Haryana,2019,13,3,NARAINGARH,GEN,SHALLEY,INC,53470,1,39.56,2,RAM KISHAN,1,17.1
Haryana,2019,13,3,NARAINGARH,GEN,SURENDER SINGH,BJP,32870,2,24.32,1,NAYAB SINGH,-1,-15.47
Haryana,2019,13,3,NARAINGARH,GEN,Ram Singh Dhillon,JNJP,18753,3,13.87,,,,13.87
Haryana,2019,13,3,NARAINGARH,GEN,GULSHAN KUMAR,LTSP,15454,4,11.43,,,,11.43
Haryana,2019,13,3,NARAINGARH,GEN,MADAN PAL,BSP,7926,5,5.86,3,RAM SINGH KORWA,-2,-16.01
Haryana,2019,13,3,NARAINGARH,GEN,Jagmal Singh Rolloyo,INLD,2242,6,1.66,4,JAGMAL SINGH ROLLON,-2,-10.32
Haryana,2019,13,3,NARAINGARH,GEN,NOTA,NOTA,508,9,0.38,8,None of the Above,-1,0
Haryana,2019,13,3,NARAINGARH,GEN,SURESH KUMAR PUNIA,AIFB,255,11,0.19,,,,0.19
Haryana,2019,13,3,NARAINGARH,GEN,LAKHVINDER SINGH,BAHUMP,243,12,0.18,,,,0.18
Haryana,2019,13,4,AMBALA CANTT.,GEN,ANIL VIJ,BJP,64571,1,53.04,1,ANIL VIJ,0,0.55
Haryana,2019,13,4,AMBALA CANTT.,GEN,Venu Singla,INC,8534,3,7.01,2,CH. NIRMAL SINGH,-1,-33.3
Haryana,2019,13,4,AMBALA CANTT.,GEN,RAJESH KUMAR,BSP,1938,4,1.59,5,CHARAN SINGH,1,0.89
Haryana,2019,13,4,AMBALA CANTT.,GEN,NOTA,NOTA,1013,5,0.83,4,None of the Above,-1,0.04
Haryana,2019,13,4,AMBALA CANTT.,GEN,SHAILENDAR KUMAR,LTSP,641,6,0.53,,,,0.53
Haryana,2019,13,4,AMBALA CANTT.,GEN,LAkhbir Singh Alias Latika,BJSAP,632,7,0.52,,,,0.52
Haryana,2019,13,5,AMBALA CITY,GEN,Aseem Goel Naneola,BJP,64896,1,42.2,1,ASEEM GOEL,0,4.9
Haryana,2019,13,5,AMBALA CITY,GEN,Jasbir Mallour,INC,20091,3,13.07,3,HIMAT SINGH,0,-8.4
Haryana,2019,13,5,AMBALA CITY,GEN,Harpal Singh Kamboj,JNJP,5711,4,3.71,,,,3.71
Haryana,2019,13,5,AMBALA CITY,GEN,Ravinder Singh,BSP,2890,5,1.88,5,PRITPAL SINGH,0,0.58
Haryana,2019,13,5,AMBALA CITY,GEN,NOTA,NOTA,1484,6,0.97,6,None of the Above,0,0.29
Haryana,2019,13,5,AMBALA CITY,GEN,ANSHUL KUMAR AGGARWAL,AAAP,868,7,0.56,,,,0.56
Haryana,2019,13,5,AMBALA CITY,GEN,SHARAN PAL SACHDEVA,LTSP,585,8,0.38,,,,0.38
Haryana,2019,13,6,MULANA,SC,Varun Chaudhary,INC,67051,1,43.6,3,VARUN CHAUDHARY,2,15.34
Haryana,2019,13,6,MULANA,SC,Rajbir Singh,BJP,65363,2,42.5,1,SANTOSH CHAUHAN SARWAN,-1,10.34
