State_Name,Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Haryana,2019,13,BJP,90,40,3,5.56,44.44,1
Haryana,2019,13,HaLP,5,1,3,0.08,20.0,3
Haryana,2019,13,INC,90,31,27,3.33,34.44,2
Haryana,2019,13,IND,377,7,358,0.16,1.86,5
Haryana,2019,13,INLD,81,1,78,0.1,1.23,6
Haryana,2019,13,JNJP,87,10,57,1.95,11.49,4
Haryana,2014,12,BJP,90,47,12,8.81,52.22,1
Haryana,2014,12,BSP,87,1,81,0.01,1.15,6
Haryana,2014,12,HJCBL,65,2,58,0.39,3.08,5
Haryana,2014,12,INC,90,15,37,1.6,16.67,4
Haryana,2014,12,IND,603,5,587,0.04,0.83,7
Haryana,2014,12,INLD,88,19,23,1.35,21.59,3
Haryana,2014,12,SAD,2,1,1,4.83,50.0,2
Haryana,2009,11,BJP,90,4,72,0.15,4.44,5
Haryana,2009,11,BSP,86,1,78,0.04,1.16,7
Haryana,2009,11,HJCBL,87,6,74,0.35,6.9,4
Haryana,2009,11,INC,90,40,3,6.7,44.44,2
Haryana,2009,11,IND,513,7,493,0.07,1.36,6
Haryana,2009,11,INLD,88,31,24,3.09,35.23,3
Haryana,2009,11,SAD,2,1,0,5.42,50.0,1
Haryana,2005,10,BJP,90,2,75,0.16,2.22,5
Haryana,2005,10,BSP,84,1,82,0.05,1.19,6
Haryana,2005,10,INC,90,67,0,11,74.44,1
Haryana,2005,10,IND,442,10,411,0.16,2.26,4
Haryana,2005,10,INLD,89,9,17,0.89,10.11,2
Haryana,2005,10,NCP,14,1,13,2.03,7.14,3
Haryana,2000,9,BJP,29,6,7,1.32,20.69,3
Haryana,2000,9,BSP,83,1,74,0.04,1.2,8
Haryana,2000,9,HVP,82,2,70,0.34,2.44,6
Haryana,2000,9,INC,90,21,18,2.97,23.33,2
Haryana,2000,9,IND,519,11,483,0.15,2.12,7
Haryana,2000,9,INLD,62,47,1,10.68,75.81,1
Haryana,2000,9,NCP,24,1,23,0.04,4.17,5
Haryana,2000,9,RPI,5,1,4,3.01,20.0,4
Haryana,1996,8,AIIC(T),62,3,56,0.35,4.84,5
Haryana,1996,8,BJP,25,11,3,5.62,44.0,2
Haryana,1996,8,HVP,65,33,7,8.39,50.77,1
Haryana,1996,8,INC,90,9,35,0.72,10.0,4
Haryana,1996,8,IND,1942,10,1921,0.06,0.51,6
Haryana,1996,8,SAP,89,24,32,1.73,26.97,3
Haryana,1991,7,BJP,89,2,70,0.04,2.25,6
Haryana,1991,7,BSP,26,1,22,0.25,3.85,5
Haryana,1991,7,HVP,61,12,32,2.19,19.67,2
Haryana,1991,7,INC,90,51,11,7.64,56.67,1
Haryana,1991,7,IND,1376,5,1361,0.03,0.36,7
Haryana,1991,7,JD,25,3,13,0.92,12.0,4
Haryana,1991,7,JP,88,16,26,1.31,18.18,3
Haryana,1987,6,BJP,20,16,3,17.27,80.0,2
Haryana,1987,6,CPI,5,1,4,3.6,20.0,4
Haryana,1987,6,CPM,4,1,2,4.06,25.0,3
Haryana,1987,6,INC,90,5,8,0.82,5.56,5
Haryana,1987,6,IND,1045,7,1017,0.14,0.67,6
Haryana,1987,6,LKD,69,60,5,24.07,86.96,1
Haryana,1982,5,BJP,24,6,4,1.52,25.0,3
Haryana,1982,5,INC,90,36,1,4.96,40.0,2
Haryana,1982,5,IND,835,16,796,0.16,1.92,4
Haryana,1982,5,JNP,59,1,53,0.01,1.69,5
Haryana,1982,5,LKD,65,31,15,6.78,47.69,1
Haryana,1977,4,INC,83,3,38,0.18,3.61,3
Haryana,1977,4,IND,439,7,390,0.12,1.59,4
Haryana,1977,4,JNP,90,75,3,20.66,83.33,1
Haryana,1977,4,VHP,31,5,19,1.65,16.13,2
Haryana,1972,3,BAS,5,1,1,1.78,20.0,3
Haryana,1972,3,BJS,19,2,4,0.16,10.53,5
Haryana,1972,3,INC,82,52,1,9.44,63.41,1
Haryana,1972,3,IND,207,11,170,0.36,5.31,6
Haryana,1972,3,NCO,24,12,4,3.15,50.0,2
Haryana,1972,3,VHP,15,3,1,2.68,20.0,4
Haryana,1968,2,BJS,44,7,25,1.11,15.91,3
Haryana,1968,2,BKD,10,1,7,0.31,10.0,4
Haryana,1968,2,INC,81,48,0,9.18,59.26,1
Haryana,1968,2,IND,161,6,129,0.32,3.73,7
Haryana,1968,2,RPI,18,1,16,0.77,5.56,6
Haryana,1968,2,SWA,31,2,15,0.87,6.45,5
Haryana,1968,2,VHP,39,16,12,5.18,41.03,2
Haryana,1967,1,BJS,48,12,21,2.44,25.0,2
Haryana,1967,1,INC,81,48,0,7.87,59.26,1
Haryana,1967,1,IND,260,16,196,0.41,6.15,5
Haryana,1967,1,RPI,24,2,20,0.72,8.33,4
Haryana,1967,1,SWA,12,3,7,0.93,25.0,3
