State_Name,Year,Assembly_No,Party,Sub_Region,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Haryana,2019,13,AAAAP,NCR REGION,1,0,1,0,0.0,22
Haryana,2019,13,AAAP,AHIRWAL,4,0,4,0,0.0,23
Haryana,2019,13,AAAP,AMBALA DIVISION,9,0,9,0,0.0,24
Haryana,2019,13,AAAP,JAT LAND,16,0,16,0,0.0,25
Haryana,2019,13,AAAP,JAT SIKH LAND,11,0,11,0,0.0,26
Haryana,2019,13,AAAP,NCR REGION,6,0,6,0,0.0,27
Haryana,2019,13,ABHM,AHIRWAL,1,0,1,0,0.0,28
Haryana,2019,13,ABHM,NCR REGION,1,0,1,0,0.0,29
Haryana,2019,13,ABKMP,NCR REGION,1,0,1,0,0.0,30
Haryana,2019,13,ADBNP,JAT LAND,1,0,1,0,0.0,31
Haryana,2019,13,ADBNP,JAT SIKH LAND,1,0,1,0,0.0,32
Haryana,2019,13,AIFB,AMBALA DIVISION,2,0,2,0,0.0,33
Haryana,2019,13,AIFB,JAT LAND,1,0,1,0,0.0,34
Haryana,2019,13,APoI,JAT LAND,1,0,1,0,0.0,35
Haryana,2019,13,AVIRP,NCR REGION,1,0,1,0,0.0,36
Haryana,2019,13,BAHUMP,AHIRWAL,2,0,2,0,0.0,37
Haryana,2019,13,BAHUMP,AMBALA DIVISION,1,0,1,0,0.0,38
Haryana,2019,13,BAHUMP,JAT LAND,2,0,2,0,0.0,39
Haryana,2019,13,BAHUMP,MEWAT REGION,1,0,1,0,0.0,40
Haryana,2019,13,BC(M),JAT LAND,1,0,1,0,0.0,41
Haryana,2019,13,BHSMWPA,AMBALA DIVISION,1,0,1,0,0.0,42
Haryana,2019,13,BHSMWPA,JAT LAND,4,0,4,0,0.0,43
Haryana,2019,13,BHSMWPA,JAT SIKH LAND,1,0,1,0,0.0,44
Haryana,2019,13,BHTJP,JAT SIKH LAND,1,0,1,0,0.0,45
Haryana,2019,13,BJP,AHIRWAL,10,6,0,9.14,60.0,3
Haryana,2019,13,BJP,AMBALA DIVISION,18,9,1,2.72,50.0,5
Haryana,2019,13,BJP,JAT LAND,29,12,0,6.21,41.38,6
Haryana,2019,13,BJP,JAT SIKH LAND,20,6,1,2.73,30.0,9
Haryana,2019,13,BJP,MEWAT REGION,3,0,0,0,0.0,46
Haryana,2019,13,BJP,NCR REGION,10,7,1,12.57,70.0,2
Haryana,2019,13,BJSAP,AMBALA DIVISION,1,0,1,0,0.0,47
Haryana,2019,13,BJSAP,JAT LAND,2,0,2,0,0.0,48
Haryana,2019,13,BKNP,AHIRWAL,2,0,2,0,0.0,49
Haryana,2019,13,BKNP,JAT SIKH LAND,4,0,4,0,0.0,50
Haryana,2019,13,BMFP,JAT SIKH LAND,1,0,1,0,0.0,51
Haryana,2019,13,BMUP,AHIRWAL,4,0,4,0,0.0,52
Haryana,2019,13,BMUP,JAT LAND,2,0,2,0,0.0,53
Haryana,2019,13,BMUP,JAT SIKH LAND,2,0,2,0,0.0,54
Haryana,2019,13,BMUP,NCR REGION,1,0,1,0,0.0,55
Haryana,2019,13,BSCP,AHIRWAL,2,0,2,0,0.0,56
Haryana,2019,13,BSCP,AMBALA DIVISION,4,0,4,0,0.0,57
Haryana,2019,13,BSCP,JAT LAND,2,0,2,0,0.0,58
Haryana,2019,13,BSCP,JAT SIKH LAND,1,0,1,0,0.0,59
Haryana,2019,13,BSCP,NCR REGION,2,0,2,0,0.0,60
Haryana,2019,13,BSP,AHIRWAL,10,0,9,0,0.0,61
Haryana,2019,13,BSP,AMBALA DIVISION,18,0,17,0,0.0,62
Haryana,2019,13,BSP,JAT LAND,27,0,25,0,0.0,63
Haryana,2019,13,BSP,JAT SIKH LAND,20,0,20,0,0.0,64
Haryana,2019,13,BSP,MEWAT REGION,3,0,3,0,0.0,65
Haryana,2019,13,BSP,NCR REGION,9,0,8,0,0.0,66
Haryana,2019,13,BVD,AMBALA DIVISION,1,0,1,0,0.0,67
Haryana,2019,13,BaSaPa,AHIRWAL,1,0,1,0,0.0,68
Haryana,2019,13,BaSaPa,AMBALA DIVISION,1,0,1,0,0.0,69
Haryana,2019,13,CPI,AMBALA DIVISION,1,0,1,0,0.0,70
Haryana,2019,13,CPI,JAT LAND,2,0,2,0,0.0,71
Haryana,2019,13,CPI,NCR REGION,1,0,1,0,0.0,72
Haryana,2019,13,CPI(ML)(L),JAT SIKH LAND,2,0,2,0,0.0,73
Haryana,2019,13,CPIM,AHIRWAL,1,0,1,0,0.0,74
Haryana,2019,13,CPIM,AMBALA DIVISION,1,0,1,0,0.0,75
Haryana,2019,13,CPIM,JAT LAND,1,0,1,0,0.0,76
Haryana,2019,13,CPIM,JAT SIKH LAND,3,0,3,0,0.0,77
Haryana,2019,13,CPIM,NCR REGION,1,0,1,0,0.0,78
Haryana,2019,13,DSPVAD,JAT LAND,1,0,1,0,0.0,79
Haryana,2019,13,HaLP,JAT SIKH LAND,5,1,3,0.08,20.0,10
Haryana,2019,13,INC,AHIRWAL,10,2,4,1.95,20.0,11
Haryana,2019,13,INC,AMBALA DIVISION,18,6,4,2.35,33.33,8
Haryana,2019,13,INC,JAT LAND,29,15,3,5.36,51.72,4
Haryana,2019,13,INC,JAT SIKH LAND,20,4,12,2.55,20.0,12
Haryana,2019,13,INC,MEWAT REGION,3,3,0,9.7,100.0,1
Haryana,2019,13,INC,NCR REGION,10,1,4,0.2,10.0,14
Haryana,2019,13,IND,AHIRWAL,48,1,46,0.24,2.08,18
Haryana,2019,13,IND,AMBALA DIVISION,56,1,51,0.17,1.79,20
Haryana,2019,13,IND,JAT LAND,107,2,103,0.1,1.87,19
Haryana,2019,13,IND,JAT SIKH LAND,119,1,116,0.11,0.84,21
Haryana,2019,13,IND,MEWAT REGION,10,0,9,0,0.0,80
Haryana,2019,13,IND,NCR REGION,37,2,33,0.42,5.41,17
Haryana,2019,13,INLD,AHIRWAL,10,0,10,0,0.0,81
Haryana,2019,13,INLD,AMBALA DIVISION,15,0,14,0,0.0,82
Haryana,2019,13,INLD,JAT LAND,27,0,26,0,0.0,83
Haryana,2019,13,INLD,JAT SIKH LAND,17,1,16,0.47,5.88,16
Haryana,2019,13,INLD,MEWAT REGION,3,0,3,0,0.0,84
Haryana,2019,13,INLD,NCR REGION,9,0,9,0,0.0,85
Haryana,2019,13,JD(U),JAT LAND,2,0,2,0,0.0,86
Haryana,2019,13,JD(U),NCR REGION,2,0,2,0,0.0,87
Haryana,2019,13,JDKRP,JAT LAND,1,0,1,0,0.0,88
Haryana,2019,13,JMBP,AMBALA DIVISION,2,0,2,0,0.0,89
Haryana,2019,13,JMBP,JAT LAND,5,0,5,0,0.0,90
Haryana,2019,13,JMBP,JAT SIKH LAND,4,0,4,0,0.0,91
Haryana,2019,13,JMBP,NCR REGION,1,0,1,0,0.0,92
Haryana,2019,13,JNJP,AHIRWAL,10,1,3,1.04,10.0,15
Haryana,2019,13,JNJP,AMBALA DIVISION,17,2,14,1.95,11.76,13
Haryana,2019,13,JNJP,JAT LAND,29,0,22,0,0.0,93
Haryana,2019,13,JNJP,JAT SIKH LAND,20,7,8,6.33,35.0,7
Haryana,2019,13,JNJP,MEWAT REGION,3,0,3,0,0.0,94
Haryana,2019,13,JNJP,NCR REGION,8,0,7,0,0.0,95
Haryana,2019,13,JanSP,AMBALA DIVISION,2,0,2,0,0.0,96
Haryana,2019,13,LD,JAT LAND,1,0,1,0,0.0,97
Haryana,2019,13,LTSP,AHIRWAL,5,0,5,0,0.0,98
Haryana,2019,13,LTSP,AMBALA DIVISION,13,0,13,0,0.0,99
Haryana,2019,13,LTSP,JAT LAND,24,0,23,0,0.0,100
Haryana,2019,13,LTSP,JAT SIKH LAND,14,0,14,0,0.0,101
Haryana,2019,13,LTSP,MEWAT REGION,3,0,3,0,0.0,102
Haryana,2019,13,LTSP,NCR REGION,7,0,7,0,0.0,103
Haryana,2019,13,MANAWP,AHIRWAL,1,0,1,0,0.0,104
Haryana,2019,13,MYSP,JAT LAND,2,0,2,0,0.0,105
Haryana,2019,13,NCP,JAT LAND,1,0,1,0,0.0,106
Haryana,2019,13,NNMP,AMBALA DIVISION,3,0,3,0,0.0,107
Haryana,2019,13,NOTA,AHIRWAL,10,0,0,0,0.0,108
Haryana,2019,13,NOTA,AMBALA DIVISION,18,0,0,0,0.0,109
Haryana,2019,13,NOTA,JAT LAND,29,0,0,0,0.0,110
Haryana,2019,13,NOTA,JAT SIKH LAND,20,0,0,0,0.0,111
Haryana,2019,13,NOTA,MEWAT REGION,3,0,0,0,0.0,112
Haryana,2019,13,NOTA,NCR REGION,10,0,0,0,0.0,113
Haryana,2019,13,PPID,AHIRWAL,2,0,2,0,0.0,114
Haryana,2019,13,PPID,AMBALA DIVISION,2,0,2,0,0.0,115
Haryana,2019,13,PPID,JAT LAND,7,0,7,0,0.0,116
Haryana,2019,13,PPID,JAT SIKH LAND,5,0,5,0,0.0,117
Haryana,2019,13,PPID,NCR REGION,1,0,1,0,0.0,118
Haryana,2019,13,RABSP,JAT SIKH LAND,3,0,3,0,0.0,119
Haryana,2019,13,RAM,JAT LAND,1,0,1,0,0.0,120
Haryana,2019,13,RBC,AHIRWAL,1,0,1,0,0.0,121
Haryana,2019,13,RBJJP,NCR REGION,1,0,1,0,0.0,122
Haryana,2019,13,RGD,JAT LAND,1,0,1,0,0.0,123
Haryana,2019,13,RJAVP,JAT LAND,1,0,1,0,0.0,124
Haryana,2019,13,RJP(E),AMBALA DIVISION,1,0,1,0,0.0,125
Haryana,2019,13,RJP(E),JAT LAND,1,0,1,0,0.0,126
Haryana,2019,13,RLKP,JAT SIKH LAND,1,0,1,0,0.0,127
Haryana,2019,13,RMDVP,JAT LAND,1,0,1,0,0.0,128
Haryana,2019,13,RMEP,AHIRWAL,1,0,1,0,0.0,129
Haryana,2019,13,RMPOI,JAT SIKH LAND,1,0,1,0,0.0,130
Haryana,2019,13,RPI,JAT SIKH LAND,1,0,1,0,0.0,131
Haryana,2019,13,RPI(A),AMBALA DIVISION,1,0,1,0,0.0,132
Haryana,2019,13,RPI(A),JAT LAND,1,0,1,0,0.0,133
Haryana,2019,13,RPI(A),NCR REGION,1,0,1,0,0.0,134
Haryana,2019,13,RPPRINAT,JAT LAND,1,0,1,0,0.0,135
Haryana,2019,13,RasLP,AMBALA DIVISION,1,0,1,0,0.0,136
Haryana,2019,13,RasLP,JAT LAND,2,0,2,0,0.0,137
Haryana,2019,13,RasLP,NCR REGION,2,0,2,0,0.0,138
Haryana,2019,13,RtrJP,AHIRWAL,3,0,3,0,0.0,139
Haryana,2019,13,RtrJP,AMBALA DIVISION,1,0,1,0,0.0,140
Haryana,2019,13,RtrJP,JAT LAND,2,0,2,0,0.0,141
Haryana,2019,13,RtrJP,NCR REGION,1,0,1,0,0.0,142
Haryana,2019,13,SAD,AMBALA DIVISION,1,0,1,0,0.0,143
Haryana,2019,13,SAD,JAT SIKH LAND,2,0,1,0,0.0,144
Haryana,2019,13,SAD(M),AMBALA DIVISION,1,0,1,0,0.0,145
Haryana,2019,13,SHPP,AHIRWAL,3,0,3,0,0.0,146
Haryana,2019,13,SHPP,AMBALA DIVISION,8,0,8,0,0.0,147
Haryana,2019,13,SHPP,JAT LAND,8,0,8,0,0.0,148
Haryana,2019,13,SHPP,JAT SIKH LAND,7,0,7,0,0.0,149
Haryana,2019,13,SHPP,MEWAT REGION,2,0,2,0,0.0,150
Haryana,2019,13,SHS,JAT LAND,1,0,1,0,0.0,151
Haryana,2019,13,SHS,JAT SIKH LAND,1,0,1,0,0.0,152
Haryana,2019,13,SHS,NCR REGION,1,0,1,0,0.0,153
Haryana,2019,13,SP,JAT LAND,1,0,1,0,0.0,154
Haryana,2019,13,SP,MEWAT REGION,1,0,1,0,0.0,155
Haryana,2019,13,SP,NCR REGION,2,0,2,0,0.0,156
Haryana,2019,13,SPAKP,JAT SIKH LAND,1,0,1,0,0.0,157
Haryana,2019,13,SUCI(C),AHIRWAL,5,0,5,0,0.0,158
Haryana,2019,13,SUCI(C),AMBALA DIVISION,2,0,2,0,0.0,159
Haryana,2019,13,SUCI(C),JAT LAND,8,0,8,0,0.0,160
Haryana,2019,13,SUCI(C),JAT SIKH LAND,1,0,1,0,0.0,161
Haryana,2019,13,SUCI(C),NCR REGION,2,0,2,0,0.0,162
Haryana,2019,13,SWARAJ,AHIRWAL,6,0,6,0,0.0,163
Haryana,2019,13,SWARAJ,AMBALA DIVISION,3,0,3,0,0.0,164
Haryana,2019,13,SWARAJ,JAT LAND,5,0,5,0,0.0,165
Haryana,2019,13,SWARAJ,JAT SIKH LAND,7,0,7,0,0.0,166
Haryana,2019,13,SWARAJ,MEWAT REGION,2,0,2,0,0.0,167
Haryana,2019,13,SWARAJ,NCR REGION,4,0,4,0,0.0,168
Haryana,2019,13,ToP,JAT LAND,1,0,1,0,0.0,169
Haryana,2019,13,VINPA,AHIRWAL,2,0,2,0,0.0,170
Haryana,2019,13,VIP,MEWAT REGION,1,0,1,0,0.0,171
Haryana,2019,13,VoP,JAT LAND,1,0,1,0,0.0,172
Haryana,2019,13,ZKP,AMBALA DIVISION,2,0,2,0,0.0,173
Haryana,2019,13,sjsp,JAT SIKH LAND,1,0,1,0,0.0,174
Haryana,2014,12,AIFB,JAT LAND,1,0,1,0,0.0,23
Haryana,2014,12,AIFB,NCR REGION,1,0,1,0,0.0,24
Haryana,2014,12,AJNSP,JAT LAND,1,0,1,0,0.0,25
Haryana,2014,12,AVIRP,NCR REGION,1,0,1,0,0.0,26
Haryana,2014,12,BHSMP,AHIRWAL,3,0,3,0,0.0,27
Haryana,2014,12,BHSMP,JAT SIKH LAND,4,0,4,0,0.0,28
Haryana,2014,12,BHSMP,NCR REGION,1,0,1,0,0.0,29
Haryana,2014,12,BIP,JAT LAND,1,0,1,0,0.0,30
Haryana,2014,12,BJP,AHIRWAL,10,7,1,9.52,70.0,3
Haryana,2014,12,BJP,AMBALA DIVISION,18,14,0,10.87,77.78,2
Haryana,2014,12,BJP,JAT LAND,29,15,3,9.34,51.72,7
Haryana,2014,12,BJP,JAT SIKH LAND,20,4,7,1.24,20.0,9
Haryana,2014,12,BJP,MEWAT REGION,3,0,1,0,0.0,31
Haryana,2014,12,BJP,NCR REGION,10,7,0,20.66,70.0,4
Haryana,2014,12,BMUP,AMBALA DIVISION,1,0,1,0,0.0,32
Haryana,2014,12,BMUP,JAT LAND,2,0,2,0,0.0,33
Haryana,2014,12,BMUP,JAT SIKH LAND,1,0,1,0,0.0,34
Haryana,2014,12,BMUP,NCR REGION,1,0,1,0,0.0,35
Haryana,2014,12,BSCP,AMBALA DIVISION,5,0,5,0,0.0,36
Haryana,2014,12,BSP,AHIRWAL,8,0,8,0,0.0,37
Haryana,2014,12,BSP,AMBALA DIVISION,18,0,16,0,0.0,38
Haryana,2014,12,BSP,JAT LAND,29,0,28,0,0.0,39
Haryana,2014,12,BSP,JAT SIKH LAND,19,0,18,0,0.0,40
Haryana,2014,12,BSP,MEWAT REGION,3,0,3,0,0.0,41
Haryana,2014,12,BSP,NCR REGION,10,1,8,0.09,10.0,12
Haryana,2014,12,CPI,AMBALA DIVISION,4,0,4,0,0.0,42
Haryana,2014,12,CPI,JAT LAND,5,0,5,0,0.0,43
Haryana,2014,12,CPI,JAT SIKH LAND,4,0,4,0,0.0,44
Haryana,2014,12,CPI,NCR REGION,1,0,1,0,0.0,45
Haryana,2014,12,CPI(ML)(L),JAT LAND,2,0,2,0,0.0,46
Haryana,2014,12,CPM,AHIRWAL,1,0,1,0,0.0,47
Haryana,2014,12,CPM,AMBALA DIVISION,4,0,4,0,0.0,48
Haryana,2014,12,CPM,JAT LAND,2,0,2,0,0.0,49
Haryana,2014,12,CPM,JAT SIKH LAND,10,0,10,0,0.0,50
Haryana,2014,12,HALP,AHIRWAL,9,0,9,0,0.0,51
Haryana,2014,12,HALP,AMBALA DIVISION,17,0,17,0,0.0,52
Haryana,2014,12,HALP,JAT LAND,22,0,22,0,0.0,53
Haryana,2014,12,HALP,JAT SIKH LAND,18,0,16,0,0.0,54
Haryana,2014,12,HALP,MEWAT REGION,3,0,3,0,0.0,55
Haryana,2014,12,HALP,NCR REGION,6,0,6,0,0.0,56
Haryana,2014,12,HJCBL,AHIRWAL,8,0,7,0,0.0,57
Haryana,2014,12,HJCBL,AMBALA DIVISION,11,0,11,0,0.0,58
Haryana,2014,12,HJCBL,JAT LAND,20,0,20,0,0.0,59
Haryana,2014,12,HJCBL,JAT SIKH LAND,18,2,12,1.42,11.11,11
Haryana,2014,12,HJCBL,MEWAT REGION,1,0,1,0,0.0,60
Haryana,2014,12,HJCBL,NCR REGION,7,0,7,0,0.0,61
Haryana,2014,12,HJCPV,AHIRWAL,2,0,2,0,0.0,62
