Assembly_No,Party_ID,MyNeta_education,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
13,1605,10th Pass,4,40,2019,BJP,10
13,1605,12th Pass,6,40,2019,BJP,15
13,1605,Doctorate,1,40,2019,BJP,2.5
13,1605,Graduate,15,40,2019,BJP,37.5
13,1605,Graduate Professional,7,40,2019,BJP,17.5
13,1605,Post Graduate,6,40,2019,BJP,15
13,1605,Unknown,1,40,2019,BJP,2.5
13,3192,Others,1,1,2019,HaLP,100
13,3482,10th Pass,2,31,2019,INC,6.45
13,3482,12th Pass,5,31,2019,INC,16.13
13,3482,8th Pass,2,31,2019,INC,6.45
13,3482,Doctorate,1,31,2019,INC,3.23
13,3482,Graduate,8,31,2019,INC,25.81
13,3482,Graduate Professional,9,31,2019,INC,29.03
13,3482,Post Graduate,4,31,2019,INC,12.9
13,10809,10th Pass,2,7,2019,IND,28.57
13,10809,12th Pass,1,7,2019,IND,14.29
13,10809,Graduate,1,7,2019,IND,14.29
13,10809,Post Graduate,2,7,2019,IND,28.57
13,10809,Unknown,1,7,2019,IND,14.29
13,3863,10th Pass,1,1,2019,INLD,100
13,18457,12th Pass,3,10,2019,JNJP,30
13,18457,5th Pass,1,10,2019,JNJP,10
13,18457,Graduate,3,10,2019,JNJP,30
13,18457,Graduate Professional,1,10,2019,JNJP,10
13,18457,Post Graduate,2,10,2019,JNJP,20
12,1605,10th Pass,4,47,2014,BJP,8.51
12,1605,12th Pass,9,47,2014,BJP,19.15
12,1605,Doctorate,1,47,2014,BJP,2.13
12,1605,Graduate,14,47,2014,BJP,29.79
12,1605,Graduate Professional,9,47,2014,BJP,19.15
12,1605,Illiterate,1,47,2014,BJP,2.13
12,1605,Others,1,47,2014,BJP,2.13
12,1605,Post Graduate,8,47,2014,BJP,17.02
12,16651,12th Pass,1,1,2014,BSP,100
12,3185,Unknown,2,2,2014,HJCBL,100
12,3482,12th Pass,2,15,2014,INC,13.33
12,3482,8th Pass,1,15,2014,INC,6.67
12,3482,Doctorate,1,15,2014,INC,6.67
12,3482,Graduate,2,15,2014,INC,13.33
12,3482,Graduate Professional,7,15,2014,INC,46.67
12,3482,Post Graduate,2,15,2014,INC,13.33
12,10809,10th Pass,1,5,2014,IND,20
12,10809,12th Pass,1,5,2014,IND,20
12,10809,8th Pass,1,5,2014,IND,20
12,10809,Post Graduate,1,5,2014,IND,20
12,10809,Unknown,1,5,2014,IND,20
12,3863,10th Pass,2,19,2014,INLD,10.53
12,3863,12th Pass,3,19,2014,INLD,15.79
12,3863,8th Pass,2,19,2014,INLD,10.53
12,3863,Graduate,8,19,2014,INLD,42.11
12,3863,Graduate Professional,3,19,2014,INLD,15.79
12,3863,Post Graduate,1,19,2014,INLD,5.26
12,16994,10th Pass,1,1,2014,SAD,100
11,1605,Graduate,2,4,2009,BJP,50
11,1605,Graduate Professional,1,4,2009,BJP,25
11,1605,Post Graduate,1,4,2009,BJP,25
11,16651,Graduate,1,1,2009,BSP,100
11,3185,Unknown,6,6,2009,HJCBL,100
11,3482,10th Pass,8,40,2009,INC,20
11,3482,12th Pass,3,40,2009,INC,7.5
11,3482,8th Pass,1,40,2009,INC,2.5
11,3482,Doctorate,1,40,2009,INC,2.5
11,3482,Graduate,8,40,2009,INC,20
11,3482,Graduate Professional,12,40,2009,INC,30
11,3482,Post Graduate,6,40,2009,INC,15
11,3482,Unknown,1,40,2009,INC,2.5
11,10809,5th Pass,2,7,2009,IND,28.57
11,10809,8th Pass,1,7,2009,IND,14.29
11,10809,Graduate,1,7,2009,IND,14.29
11,10809,Unknown,3,7,2009,IND,42.86
11,3863,10th Pass,14,31,2009,INLD,45.16
11,3863,12th Pass,1,31,2009,INLD,3.23
11,3863,5th Pass,1,31,2009,INLD,3.23
11,3863,Graduate,8,31,2009,INLD,25.81
11,3863,Graduate Professional,2,31,2009,INLD,6.45
11,3863,Illiterate,1,31,2009,INLD,3.23
11,3863,Post Graduate,3,31,2009,INLD,9.68
11,3863,Unknown,1,31,2009,INLD,3.23
11,16994,10th Pass,1,1,2009,SAD,100
10,1605,8th Pass,1,2,2005,BJP,50
10,1605,Graduate Professional,1,2,2005,BJP,50
10,16651,10th Pass,1,1,2005,BSP,100
10,3482,10th Pass,8,67,2005,INC,11.94
10,3482,12th Pass,4,67,2005,INC,5.97
10,3482,5th Pass,1,67,2005,INC,1.49
10,3482,8th Pass,3,67,2005,INC,4.48
10,3482,Doctorate,1,67,2005,INC,1.49
10,3482,Graduate,19,67,2005,INC,28.36
10,3482,Graduate Professional,13,67,2005,INC,19.4
10,3482,Illiterate,1,67,2005,INC,1.49
10,3482,Literate,1,67,2005,INC,1.49
10,3482,Others,4,67,2005,INC,5.97
10,3482,Post Graduate,11,67,2005,INC,16.42
10,3482,Unknown,1,67,2005,INC,1.49
10,10809,10th Pass,3,10,2005,IND,30
10,10809,12th Pass,2,10,2005,IND,20
10,10809,Graduate,2,10,2005,IND,20
10,10809,Graduate Professional,2,10,2005,IND,20
10,10809,Post Graduate,1,10,2005,IND,10
10,3863,10th Pass,1,9,2005,INLD,11.11
10,3863,12th Pass,2,9,2005,INLD,22.22
10,3863,8th Pass,2,9,2005,INLD,22.22
10,3863,Graduate,1,9,2005,INLD,11.11
10,3863,Graduate Professional,2,9,2005,INLD,22.22
10,3863,Literate,1,9,2005,INLD,11.11
10,5792,Post Graduate,1,1,2005,NCP,100
