Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct
13,1169,64,30,90,44,14,183,958,91,120,49,27,2019,24482,1,0,0,1,0,1,0,0,0,0,0,AAAAP,0.55,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,1169,64,30,90,44,14,183,958,91,120,49,27,2019,13,46,0,0,1,45,1,0,0,0,0,0,AAAP,0.55,#87CEEB,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,1169,64,30,90,44,14,183,958,91,120,49,27,2019,268,2,0,0,0,2,0,0,0,0,0,0,ABHM,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,1169,64,30,90,44,14,183,958,91,120,49,27,2019,24486,1,0,0,0,1,0,0,0,0,0,0,ABKMP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,1169,64,30,90,44,14,183,958,91,120,49,27,2019,24479,2,0,0,0,2,0,0,0,0,0,0,ADBNP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,1169,64,30,90,44,14,183,958,91,120,49,27,2019,3040,3,0,0,0,3,0,0,0,0,0,0,AIFB,0,#DA0000,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,1169,64,30,90,44,14,183,958,91,120,49,27,2019,880,1,0,0,0,1,0,0,0,0,0,0,APoI,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,1169,64,30,90,44,14,183,958,91,120,49,27,2019,53,1,0,0,0,1,0,0,0,0,0,0,AVIRP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,1169,64,30,90,44,14,183,958,91,120,49,27,2019,1060,6,0,0,1,5,1,0,0,0,0,0,BAHUMP,0.55,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,1169,64,30,90,44,14,183,958,91,120,49,27,2019,1341,1,0,0,0,0,1,0,0,0,0,0,BC(M),0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,1169,64,30,90,44,14,183,958,91,120,49,27,2019,24489,6,0,0,0,6,0,0,0,0,0,0,BHSMWPA,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,1169,64,30,90,44,14,183,958,91,120,49,27,2019,18464,1,0,0,0,1,0,0,0,0,0,0,BHTJP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,1169,64,30,90,44,14,183,958,91,120,49,27,2019,1605,90,41,15,58,30,24,36,19,14,18,5,BJP,31.69,#ff9933,64.06,41 (64.06%),43.9,43.9% (18/41),33.33,33.33% (5/15),38.78
13,1169,64,30,90,44,14,183,958,91,120,49,27,2019,18782,3,0,0,0,3,0,0,0,0,0,0,BJSAP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,1169,64,30,90,44,14,183,958,91,120,49,27,2019,1979,6,0,0,0,6,0,0,0,0,0,0,BKNP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,1169,64,30,90,44,14,183,958,91,120,49,27,2019,18060,1,0,0,0,1,0,0,0,0,0,0,BMFP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,1169,64,30,90,44,14,183,958,91,120,49,27,2019,1074,9,0,0,0,9,0,0,0,0,0,0,BMUP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,1169,64,30,90,44,14,183,958,91,120,49,27,2019,2047,11,0,1,1,9,2,0,0,0,0,0,BSCP,0.55,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
13,1169,64,30,90,44,14,183,958,91,120,49,27,2019,16651,87,0,0,4,82,4,1,0,0,0,0,BSP,2.19,#003399,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,1169,64,30,90,44,14,183,958,91,120,49,27,2019,2061,1,0,0,0,1,0,0,0,0,0,0,BVD,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,1169,64,30,90,44,14,183,958,91,120,49,27,2019,2038,2,0,0,0,2,0,0,0,0,0,0,BaSaPa,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,1169,64,30,90,44,14,183,958,91,120,49,27,2019,2444,4,0,0,1,3,0,1,0,0,0,0,CPI,0.55,#ff3300,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,1169,64,30,90,44,14,183,958,91,120,49,27,2019,2472,2,0,0,0,2,0,0,0,0,0,0,CPI(ML)(L),0,#9c6f73,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,1169,64,30,90,44,14,183,958,91,120,49,27,2019,14635,7,0,0,0,6,1,0,0,0,0,0,CPIM,0,#cc434f,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,1169,64,30,90,44,14,183,958,91,120,49,27,2019,2893,1,0,0,0,1,0,0,0,0,0,0,DSPVAD,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,1169,64,30,90,44,14,183,958,91,120,49,27,2019,3192,5,0,0,2,3,1,1,0,0,0,0,HaLP,1.09,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,1169,64,30,90,44,14,183,958,91,120,49,27,2019,3482,90,16,10,50,33,15,42,15,8,9,5,INC,27.32,#138808,25,16 (25.0%),56.25,56.25% (9/16),50,50.0% (5/10),30.61
13,1169,64,30,90,44,14,183,958,91,120,49,27,2019,10809,377,4,0,37,335,17,25,7,2,0,0,IND,20.22,#808080,6.25,4 (6.25%),0,0.0% (0/4),nan,nan% (0/0),14.29
