Assembly_No,MyNeta_education,MLAs_var
14,10th Pass,9
14,12th Pass,7
14,Doctorate,2
14,Graduate,16
14,Graduate Professional,15
14,Post Graduate,19
13,10th Pass,10
13,12th Pass,9
13,8th Pass,1
13,Doctorate,2
13,Graduate,18
13,Graduate Professional,12
13,Post Graduate,15
13,Unknown,1
12,10th Pass,4
12,12th Pass,3
12,Doctorate,1
12,Graduate,20
12,Graduate Professional,15
12,Post Graduate,17
12,Unknown,8
11,10th Pass,8
11,12th Pass,9
11,8th Pass,1
11,Doctorate,2
11,Graduate,15
11,Graduate Professional,17
11,Post Graduate,13
11,Unknown,3
