State_Name,Year,Assembly_No,Party,Sub_Region,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Himachal_Pradesh,2022,14,AAAP,BEAS RIVER REGION,38,0,38,0,0.0,10
Himachal_Pradesh,2022,14,AAAP,GREATER HIMALAYAS,2,0,2,0,0.0,11
Himachal_Pradesh,2022,14,AAAP,SHIMLA REGION,8,0,8,0,0.0,12
Himachal_Pradesh,2022,14,AAAP,SHIVALIK REGION,19,0,19,0,0.0,13
Himachal_Pradesh,2022,14,BJP,BEAS RIVER REGION,39,19,0,6.29,48.72,4
Himachal_Pradesh,2022,14,BJP,GREATER HIMALAYAS,2,0,0,0,0.0,14
Himachal_Pradesh,2022,14,BJP,SHIMLA REGION,8,1,0,1.01,12.5,7
Himachal_Pradesh,2022,14,BJP,SHIVALIK REGION,19,5,0,1.56,26.32,6
Himachal_Pradesh,2022,14,BSP,BEAS RIVER REGION,29,0,29,0,0.0,15
Himachal_Pradesh,2022,14,BSP,GREATER HIMALAYAS,1,0,1,0,0.0,16
Himachal_Pradesh,2022,14,BSP,SHIMLA REGION,8,0,8,0,0.0,17
Himachal_Pradesh,2022,14,BSP,SHIVALIK REGION,15,0,15,0,0.0,18
Himachal_Pradesh,2022,14,Bhartiya Veer Dal,BEAS RIVER REGION,1,0,1,0,0.0,19
Himachal_Pradesh,2022,14,CPI,SHIVALIK REGION,1,0,1,0,0.0,20
Himachal_Pradesh,2022,14,Communist Party of India(Marxist),BEAS RIVER REGION,5,0,5,0,0.0,21
Himachal_Pradesh,2022,14,Communist Party of India(Marxist),SHIMLA REGION,4,0,3,0,0.0,22
Himachal_Pradesh,2022,14,Communist Party of India(Marxist),SHIVALIK REGION,2,0,2,0,0.0,23
Himachal_Pradesh,2022,14,Himachal Jan Kranti Party,BEAS RIVER REGION,4,0,4,0,0.0,24
Himachal_Pradesh,2022,14,Himachal Jan Kranti Party,SHIVALIK REGION,2,0,2,0,0.0,25
Himachal_Pradesh,2022,14,Himachal Janta Party,BEAS RIVER REGION,1,0,1,0,0.0,26
Himachal_Pradesh,2022,14,Hindu Samaj Party,BEAS RIVER REGION,3,0,3,0,0.0,27
Himachal_Pradesh,2022,14,INC,BEAS RIVER REGION,39,19,1,4.69,48.72,5
Himachal_Pradesh,2022,14,INC,GREATER HIMALAYAS,2,2,0,12.2,100.0,1
Himachal_Pradesh,2022,14,INC,SHIMLA REGION,8,7,0,13.06,87.5,2
Himachal_Pradesh,2022,14,INC,SHIVALIK REGION,19,12,0,4.04,63.16,3
Himachal_Pradesh,2022,14,IND,BEAS RIVER REGION,60,1,53,0.11,1.67,9
Himachal_Pradesh,2022,14,IND,GREATER HIMALAYAS,1,0,0,0,0.0,28
Himachal_Pradesh,2022,14,IND,SHIMLA REGION,10,0,8,0,0.0,29
Himachal_Pradesh,2022,14,IND,SHIVALIK REGION,28,2,23,1.47,7.14,8
Himachal_Pradesh,2022,14,None of the Above,BEAS RIVER REGION,39,0,0,0,0.0,30
Himachal_Pradesh,2022,14,None of the Above,GREATER HIMALAYAS,2,0,0,0,0.0,31
Himachal_Pradesh,2022,14,None of the Above,SHIMLA REGION,8,0,0,0,0.0,32
Himachal_Pradesh,2022,14,None of the Above,SHIVALIK REGION,19,0,0,0,0.0,33
Himachal_Pradesh,2022,14,Rashtriya Devbhumi Party,BEAS RIVER REGION,10,0,10,0,0.0,34
Himachal_Pradesh,2022,14,Rashtriya Devbhumi Party,SHIMLA REGION,4,0,4,0,0.0,35
Himachal_Pradesh,2022,14,Rashtriya Devbhumi Party,SHIVALIK REGION,15,0,15,0,0.0,36
Himachal_Pradesh,2022,14,Rashtriya Lokneeti Party,BEAS RIVER REGION,1,0,1,0,0.0,37
Himachal_Pradesh,2022,14,Sainik Samaj Party,BEAS RIVER REGION,1,0,1,0,0.0,38
Himachal_Pradesh,2022,14,Swabhiman Party,BEAS RIVER REGION,1,0,1,0,0.0,39
Himachal_Pradesh,2022,14,Swabhiman Party,SHIVALIK REGION,2,0,2,0,0.0,40
Himachal_Pradesh,2017,13,AIFB,BEAS RIVER REGION,1,0,1,0,0.0,11
Himachal_Pradesh,2017,13,AIFB,SHIVALIK REGION,1,0,1,0,0.0,12
Himachal_Pradesh,2017,13,ALIMRD,BEAS RIVER REGION,1,0,1,0,0.0,13
Himachal_Pradesh,2017,13,BHLJVP,BEAS RIVER REGION,1,0,1,0,0.0,14
Himachal_Pradesh,2017,13,BJP,BEAS RIVER REGION,39,30,0,9.75,76.92,1
Himachal_Pradesh,2017,13,BJP,GREATER HIMALAYAS,2,1,0,4.34,50.0,3
Himachal_Pradesh,2017,13,BJP,SHIMLA REGION,8,3,0,2,37.5,7
Himachal_Pradesh,2017,13,BJP,SHIVALIK REGION,19,10,0,6.02,52.63,2
Himachal_Pradesh,2017,13,BMUP,BEAS RIVER REGION,1,0,1,0,0.0,15
Himachal_Pradesh,2017,13,BSP,BEAS RIVER REGION,30,0,30,0,0.0,16
Himachal_Pradesh,2017,13,BSP,GREATER HIMALAYAS,1,0,1,0,0.0,17
Himachal_Pradesh,2017,13,BSP,SHIMLA REGION,4,0,4,0,0.0,18
Himachal_Pradesh,2017,13,BSP,SHIVALIK REGION,7,0,7,0,0.0,19
Himachal_Pradesh,2017,13,CPI,BEAS RIVER REGION,2,0,2,0,0.0,20
Himachal_Pradesh,2017,13,CPI,SHIVALIK REGION,1,0,1,0,0.0,21
Himachal_Pradesh,2017,13,CPM,BEAS RIVER REGION,5,0,5,0,0.0,22
Himachal_Pradesh,2017,13,CPM,GREATER HIMALAYAS,1,0,1,0,0.0,23
Himachal_Pradesh,2017,13,CPM,SHIMLA REGION,4,1,3,0.86,25.0,8
Himachal_Pradesh,2017,13,CPM,SHIVALIK REGION,4,0,4,0,0.0,24
Himachal_Pradesh,2017,13,INC,BEAS RIVER REGION,39,7,2,1.06,17.95,9
Himachal_Pradesh,2017,13,INC,GREATER HIMALAYAS,2,1,0,0.14,50.0,4
Himachal_Pradesh,2017,13,INC,SHIMLA REGION,8,4,2,7.29,50.0,5
Himachal_Pradesh,2017,13,INC,SHIVALIK REGION,19,9,0,2.1,47.37,6
Himachal_Pradesh,2017,13,IND,BEAS RIVER REGION,78,2,73,0.22,2.56,10
Himachal_Pradesh,2017,13,IND,GREATER HIMALAYAS,2,0,2,0,0.0,25
Himachal_Pradesh,2017,13,IND,SHIMLA REGION,11,0,10,0,0.0,26
Himachal_Pradesh,2017,13,IND,SHIVALIK REGION,21,0,19,0,0.0,27
Himachal_Pradesh,2017,13,JANSP,SHIVALIK REGION,1,0,1,0,0.0,28
Himachal_Pradesh,2017,13,LOGAP,BEAS RIVER REGION,3,0,3,0,0.0,29
Himachal_Pradesh,2017,13,LOGAP,SHIVALIK REGION,4,0,4,0,0.0,30
Himachal_Pradesh,2017,13,NCP,BEAS RIVER REGION,1,0,1,0,0.0,31
Himachal_Pradesh,2017,13,NCP,SHIVALIK REGION,1,0,1,0,0.0,32
Himachal_Pradesh,2017,13,NED,BEAS RIVER REGION,1,0,1,0,0.0,33
Himachal_Pradesh,2017,13,NOTA,BEAS RIVER REGION,39,0,0,0,0.0,34
Himachal_Pradesh,2017,13,NOTA,GREATER HIMALAYAS,2,0,0,0,0.0,35
Himachal_Pradesh,2017,13,NOTA,SHIMLA REGION,8,0,0,0,0.0,36
Himachal_Pradesh,2017,13,NOTA,SHIVALIK REGION,19,0,0,0,0.0,37
Himachal_Pradesh,2017,13,RADM,BEAS RIVER REGION,4,0,4,0,0.0,38
Himachal_Pradesh,2017,13,RSHP,GREATER HIMALAYAS,1,0,1,0,0.0,39
Himachal_Pradesh,2017,13,SAKAP,SHIVALIK REGION,2,0,2,0,0.0,40
Himachal_Pradesh,2017,13,SP,BEAS RIVER REGION,1,0,1,0,0.0,41
Himachal_Pradesh,2017,13,SWAP,BEAS RIVER REGION,2,0,2,0,0.0,42
Himachal_Pradesh,2017,13,SWAP,SHIMLA REGION,3,0,3,0,0.0,43
Himachal_Pradesh,2017,13,SWAP,SHIVALIK REGION,2,0,2,0,0.0,44
Himachal_Pradesh,2012,12,AITC,BEAS RIVER REGION,17,0,17,0,0.0,12
Himachal_Pradesh,2012,12,AITC,GREATER HIMALAYAS,1,0,1,0,0.0,13
Himachal_Pradesh,2012,12,AITC,SHIMLA REGION,2,0,2,0,0.0,14
Himachal_Pradesh,2012,12,AITC,SHIVALIK REGION,5,0,5,0,0.0,15
Himachal_Pradesh,2012,12,BHBP,BEAS RIVER REGION,2,0,2,0,0.0,16
Himachal_Pradesh,2012,12,BJP,BEAS RIVER REGION,39,14,2,2.82,35.9,5
Himachal_Pradesh,2012,12,BJP,GREATER HIMALAYAS,2,0,0,0,0.0,17
Himachal_Pradesh,2012,12,BJP,SHIMLA REGION,8,1,2,0.24,12.5,7
Himachal_Pradesh,2012,12,BJP,SHIVALIK REGION,19,11,0,5.92,57.89,3
Himachal_Pradesh,2012,12,BSP,BEAS RIVER REGION,38,0,38,0,0.0,18
Himachal_Pradesh,2012,12,BSP,GREATER HIMALAYAS,2,0,2,0,0.0,19
Himachal_Pradesh,2012,12,BSP,SHIMLA REGION,8,0,8,0,0.0,20
Himachal_Pradesh,2012,12,BSP,SHIVALIK REGION,18,0,18,0,0.0,21
Himachal_Pradesh,2012,12,CPI,BEAS RIVER REGION,5,0,5,0,0.0,22
Himachal_Pradesh,2012,12,CPI,SHIVALIK REGION,1,0,1,0,0.0,23
Himachal_Pradesh,2012,12,CPM,BEAS RIVER REGION,8,0,8,0,0.0,24
Himachal_Pradesh,2012,12,CPM,SHIMLA REGION,3,0,1,0,0.0,25
Himachal_Pradesh,2012,12,CPM,SHIVALIK REGION,5,0,5,0,0.0,26
Himachal_Pradesh,2012,12,HLP,BEAS RIVER REGION,20,1,19,0.26,5.0,10
Himachal_Pradesh,2012,12,HLP,GREATER HIMALAYAS,1,0,1,0,0.0,27
Himachal_Pradesh,2012,12,HLP,SHIMLA REGION,4,0,4,0,0.0,28
