Assembly_No,TCPD_Prof_Main,MLAs_var
14,Agriculture,14
14,Business,22
14,Former Government,2
14,Liberal Profession or Professional,4
14,Other,8
14,Politics,10
14,Retired or Pension,1
14,Salaried Work or Employed,3
14,Small Business or Self-employed,2
14,Social Work,2
13,Agriculture,14
13,Business,18
13,Former Government,3
13,Liberal Profession or Professional,5
13,Other,9
13,Politics,12
13,Retired or Pension,1
13,Small Business or Self-employed,3
13,Social Work,2
13,Unknown,1
12,Agriculture,18
12,Business,15
12,Former Government,3
12,Liberal Profession or Professional,6
12,Other,7
12,Politics,7
12,Small Business or Self-employed,1
12,Social Work,3
12,Unknown,8
11,Other,66
11,Unknown,2
