Assembly_No,Party_ID,MyNeta_education,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
14,1605,10th Pass,7,25,2022,BJP,28
14,1605,12th Pass,3,25,2022,BJP,12
14,1605,Doctorate,1,25,2022,BJP,4
14,1605,Graduate,4,25,2022,BJP,16
14,1605,Graduate Professional,3,25,2022,BJP,12
14,1605,Post Graduate,7,25,2022,BJP,28
14,3482,10th Pass,2,40,2022,INC,5
14,3482,12th Pass,3,40,2022,INC,7.5
14,3482,Doctorate,1,40,2022,INC,2.5
14,3482,Graduate,12,40,2022,INC,30
14,3482,Graduate Professional,10,40,2022,INC,25
14,3482,Post Graduate,12,40,2022,INC,30
14,10809,12th Pass,1,3,2022,IND,33.33
14,10809,Graduate Professional,2,3,2022,IND,66.67
13,1605,10th Pass,7,44,2017,BJP,15.91
13,1605,12th Pass,8,44,2017,BJP,18.18
13,1605,8th Pass,1,44,2017,BJP,2.27
13,1605,Doctorate,1,44,2017,BJP,2.27
13,1605,Graduate,10,44,2017,BJP,22.73
13,1605,Graduate Professional,6,44,2017,BJP,13.64
13,1605,Post Graduate,11,44,2017,BJP,25
13,14635,Graduate Professional,1,1,2017,CPM,100
13,3482,10th Pass,3,21,2017,INC,14.29
13,3482,Doctorate,1,21,2017,INC,4.76
13,3482,Graduate,8,21,2017,INC,38.1
13,3482,Graduate Professional,5,21,2017,INC,23.81
13,3482,Post Graduate,4,21,2017,INC,19.05
13,10809,12th Pass,1,2,2017,IND,50
13,10809,Unknown,1,2,2017,IND,50
12,1605,10th Pass,2,26,2012,BJP,7.69
12,1605,12th Pass,2,26,2012,BJP,7.69
12,1605,Graduate,5,26,2012,BJP,19.23
12,1605,Graduate Professional,6,26,2012,BJP,23.08
12,1605,Post Graduate,10,26,2012,BJP,38.46
12,1605,Unknown,1,26,2012,BJP,3.85
12,3218,Unknown,1,1,2012,HLP,100
12,3482,10th Pass,1,36,2012,INC,2.78
12,3482,12th Pass,1,36,2012,INC,2.78
12,3482,Doctorate,1,36,2012,INC,2.78
12,3482,Graduate,14,36,2012,INC,38.89
12,3482,Graduate Professional,9,36,2012,INC,25
12,3482,Post Graduate,7,36,2012,INC,19.44
12,3482,Unknown,3,36,2012,INC,8.33
12,10809,10th Pass,1,5,2012,IND,20
12,10809,Graduate,1,5,2012,IND,20
12,10809,Unknown,3,5,2012,IND,60
11,1605,10th Pass,8,41,2007,BJP,19.51
11,1605,12th Pass,5,41,2007,BJP,12.2
11,1605,Doctorate,1,41,2007,BJP,2.44
11,1605,Graduate,8,41,2007,BJP,19.51
11,1605,Graduate Professional,9,41,2007,BJP,21.95
11,1605,Post Graduate,8,41,2007,BJP,19.51
11,1605,Unknown,2,41,2007,BJP,4.88
11,16651,Graduate,1,1,2007,BSP,100
11,3482,12th Pass,2,23,2007,INC,8.7
11,3482,8th Pass,1,23,2007,INC,4.35
11,3482,Doctorate,1,23,2007,INC,4.35
11,3482,Graduate,6,23,2007,INC,26.09
11,3482,Graduate Professional,7,23,2007,INC,30.43
11,3482,Post Graduate,5,23,2007,INC,21.74
11,3482,Unknown,1,23,2007,INC,4.35
11,10809,12th Pass,2,3,2007,IND,66.67
11,10809,Graduate Professional,1,3,2007,IND,33.33
