Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct
14,412,57,32,68,6,2,121,268,56,88,24,14,2022,13,67,0,1,5,59,6,2,0,0,0,0,AAAP,4.13,#87CEEB,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
14,412,57,32,68,6,2,121,268,56,88,24,14,2022,1605,68,35,4,45,21,14,33,8,6,15,2,BJP,37.19,#ff9933,61.4,35 (61.4%),42.86,42.86% (15/35),50,50.0% (2/4),33.33
14,412,57,32,68,6,2,121,268,56,88,24,14,2022,16651,53,0,0,5,45,6,2,0,0,0,0,BSP,4.13,#003399,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,412,57,32,68,6,2,121,268,56,88,24,14,2022,2061,1,0,0,0,1,0,0,0,0,0,0,Bhartiya Veer Dal,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,412,57,32,68,6,2,121,268,56,88,24,14,2022,2444,1,0,0,0,1,0,0,0,0,0,0,CPI,0,#ff3300,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,412,57,32,68,6,2,121,268,56,88,24,14,2022,14635,11,1,0,3,7,1,3,0,0,0,0,Communist Party of India(Marxist),2.48,,1.75,1 (1.75%),0,0.0% (0/1),nan,nan% (0/0),0
14,412,57,32,68,6,2,121,268,56,88,24,14,2022,24367,6,0,0,0,6,0,0,0,0,0,0,Himachal Jan Kranti Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,412,57,32,68,6,2,121,268,56,88,24,14,2022,25158,1,0,0,0,1,0,0,0,0,0,0,Himachal Janta Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,412,57,32,68,6,2,121,268,56,88,24,14,2022,3247,3,0,0,1,2,1,0,0,0,0,0,Hindu Samaj Party,0.83,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,412,57,32,68,6,2,121,268,56,88,24,14,2022,3482,68,19,1,47,15,13,40,15,7,16,0,INC,38.84,#138808,33.33,19 (33.33%),84.21,84.21% (16/19),0,0.0% (0/1),62.5
14,412,57,32,68,6,2,121,268,56,88,24,14,2022,10809,99,2,0,14,77,14,8,1,1,1,0,IND,11.57,#808080,3.51,2 (3.51%),50,50.0% (1/2),nan,nan% (0/0),4.17
14,412,57,32,68,6,2,121,268,56,88,24,14,2022,25159,29,0,0,1,28,1,0,0,0,0,0,Rashtriya Devbhumi Party,0.83,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,412,57,32,68,6,2,121,268,56,88,24,14,2022,25029,1,0,0,0,1,0,0,0,0,0,0,Rashtriya Lokneeti Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,412,57,32,68,6,2,121,268,56,88,24,14,2022,7301,1,0,0,0,1,0,0,0,0,0,0,Sainik Samaj Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
14,412,57,32,68,6,2,121,268,56,88,24,14,2022,8163,3,0,0,0,3,0,0,0,0,0,0,Swabhiman Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,338,57,27,68,13,3,141,178,62,98,24,11,2017,3040,2,0,0,0,2,0,0,0,0,0,0,AIFB,0,#DA0000,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,338,57,27,68,13,3,141,178,62,98,24,11,2017,719,1,0,0,0,1,0,0,0,0,0,0,ALIMRD,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,338,57,27,68,13,3,141,178,62,98,24,11,2017,1905,1,0,0,0,1,0,0,0,0,0,0,BHLJVP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,338,57,27,68,13,3,141,178,62,98,24,11,2017,1605,68,24,5,52,13,16,39,18,7,15,3,BJP,36.88,#ff9933,42.11,24 (42.11%),62.5,62.5% (15/24),60,60.0% (3/5),75
13,338,57,27,68,13,3,141,178,62,98,24,11,2017,4152,1,0,0,1,0,1,0,0,0,0,0,BMUP,0.71,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,338,57,27,68,13,3,141,178,62,98,24,11,2017,16651,42,0,4,15,24,12,6,0,0,0,0,BSP,10.64,#003399,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/4),0
13,338,57,27,68,13,3,141,178,62,98,24,11,2017,2444,3,0,0,0,3,0,0,0,0,0,0,CPI,0,#ff3300,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,338,57,27,68,13,3,141,178,62,98,24,11,2017,14635,14,0,0,4,9,3,2,0,0,0,0,CPM,2.84,#991f00,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,338,57,27,68,13,3,141,178,62,98,24,11,2017,3482,68,32,2,46,16,12,40,4,2,12,0,INC,32.62,#138808,56.14,32 (56.14%),37.5,37.5% (12/32),0,0.0% (0/2),16.67
13,338,57,27,68,13,3,141,178,62,98,24,11,2017,10809,112,1,0,21,85,16,11,2,2,0,0,IND,14.89,#808080,1.75,1 (1.75%),0,0.0% (0/1),nan,nan% (0/0),8.33
13,338,57,27,68,13,3,141,178,62,98,24,11,2017,4541,1,0,0,0,1,0,0,0,0,0,0,JANSP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,338,57,27,68,13,3,141,178,62,98,24,11,2017,5013,7,0,0,0,7,0,0,0,0,0,0,LOGAP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,338,57,27,68,13,3,141,178,62,98,24,11,2017,5792,2,0,0,0,2,0,0,0,0,0,0,NCP,0,#99003d,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,338,57,27,68,13,3,141,178,62,98,24,11,2017,5820,1,0,0,0,1,0,0,0,0,0,0,NED,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,338,57,27,68,13,3,141,178,62,98,24,11,2017,6427,4,0,0,0,4,0,0,0,0,0,0,RADM,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,338,57,27,68,13,3,141,178,62,98,24,11,2017,6374,1,0,0,0,1,0,0,0,0,0,0,RSHP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,338,57,27,68,13,3,141,178,62,98,24,11,2017,7314,2,0,0,0,2,0,0,0,0,0,0,SAKAP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,338,57,27,68,13,3,141,178,62,98,24,11,2017,7425,1,0,0,0,1,0,0,0,0,0,0,SP,0,#990000,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
13,338,57,27,68,13,3,141,178,62,98,24,11,2017,8163,7,0,2,2,5,2,0,0,0,0,0,SWAP,1.42,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/2),0
12,459,63,30,68,25,3,131,295,58,106,24,14,2012,18228,25,0,3,3,20,1,4,0,0,0,0,AITC,2.29,#4285F4,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/3),0
12,459,63,30,68,25,3,131,295,58,106,24,14,2012,1365,2,0,0,0,1,1,0,0,0,0,0,BHBP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,459,63,30,68,25,3,131,295,58,106,24,14,2012,1605,68,39,1,47,21,12,35,7,3,18,0,BJP,35.88,#ff9933,61.9,39 (61.9%),46.15,46.15% (18/39),0,0.0% (0/1),29.17
12,459,63,30,68,25,3,131,295,58,106,24,14,2012,16651,66,0,2,10,52,11,3,0,0,0,0,BSP,7.63,#003399,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/2),0
12,459,63,30,68,25,3,131,295,58,106,24,14,2012,2444,6,0,0,1,4,2,0,0,0,0,0,CPI,0.76,#ff3300,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,459,63,30,68,25,3,131,295,58,106,24,14,2012,14635,16,0,2,1,11,4,1,0,0,0,0,CPM,0.76,#991f00,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/2),0
12,459,63,30,68,25,3,131,295,58,106,24,14,2012,3218,36,0,9,4,26,1,9,0,0,0,1,HLP,3.05,#05dc46,0,0 (0.0%),nan,nan% (0/0),11.11,11.11% (1/9),0
