Assembly_No,Party_ID,TCPD_Prof_Main,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
14,1605,Agriculture,7,25,2022,BJP,28
14,1605,Business,6,25,2022,BJP,24
14,1605,Former Government,1,25,2022,BJP,4
14,1605,Other,4,25,2022,BJP,16
14,1605,Politics,2,25,2022,BJP,8
14,1605,Salaried Work or Employed,2,25,2022,BJP,8
14,1605,Small Business or Self-employed,1,25,2022,BJP,4
14,1605,Social Work,2,25,2022,BJP,8
14,3482,Agriculture,7,40,2022,INC,17.5
14,3482,Business,14,40,2022,INC,35
14,3482,Former Government,1,40,2022,INC,2.5
14,3482,Liberal Profession or Professional,4,40,2022,INC,10
14,3482,Other,4,40,2022,INC,10
14,3482,Politics,8,40,2022,INC,20
14,3482,Salaried Work or Employed,1,40,2022,INC,2.5
14,3482,Small Business or Self-employed,1,40,2022,INC,2.5
14,10809,Business,2,3,2022,IND,66.67
14,10809,Retired or Pension,1,3,2022,IND,33.33
13,1605,Agriculture,11,44,2017,BJP,25
13,1605,Business,11,44,2017,BJP,25
13,1605,Former Government,2,44,2017,BJP,4.55
13,1605,Liberal Profession or Professional,3,44,2017,BJP,6.82
13,1605,Other,6,44,2017,BJP,13.64
13,1605,Politics,7,44,2017,BJP,15.91
13,1605,Retired or Pension,1,44,2017,BJP,2.27
13,1605,Small Business or Self-employed,1,44,2017,BJP,2.27
13,1605,Social Work,2,44,2017,BJP,4.55
13,14635,Agriculture,1,1,2017,CPM,100
13,3482,Agriculture,2,21,2017,INC,9.52
13,3482,Business,6,21,2017,INC,28.57
13,3482,Former Government,1,21,2017,INC,4.76
13,3482,Liberal Profession or Professional,2,21,2017,INC,9.52
13,3482,Other,3,21,2017,INC,14.29
13,3482,Politics,5,21,2017,INC,23.81
13,3482,Small Business or Self-employed,2,21,2017,INC,9.52
13,10809,Business,1,2,2017,IND,50
13,10809,Unknown,1,2,2017,IND,50
12,1605,Agriculture,9,26,2012,BJP,34.62
12,1605,Business,3,26,2012,BJP,11.54
12,1605,Former Government,2,26,2012,BJP,7.69
12,1605,Liberal Profession or Professional,3,26,2012,BJP,11.54
12,1605,Other,1,26,2012,BJP,3.85
12,1605,Politics,5,26,2012,BJP,19.23
12,1605,Social Work,2,26,2012,BJP,7.69
12,1605,Unknown,1,26,2012,BJP,3.85
12,3218,Unknown,1,1,2012,HLP,100
12,3482,Agriculture,9,36,2012,INC,25
12,3482,Business,10,36,2012,INC,27.78
12,3482,Former Government,1,36,2012,INC,2.78
12,3482,Liberal Profession or Professional,3,36,2012,INC,8.33
12,3482,Other,6,36,2012,INC,16.67
12,3482,Politics,2,36,2012,INC,5.56
12,3482,Small Business or Self-employed,1,36,2012,INC,2.78
12,3482,Social Work,1,36,2012,INC,2.78
12,3482,Unknown,3,36,2012,INC,8.33
12,10809,Business,2,5,2012,IND,40
12,10809,Unknown,3,5,2012,IND,60
11,1605,Other,39,41,2007,BJP,95.12
11,1605,Unknown,2,41,2007,BJP,4.88
11,16651,Other,1,1,2007,BSP,100
11,3482,Other,23,23,2007,INC,100
11,10809,Other,3,3,2007,IND,100
