Assembly_No,Total_Candidates,Contesting_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,Recontesting_Candidates,First_Contests,Second_Contests,Multiple_Contests,No_first_time_winners,First_Contest_Winners,Year,Recontesting_Candidates_pct,First_Contests_pct,Second_Contests_pct,Multiple_Contests_pct,Contesting_Incumbents_pct,Successful_Incumbents_pct,No_first_time_winners_pct,First_Contest_Winners_pct,Incumbent_Strike_Rate,Turncoat_Strike_Rate
10,831,58,19,87,47,7,215,581,156,94,60,37,2014,25.87,69.92,18.77,11.31,66.67,21.84,68.97,42.53,32.76,14.89
9,1354,47,23,87,59,12,134,1157,108,89,48,35,2008,9.9,85.45,7.98,6.57,54.02,26.44,55.17,40.23,48.94,20.34
8,708,34,11,87,32,16,96,580,84,44,69,47,2002,13.56,81.92,11.86,6.21,39.08,12.64,79.31,54.02,32.35,50
7,547,20,12,87,18,3,45,464,47,36,68,63,1996,8.23,84.83,8.59,6.58,22.99,13.79,78.16,72.41,60,16.67
6,527,25,16,76,6,2,72,430,56,41,48,38,1987,13.66,81.59,10.63,7.78,32.89,21.05,63.16,50,64,33.33
5,513,37,21,76,30,6,86,414,66,33,51,44,1983,16.76,80.7,12.87,6.43,48.68,27.63,67.11,57.89,56.76,20
4,409,35,13,76,14,9,66,335,58,16,58,52,1977,16.14,81.91,14.18,3.91,46.05,17.11,76.32,68.42,37.14,64.29
3,342,3,1,75,14,7,3,313,28,1,66,65,1972,0.88,91.52,8.19,0.29,4,1.33,88,86.67,33.33,50
2,206,5,4,75,4,3,5,201,5,0,71,71,1967,2.43,97.57,2.43,0,6.67,5.33,94.67,94.67,80,75
1,174,0,0,75,0,0,0,174,0,0,75,75,1962,0,100,0,0,0,0,100,100,0,0
