State_Name,Year,Assembly_No,Party,Total_Seats_in_Assembly,Total_Votes_in_Assembly,Total_Votes_in_Contested_Seats,Total_Candidates,Winners,Deposits_Lost,Strike_Rate,Seat_Share,Vote_Share_in_Assembly,Vote_Share_in_Contested_Seats,position,Expanded_Party_Name
Jammu_&_Kashmir,2014,10,AAAP,87,4817981,73342,1,0,1,0.0,0,0,0.29,9,
Jammu_&_Kashmir,2014,10,ABHM,87,4817981,29497,1,0,1,0.0,0,0,0.46,10,
Jammu_&_Kashmir,2014,10,AIFB,87,4817981,223984,4,0,4,0.0,0,0.03,0.56,11,
Jammu_&_Kashmir,2014,10,AJKMP,87,4817981,1058203,20,0,20,0.0,0,0.11,0.48,12,
Jammu_&_Kashmir,2014,10,AKAKRP,87,4817981,169045,4,0,4,0.0,0,0.04,1.1,13,
Jammu_&_Kashmir,2014,10,BHBP,87,4817981,184104,2,0,2,0.0,0,0.01,0.14,14,
Jammu_&_Kashmir,2014,10,BJP,87,4817981,4243227,75,25,40,33.333333333333336,28.74,22.98,26.09,2,BHARATIYA JANATA PARTY
Jammu_&_Kashmir,2014,10,BMUP,87,4817981,366295,5,0,5,0.0,0,0.02,0.28,15,
Jammu_&_Kashmir,2014,10,BSP,87,4817981,3289450,50,0,49,0.0,0,1.41,2.06,16,BAHUJAN SAMAJ PARTY
Jammu_&_Kashmir,2014,10,CPI,87,4817981,206374,3,0,3,0.0,0,0.05,1.21,17,
Jammu_&_Kashmir,2014,10,CPM,87,4817981,177102,3,1,2,33.333333333333336,1.15,0.5,13.56,7,COMMUNIST PARTY OF INDIA (MARXIST)
Jammu_&_Kashmir,2014,10,DGPP,87,4817981,98574,1,0,1,0.0,0,0,0.07,18,
Jammu_&_Kashmir,2014,10,HJP,87,4817981,353864,5,0,5,0.0,0,0.03,0.4,19,
Jammu_&_Kashmir,2014,10,HKRD,87,4817981,77213,1,0,1,0.0,0,0,0.22,20,
