State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Jammu_&_Kashmir,2014,10,1,KARNAH,GEN,RAJA MANZOOR AHMAD,JKPDP,12371,1,47.75,5,RAJA MANZOOR AHMAD KHAN,4,35.56
Jammu_&_Kashmir,2014,10,1,KARNAH,GEN,KIFIL UR REHMAN KHAN,JKN,6596,2,25.46,1,KAFIL UR REHMAN,-1,6.31
Jammu_&_Kashmir,2014,10,1,KARNAH,GEN,ALI ASGAR KHAN,INC,2894,3,11.17,6,SYED YASIN SHAH,3,0.71
Jammu_&_Kashmir,2014,10,1,KARNAH,GEN,MOHAMMAD SALEEM MIR,JPC,2359,4,9.1,,,,9.1
Jammu_&_Kashmir,2014,10,1,KARNAH,GEN,ISHFAQ UR REHMAN,BJP,654,5,2.52,,,,2.52
Jammu_&_Kashmir,2014,10,1,KARNAH,GEN,JAHANGIR KHAN,JKNPP,453,6,1.75,12,JEHANGIR KHAN,6,0.9
Jammu_&_Kashmir,2014,10,1,KARNAH,GEN,AIJAZ AHMAD BADANA,AJKMP,339,7,1.31,,,,1.31
Jammu_&_Kashmir,2014,10,1,KARNAH,GEN,None of the Above,NOTA,244,8,0.94,,,,0.94
Jammu_&_Kashmir,2014,10,2,KUPWARA,GEN,BASHIR AHMAD DAR,JPC,24754,1,34.47,,,,34.47
Jammu_&_Kashmir,2014,10,2,KUPWARA,GEN,MIR MOHD FAYAZ,JKPDP,24603,2,34.26,2,FAYAZ AHMAD MIR,0,13.52
Jammu_&_Kashmir,2014,10,2,KUPWARA,GEN,MIR SAIFULLAH,JKN,17390,3,24.21,1,MIR SAIFULLAH,-2,-5.86
Jammu_&_Kashmir,2014,10,2,KUPWARA,GEN,AB REHMAN LONE,BJP,790,4,1.1,9,NAZIR AHMAD KHAN,5,-0.27
Jammu_&_Kashmir,2014,10,2,KUPWARA,GEN,WALI MOHD KHAN,JKNPP,672,5,0.94,19,SYED MOHD RAFIQ SHAH,14,0.38
Jammu_&_Kashmir,2014,10,2,KUPWARA,GEN,None of the Above,NOTA,664,6,0.92,,,,0.92
Jammu_&_Kashmir,2014,10,2,KUPWARA,GEN,GH HASSAN SHEIKH,AJKMP,598,7,0.83,,,,0.83
