State_Name,Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Jammu_&_Kashmir,2014,10,BJP,75,25,40,6.86,33.33,1
Jammu_&_Kashmir,2014,10,CPM,3,1,2,0.21,33.33,2
Jammu_&_Kashmir,2014,10,INC,86,12,47,1.53,13.95,6
Jammu_&_Kashmir,2014,10,IND,274,3,267,0.09,1.09,8
Jammu_&_Kashmir,2014,10,JKN,85,15,29,0.98,17.65,5
Jammu_&_Kashmir,2014,10,JKPDF,3,1,2,0.53,33.33,3
Jammu_&_Kashmir,2014,10,JKPDP,84,28,29,3.2,33.33,4
Jammu_&_Kashmir,2014,10,JPC,26,2,23,0.32,7.69,7
Jammu_&_Kashmir,2008,9,BJP,64,11,40,2.07,17.19,4
Jammu_&_Kashmir,2008,9,CPM,8,1,7,0.06,12.5,5
Jammu_&_Kashmir,2008,9,INC,78,17,42,2.56,21.79,3
Jammu_&_Kashmir,2008,9,IND,481,4,462,0.03,0.83,9
Jammu_&_Kashmir,2008,9,JKDPN,30,1,28,0.43,3.33,8
Jammu_&_Kashmir,2008,9,JKN,85,28,25,4.53,32.94,1
Jammu_&_Kashmir,2008,9,JKNPP,73,3,69,0.36,4.11,7
Jammu_&_Kashmir,2008,9,JKPDP,78,21,36,3.2,26.92,2
Jammu_&_Kashmir,2008,9,PDF,19,1,18,0.82,5.26,6
Jammu_&_Kashmir,2002,8,BJP,58,1,43,0,1.72,10
Jammu_&_Kashmir,2002,8,BSP,33,1,28,0.24,3.03,9
Jammu_&_Kashmir,2002,8,CPM,7,2,3,4.4,28.57,3
Jammu_&_Kashmir,2002,8,DM,1,1,0,4.78,100.0,1
Jammu_&_Kashmir,2002,8,INC,78,20,33,4,25.64,5
Jammu_&_Kashmir,2002,8,IND,243,13,217,0.72,5.35,8
Jammu_&_Kashmir,2002,8,JKAL,9,1,7,0.13,11.11,6
Jammu_&_Kashmir,2002,8,JKN,85,28,20,5.77,32.94,2
Jammu_&_Kashmir,2002,8,JKNPP,36,4,32,1.38,11.11,7
Jammu_&_Kashmir,2002,8,PDP,59,16,30,5.89,27.12,4
Jammu_&_Kashmir,1996,7,AIIC(T),9,1,8,1.49,11.11,5
Jammu_&_Kashmir,1996,7,BJP,53,8,33,2.52,15.09,3
Jammu_&_Kashmir,1996,7,BSP,29,4,20,1.21,13.79,4
Jammu_&_Kashmir,1996,7,CPM,4,1,3,12.89,25.0,2
Jammu_&_Kashmir,1996,7,INC,84,7,40,1.31,8.33,6
Jammu_&_Kashmir,1996,7,IND,134,2,124,0.18,1.49,10
Jammu_&_Kashmir,1996,7,JD,76,5,50,0.58,6.58,7
Jammu_&_Kashmir,1996,7,JKAL,27,1,21,0.07,3.7,8
Jammu_&_Kashmir,1996,7,JKN,81,57,11,18.35,70.37,1
Jammu_&_Kashmir,1996,7,JPP,45,1,42,0.04,2.22,9
Jammu_&_Kashmir,1987,6,BJP,29,2,20,0.62,6.9,3
Jammu_&_Kashmir,1987,6,INC,31,26,0,24.03,83.87,2
Jammu_&_Kashmir,1987,6,IND,343,8,283,0.41,2.33,4
Jammu_&_Kashmir,1987,6,JKN,45,40,0,21.49,88.89,1
Jammu_&_Kashmir,1983,5,INC,71,25,12,7.41,35.21,2
Jammu_&_Kashmir,1983,5,IND,256,4,245,0.15,1.56,4
Jammu_&_Kashmir,1983,5,JKN,76,46,10,19.53,60.53,1
Jammu_&_Kashmir,1983,5,JKP,37,1,31,0.25,2.7,3
Jammu_&_Kashmir,1977,4,INC,63,11,25,2.17,17.46,3
Jammu_&_Kashmir,1977,4,IND,174,4,162,0.18,2.3,5
Jammu_&_Kashmir,1977,4,JKN,75,47,18,22.31,62.67,1
Jammu_&_Kashmir,1977,4,JMI,19,1,14,0.01,5.26,4
Jammu_&_Kashmir,1977,4,JNP,72,13,31,2.72,18.06,2
Jammu_&_Kashmir,1972,3,BJS,32,3,14,1.58,9.38,3
Jammu_&_Kashmir,1972,3,INC,74,58,3,26.83,78.38,1
Jammu_&_Kashmir,1972,3,IND,197,9,158,0.65,4.57,4
Jammu_&_Kashmir,1972,3,JMI,22,5,9,4.26,22.73,2
Jammu_&_Kashmir,1967,2,BJS,29,3,8,1.76,10.34,3
Jammu_&_Kashmir,1967,2,INC,75,61,0,14.4,81.33,1
Jammu_&_Kashmir,1967,2,IND,38,3,29,1.9,7.89,4
Jammu_&_Kashmir,1967,2,JKN,38,8,15,5.8,21.05,2
Jammu_&_Kashmir,1962,1,IND,38,2,33,0.75,5.26,3
Jammu_&_Kashmir,1962,1,NC,75,70,0,22.82,93.33,1
Jammu_&_Kashmir,1962,1,PP,25,3,6,1.62,12.0,2
