State_Name,Year,Assembly_No,Party,Sub_Region,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Jammu_&_Kashmir,2014,10,AAAP,JAMMU,1,0,1,0,0.0,15
Jammu_&_Kashmir,2014,10,ABHM,KASHMIR,1,0,1,0,0.0,16
Jammu_&_Kashmir,2014,10,AIFB,JAMMU,1,0,1,0,0.0,17
Jammu_&_Kashmir,2014,10,AIFB,KASHMIR,3,0,3,0,0.0,18
Jammu_&_Kashmir,2014,10,AJKMP,JAMMU,4,0,4,0,0.0,19
Jammu_&_Kashmir,2014,10,AJKMP,KASHMIR,16,0,16,0,0.0,20
Jammu_&_Kashmir,2014,10,AKAKRP,KASHMIR,4,0,4,0,0.0,21
Jammu_&_Kashmir,2014,10,BHBP,JAMMU,2,0,2,0,0.0,22
Jammu_&_Kashmir,2014,10,BJP,JAMMU,37,25,5,13.9,67.57,2
Jammu_&_Kashmir,2014,10,BJP,KASHMIR,34,0,33,0,0.0,23
Jammu_&_Kashmir,2014,10,BJP,LADAKH,4,0,2,0,0.0,24
Jammu_&_Kashmir,2014,10,BMUP,JAMMU,5,0,5,0,0.0,25
Jammu_&_Kashmir,2014,10,BSP,JAMMU,36,0,35,0,0.0,26
Jammu_&_Kashmir,2014,10,BSP,KASHMIR,14,0,14,0,0.0,27
Jammu_&_Kashmir,2014,10,CPI,JAMMU,2,0,2,0,0.0,28
Jammu_&_Kashmir,2014,10,CPI,KASHMIR,1,0,1,0,0.0,29
Jammu_&_Kashmir,2014,10,CPM,JAMMU,1,0,1,0,0.0,30
Jammu_&_Kashmir,2014,10,CPM,KASHMIR,2,1,1,0.32,50.0,4
Jammu_&_Kashmir,2014,10,DGPP,JAMMU,1,0,1,0,0.0,31
Jammu_&_Kashmir,2014,10,HJP,JAMMU,4,0,4,0,0.0,32
Jammu_&_Kashmir,2014,10,HJP,KASHMIR,1,0,1,0,0.0,33
Jammu_&_Kashmir,2014,10,HKRD,JAMMU,1,0,1,0,0.0,34
Jammu_&_Kashmir,2014,10,INC,JAMMU,37,5,15,1.52,13.51,8
Jammu_&_Kashmir,2014,10,INC,KASHMIR,45,4,32,0.46,8.89,9
Jammu_&_Kashmir,2014,10,INC,LADAKH,4,3,0,13.68,75.0,1
Jammu_&_Kashmir,2014,10,IND,JAMMU,121,1,117,0.14,0.83,13
Jammu_&_Kashmir,2014,10,IND,KASHMIR,150,1,148,0.03,0.67,14
Jammu_&_Kashmir,2014,10,IND,LADAKH,3,1,2,1.2,33.33,5
Jammu_&_Kashmir,2014,10,IPCP,KASHMIR,1,0,1,0,0.0,35
Jammu_&_Kashmir,2014,10,JD(S),JAMMU,1,0,1,0,0.0,36
Jammu_&_Kashmir,2014,10,JKDPN,KASHMIR,3,0,2,0,0.0,37
Jammu_&_Kashmir,2014,10,JKN,JAMMU,37,3,20,0.67,8.11,11
Jammu_&_Kashmir,2014,10,JKN,KASHMIR,46,12,8,1.28,26.09,7
Jammu_&_Kashmir,2014,10,JKN,LADAKH,2,0,1,0,0.0,38
Jammu_&_Kashmir,2014,10,JKNPP,JAMMU,34,0,30,0,0.0,39
Jammu_&_Kashmir,2014,10,JKNPP,KASHMIR,26,0,26,0,0.0,40
Jammu_&_Kashmir,2014,10,JKPDF,KASHMIR,3,1,2,0.53,33.33,6
Jammu_&_Kashmir,2014,10,JKPDP,JAMMU,35,3,24,0.4,8.57,10
Jammu_&_Kashmir,2014,10,JKPDP,KASHMIR,46,25,3,5.53,54.35,3
Jammu_&_Kashmir,2014,10,JKPDP,LADAKH,3,0,2,0,0.0,41
Jammu_&_Kashmir,2014,10,JKPPAP,JAMMU,2,0,2,0,0.0,42
Jammu_&_Kashmir,2014,10,JKPPS,KASHMIR,1,0,1,0,0.0,43
Jammu_&_Kashmir,2014,10,JPC,JAMMU,1,0,1,0,0.0,44
Jammu_&_Kashmir,2014,10,JPC,KASHMIR,25,2,22,0.33,8.0,12
Jammu_&_Kashmir,2014,10,JSM(P),JAMMU,1,0,1,0,0.0,45
Jammu_&_Kashmir,2014,10,LJP,KASHMIR,1,0,1,0,0.0,46
Jammu_&_Kashmir,2014,10,NCP,JAMMU,9,0,9,0,0.0,47
Jammu_&_Kashmir,2014,10,NCP,KASHMIR,3,0,3,0,0.0,48
Jammu_&_Kashmir,2014,10,NOTA,JAMMU,37,0,0,0,0.0,49
Jammu_&_Kashmir,2014,10,NOTA,KASHMIR,46,0,0,0,0.0,50
Jammu_&_Kashmir,2014,10,NOTA,LADAKH,4,0,0,0,0.0,51
Jammu_&_Kashmir,2014,10,RAJPA,KASHMIR,3,0,3,0,0.0,52
Jammu_&_Kashmir,2014,10,RKSP,JAMMU,2,0,2,0,0.0,53
Jammu_&_Kashmir,2014,10,RPI,KASHMIR,1,0,1,0,0.0,54
Jammu_&_Kashmir,2014,10,RPI(A),KASHMIR,3,0,3,0,0.0,55
Jammu_&_Kashmir,2014,10,SP,JAMMU,5,0,5,0,0.0,56
Jammu_&_Kashmir,2014,10,SP,KASHMIR,2,0,2,0,0.0,57
Jammu_&_Kashmir,2008,9,AIFB,JAMMU,8,0,8,0,0.0,17
Jammu_&_Kashmir,2008,9,AIFB,KASHMIR,14,0,14,0,0.0,18
