Assembly_No,Party_ID,MyNeta_education,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
10,1605,10th Pass,3,25,2014,BJP,12
10,1605,12th Pass,6,25,2014,BJP,24
10,1605,8th Pass,1,25,2014,BJP,4
10,1605,Doctorate,1,25,2014,BJP,4
10,1605,Graduate,7,25,2014,BJP,28
10,1605,Graduate Professional,6,25,2014,BJP,24
10,1605,Post Graduate,1,25,2014,BJP,4
10,14635,12th Pass,1,1,2014,CPM,100
10,3482,10th Pass,3,12,2014,INC,25
10,3482,12th Pass,2,12,2014,INC,16.67
10,3482,8th Pass,1,12,2014,INC,8.33
10,3482,Graduate,3,12,2014,INC,25
10,3482,Graduate Professional,2,12,2014,INC,16.67
10,3482,Literate,1,12,2014,INC,8.33
10,10809,Graduate,1,3,2014,IND,33.33
10,10809,Graduate Professional,1,3,2014,IND,33.33
10,10809,Unknown,1,3,2014,IND,33.33
10,11089,Unknown,15,15,2014,JKN,100
10,4098,Unknown,1,1,2014,JKPDF,100
10,11133,10th Pass,3,28,2014,JKPDP,10.71
10,11133,12th Pass,3,28,2014,JKPDP,10.71
10,11133,8th Pass,1,28,2014,JKPDP,3.57
10,11133,Graduate,7,28,2014,JKPDP,25
10,11133,Graduate Professional,8,28,2014,JKPDP,28.57
10,11133,Post Graduate,6,28,2014,JKPDP,21.43
10,4099,Unknown,2,2,2014,JPC,100
9,1605,10th Pass,2,11,2008,BJP,18.18
9,1605,12th Pass,1,11,2008,BJP,9.09
9,1605,Doctorate,1,11,2008,BJP,9.09
9,1605,Graduate,1,11,2008,BJP,9.09
9,1605,Graduate Professional,2,11,2008,BJP,18.18
9,1605,Post Graduate,2,11,2008,BJP,18.18
9,1605,Unknown,2,11,2008,BJP,18.18
9,14635,12th Pass,1,1,2008,CPM,100
9,3482,10th Pass,1,17,2008,INC,5.88
9,3482,12th Pass,1,17,2008,INC,5.88
9,3482,Doctorate,1,17,2008,INC,5.88
9,3482,Graduate Professional,2,17,2008,INC,11.76
9,3482,Literate,1,17,2008,INC,5.88
9,3482,Others,1,17,2008,INC,5.88
9,3482,Post Graduate,2,17,2008,INC,11.76
9,3482,Unknown,8,17,2008,INC,47.06
9,10809,Others,1,4,2008,IND,25
9,10809,Post Graduate,2,4,2008,IND,50
9,10809,Unknown,1,4,2008,IND,25
9,4066,Unknown,1,1,2008,JKDPN,100
9,11089,Unknown,28,28,2008,JKN,100
9,4079,Graduate,2,3,2008,JKNPP,66.67
9,4079,Post Graduate,1,3,2008,JKNPP,33.33
9,11133,10th Pass,1,21,2008,JKPDP,4.76
9,11133,12th Pass,1,21,2008,JKPDP,4.76
9,11133,Graduate,2,21,2008,JKPDP,9.52
9,11133,Graduate Professional,4,21,2008,JKPDP,19.05
9,11133,Post Graduate,3,21,2008,JKPDP,14.29
9,11133,Unknown,10,21,2008,JKPDP,47.62
9,11858,Unknown,1,1,2008,PDF,100
