Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct
10,831,58,19,87,47,7,215,581,156,94,60,37,2014,13,1,0,0,0,1,0,0,0,0,0,0,AAAP,0,#87CEEB,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
10,831,58,19,87,47,7,215,581,156,94,60,37,2014,268,1,0,0,0,1,0,0,0,0,0,0,ABHM,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
10,831,58,19,87,47,7,215,581,156,94,60,37,2014,3040,4,0,0,2,2,2,0,0,0,0,0,AIFB,0.93,#DA0000,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
10,831,58,19,87,47,7,215,581,156,94,60,37,2014,801,20,0,1,1,19,1,0,0,0,0,0,AJKMP,0.47,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
10,831,58,19,87,47,7,215,581,156,94,60,37,2014,803,4,0,1,1,3,1,0,0,0,0,0,AKAKRP,0.47,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
10,831,58,19,87,47,7,215,581,156,94,60,37,2014,1365,2,0,0,0,2,0,0,0,0,0,0,BHBP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
10,831,58,19,87,47,7,215,581,156,94,60,37,2014,1605,75,2,11,22,46,23,6,23,13,1,3,BJP,10.23,#ff9933,3.45,2 (3.45%),50,50.0% (1/2),27.27,27.27% (3/11),38.33
10,831,58,19,87,47,7,215,581,156,94,60,37,2014,1074,5,0,0,1,4,1,0,0,0,0,0,BMUP,0.47,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
10,831,58,19,87,47,7,215,581,156,94,60,37,2014,16651,50,0,2,9,41,7,2,0,0,0,0,BSP,4.19,#003399,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/2),0
10,831,58,19,87,47,7,215,581,156,94,60,37,2014,2444,3,0,0,1,2,1,0,0,0,0,0,CPI,0.47,#ff3300,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
