Assembly_No,Party_ID,TCPD_Prof_Main,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
10,1605,Agriculture,1,25,2014,BJP,4
10,1605,Business,10,25,2014,BJP,40
10,1605,Former Government,3,25,2014,BJP,12
10,1605,Liberal Profession or Professional,4,25,2014,BJP,16
10,1605,Other,3,25,2014,BJP,12
10,1605,Politics,1,25,2014,BJP,4
10,1605,Salaried Work or Employed,1,25,2014,BJP,4
10,1605,Social Work,2,25,2014,BJP,8
10,14635,Other,1,1,2014,CPM,100
10,3482,Agriculture,1,12,2014,INC,8.33
10,3482,Business,3,12,2014,INC,25
10,3482,Former Government,1,12,2014,INC,8.33
10,3482,Other,1,12,2014,INC,8.33
10,3482,Politics,6,12,2014,INC,50
10,10809,Business,1,3,2014,IND,33.33
10,10809,Other,1,3,2014,IND,33.33
10,10809,Unknown,1,3,2014,IND,33.33
10,11089,Unknown,15,15,2014,JKN,100
10,4098,Unknown,1,1,2014,JKPDF,100
10,11133,Agriculture,1,28,2014,JKPDP,3.57
10,11133,Business,5,28,2014,JKPDP,17.86
10,11133,Liberal Profession or Professional,7,28,2014,JKPDP,25
10,11133,Other,4,28,2014,JKPDP,14.29
10,11133,Politics,9,28,2014,JKPDP,32.14
10,11133,Salaried Work or Employed,1,28,2014,JKPDP,3.57
10,11133,Social Work,1,28,2014,JKPDP,3.57
10,4099,Unknown,2,2,2014,JPC,100
9,1605,Other,9,11,2008,BJP,81.82
9,1605,Unknown,2,11,2008,BJP,18.18
9,14635,Other,1,1,2008,CPM,100
9,3482,Other,11,17,2008,INC,64.71
9,3482,Unknown,6,17,2008,INC,35.29
9,10809,Other,3,4,2008,IND,75
9,10809,Unknown,1,4,2008,IND,25
9,4066,Unknown,1,1,2008,JKDPN,100
9,11089,Unknown,28,28,2008,JKN,100
9,4079,Other,3,3,2008,JKNPP,100
9,11133,Other,13,21,2008,JKPDP,61.9
9,11133,Unknown,8,21,2008,JKPDP,38.1
9,11858,Unknown,1,1,2008,PDF,100
