Assembly_No,MyNeta_education,MLAs_var
4,10th Pass,13
4,12th Pass,15
4,8th Pass,2
4,Doctorate,4
4,Graduate,26
4,Graduate Professional,6
4,Literate,1
4,Others,1
4,Post Graduate,13
3,10th Pass,8
3,12th Pass,11
3,5th Pass,1
3,8th Pass,2
3,Doctorate,3
3,Graduate,25
3,Graduate Professional,5
3,Literate,1
3,Post Graduate,11
3,Unknown,14
2,10th Pass,11
2,12th Pass,13
2,5th Pass,1
2,8th Pass,2
2,Graduate,19
2,Graduate Professional,3
2,Literate,1
2,Others,2
2,Post Graduate,6
2,Unknown,23
1,10th Pass,15
1,12th Pass,8
1,8th Pass,3
1,Doctorate,1
1,Graduate,18
1,Graduate Professional,5
1,Literate,3
1,Others,2
1,Post Graduate,10
1,Unknown,16
