State_Name,Year,Assembly_No,Party,Total_Seats_in_Assembly,Total_Votes_in_Assembly,Total_Votes_in_Contested_Seats,Total_Candidates,Winners,Deposits_Lost,Strike_Rate,Seat_Share,Vote_Share_in_Assembly,Vote_Share_in_Contested_Seats,position,Expanded_Party_Name
Jharkhand,2019,4,AAAP,81,15048908,4973322,26,0,26,0.0,0,0.23,0.71,10,
Jharkhand,2019,4,AHNP,81,15048908,389205,2,0,2,0.0,0,0,0.14,11,
Jharkhand,2019,4,AIFB,81,15048908,1916128,9,0,9,0.0,0,0.04,0.35,12,ALL INDIA FORWARD BLOC
Jharkhand,2019,4,AIMIM,81,15048908,3424759,16,0,16,0.0,0,1.16,5.08,13,
Jharkhand,2019,4,AITC,81,15048908,4811555,26,0,26,0.0,0,0.29,0.9,14,
Jharkhand,2019,4,AJSUP,81,15048908,10139594,53,2,37,3.7735849056603774,2.47,8.1,12.03,5,AJSU PARTY
Jharkhand,2019,4,AKBJHP,81,15048908,132392,1,0,1,0.0,0,0,0.53,15,
Jharkhand,2019,4,AMB,81,15048908,1469323,8,0,8,0.0,0,0.03,0.34,16,
Jharkhand,2019,4,APoI,81,15048908,3889850,22,0,22,0.0,0,0.17,0.66,17,
Jharkhand,2019,4,BAHUMP,81,15048908,238894,1,0,1,0.0,0,0.02,1.26,18,
Jharkhand,2019,4,BALP,81,15048908,1204350,6,0,6,0.0,0,0.04,0.54,19,
Jharkhand,2019,4,BDlP,81,15048908,652420,3,0,3,0.0,0,0.02,0.53,20,
Jharkhand,2019,4,BHAZS,81,15048908,980605,6,0,6,0.0,0,0.11,1.73,21,
Jharkhand,2019,4,BJP,81,15048908,14726324,79,25,6,31.645569620253166,30.86,33.37,34.1,2,BHARATIYA JANATA PARTY
Jharkhand,2019,4,BLRP,81,15048908,175462,1,0,1,0.0,0,0.01,0.45,22,
Jharkhand,2019,4,BLSP,81,15048908,351529,2,0,2,0.0,0,0.01,0.28,23,
