State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Jharkhand,2019,4,1,RAJMAHAL,GEN,Anant Kumar Ojha,BJP,88904,1,42.26,1,ANANT KUMAR OJHA,0,2.55
Jharkhand,2019,4,1,RAJMAHAL,GEN,Md. Tajuddin,AJSUP,76532,2,36.38,,,,36.38
Jharkhand,2019,4,1,RAJMAHAL,GEN,Ketabuddin Sekh,JMM,24619,3,11.7,2,MD. TAJUDDIN,-1,-27.65
Jharkhand,2019,4,1,RAJMAHAL,GEN,Pradip Kumar Singh,BSP,3826,4,1.82,,,,1.82
Jharkhand,2019,4,1,RAJMAHAL,GEN,NASIMA KHANAM,AIMIM,862,10,0.41,,,,0.41
Jharkhand,2019,4,1,RAJMAHAL,GEN,NOTA,NOTA,821,11,0.39,6,None of the Above,-5,-0.77
Jharkhand,2019,4,1,RAJMAHAL,GEN,Col. Bhagwan Yadav,RPPRINAT,599,13,0.28,,,,0.28
Jharkhand,2019,4,1,RAJMAHAL,GEN,Rajkumar Yadav,JVM,594,14,0.28,8,KRISHNA MAHTO,-6,-0.55
Jharkhand,2019,4,1,RAJMAHAL,GEN,Ramsagar Singh,RJBP,552,17,0.26,,,,0.26
Jharkhand,2019,4,1,RAJMAHAL,GEN,Sanjay Kumar Mandal(Bachu),LJP,520,18,0.25,,,,0.25
Jharkhand,2019,4,1,RAJMAHAL,GEN,Rameshwar Mandal,PPID,407,19,0.19,,,,0.19
Jharkhand,2019,4,1,RAJMAHAL,GEN,Sanjay Kr. Pandey,SHS,334,20,0.16,10,SHANKAR MANDAL,-10,-0.64
Jharkhand,2019,4,1,RAJMAHAL,GEN,Md Nawab Sheakh,RKSP,195,24,0.09,,,,0.09
Jharkhand,2019,4,2,BORIO,ST,Lobin Hembrom,JMM,77365,1,47.4,2,LOBIN HEMBROM,1,11.46
Jharkhand,2019,4,2,BORIO,ST,Surya Narayan Hansada,BJP,59441,2,36.42,1,TALA MARANDI,-1,0.03
Jharkhand,2019,4,2,BORIO,ST,Tala Marandi,AJSUP,8955,3,5.49,,,,5.49
Jharkhand,2019,4,2,BORIO,ST,Sonaram Madaiya,CPI,2705,4,1.66,4,SONA RAM MADAIYA,0,-0.7
Jharkhand,2019,4,2,BORIO,ST,NOTA,NOTA,2687,5,1.65,5,None of the Above,0,-0.36
Jharkhand,2019,4,2,BORIO,ST,Lukas Hansda,JD(U),2181,6,1.34,,,,1.34
Jharkhand,2019,4,2,BORIO,ST,Lakhan Pahadiya,BSP,1960,7,1.2,,,,1.2
Jharkhand,2019,4,2,BORIO,ST,Manoj Tudu,PPID,1584,8,0.97,,,,0.97
Jharkhand,2019,4,2,BORIO,ST,Babu Ram Murmu,JVM,1355,10,0.83,3,SURYA NARAYAN HANSDA,-7,-16.13
Jharkhand,2019,4,2,BORIO,ST,Goresti Soren,RTMP,1199,12,0.73,,,,0.73
Jharkhand,2019,4,2,BORIO,ST,Bipin Kisku,AITC,1157,13,0.71,,,,0.71
Jharkhand,2019,4,3,BARHAIT,ST,HEMANT SOREN,JMM,73725,1,53.49,1,HEMANT SOREN,0,7.31
Jharkhand,2019,4,3,BARHAIT,ST,SIMON MALTO,BJP,47985,2,34.82,2,HEMLAL MURMU,0,6.44
Jharkhand,2019,4,3,BARHAIT,ST,HOPNA TUDU,JVM,2622,3,1.9,3,SIMON MALTO,0,-8.56
