State_Name,Year,Assembly_No,Party,Sub_Region,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Jharkhand,2019,4,AAAP,KOLHAN DIVISION,4,0,4,0,0.0,25
Jharkhand,2019,4,AAAP,NORTH CHOTANAGPUR DIVISION,12,0,12,0,0.0,26
Jharkhand,2019,4,AAAP,PALAMU DIVISION,3,0,3,0,0.0,27
Jharkhand,2019,4,AAAP,SANTHAL PARGANA DIVISION,4,0,4,0,0.0,28
Jharkhand,2019,4,AAAP,SOUTH CHOTANAGPUR DIVISION,3,0,3,0,0.0,29
Jharkhand,2019,4,AHNP,KOLHAN DIVISION,2,0,2,0,0.0,30
Jharkhand,2019,4,AIFB,KOLHAN DIVISION,1,0,1,0,0.0,31
Jharkhand,2019,4,AIFB,NORTH CHOTANAGPUR DIVISION,6,0,6,0,0.0,32
Jharkhand,2019,4,AIFB,SANTHAL PARGANA DIVISION,2,0,2,0,0.0,33
Jharkhand,2019,4,AIMIM,KOLHAN DIVISION,1,0,1,0,0.0,34
Jharkhand,2019,4,AIMIM,NORTH CHOTANAGPUR DIVISION,8,0,8,0,0.0,35
Jharkhand,2019,4,AIMIM,PALAMU DIVISION,2,0,2,0,0.0,36
Jharkhand,2019,4,AIMIM,SANTHAL PARGANA DIVISION,4,0,4,0,0.0,37
Jharkhand,2019,4,AIMIM,SOUTH CHOTANAGPUR DIVISION,1,0,1,0,0.0,38
Jharkhand,2019,4,AITC,KOLHAN DIVISION,4,0,4,0,0.0,39
Jharkhand,2019,4,AITC,NORTH CHOTANAGPUR DIVISION,7,0,7,0,0.0,40
Jharkhand,2019,4,AITC,PALAMU DIVISION,3,0,3,0,0.0,41
Jharkhand,2019,4,AITC,SANTHAL PARGANA DIVISION,9,0,9,0,0.0,42
Jharkhand,2019,4,AITC,SOUTH CHOTANAGPUR DIVISION,3,0,3,0,0.0,43
Jharkhand,2019,4,AJSUP,KOLHAN DIVISION,11,0,8,0,0.0,44
Jharkhand,2019,4,AJSUP,NORTH CHOTANAGPUR DIVISION,18,1,10,0.32,5.56,20
Jharkhand,2019,4,AJSUP,PALAMU DIVISION,2,0,2,0,0.0,45
Jharkhand,2019,4,AJSUP,SANTHAL PARGANA DIVISION,14,0,12,0,0.0,46
Jharkhand,2019,4,AJSUP,SOUTH CHOTANAGPUR DIVISION,8,1,5,1.59,12.5,17
Jharkhand,2019,4,AKBJHP,SOUTH CHOTANAGPUR DIVISION,1,0,1,0,0.0,47
Jharkhand,2019,4,AMB,KOLHAN DIVISION,5,0,5,0,0.0,48
Jharkhand,2019,4,AMB,NORTH CHOTANAGPUR DIVISION,2,0,2,0,0.0,49
Jharkhand,2019,4,AMB,SANTHAL PARGANA DIVISION,1,0,1,0,0.0,50
Jharkhand,2019,4,APoI,KOLHAN DIVISION,11,0,11,0,0.0,51
Jharkhand,2019,4,APoI,NORTH CHOTANAGPUR DIVISION,6,0,6,0,0.0,52
Jharkhand,2019,4,APoI,PALAMU DIVISION,1,0,1,0,0.0,53
Jharkhand,2019,4,APoI,SANTHAL PARGANA DIVISION,1,0,1,0,0.0,54
Jharkhand,2019,4,APoI,SOUTH CHOTANAGPUR DIVISION,3,0,3,0,0.0,55
Jharkhand,2019,4,BAHUMP,NORTH CHOTANAGPUR DIVISION,1,0,1,0,0.0,56
Jharkhand,2019,4,BALP,NORTH CHOTANAGPUR DIVISION,2,0,2,0,0.0,57
Jharkhand,2019,4,BALP,SANTHAL PARGANA DIVISION,4,0,4,0,0.0,58
Jharkhand,2019,4,BDlP,NORTH CHOTANAGPUR DIVISION,1,0,1,0,0.0,59
Jharkhand,2019,4,BDlP,SANTHAL PARGANA DIVISION,2,0,2,0,0.0,60
Jharkhand,2019,4,BHAZS,KOLHAN DIVISION,5,0,5,0,0.0,61
Jharkhand,2019,4,BHAZS,NORTH CHOTANAGPUR DIVISION,1,0,1,0,0.0,62
Jharkhand,2019,4,BJP,KOLHAN DIVISION,14,0,2,0,0.0,63
Jharkhand,2019,4,BJP,NORTH CHOTANAGPUR DIVISION,25,11,3,3.24,44.0,10
Jharkhand,2019,4,BJP,PALAMU DIVISION,8,5,0,8.42,62.5,6
Jharkhand,2019,4,BJP,SANTHAL PARGANA DIVISION,18,4,0,1.27,22.22,15
Jharkhand,2019,4,BJP,SOUTH CHOTANAGPUR DIVISION,14,5,1,3.35,35.71,13
Jharkhand,2019,4,BLRP,SANTHAL PARGANA DIVISION,1,0,1,0,0.0,64
Jharkhand,2019,4,BLSP,NORTH CHOTANAGPUR DIVISION,1,0,1,0,0.0,65
Jharkhand,2019,4,BLSP,PALAMU DIVISION,1,0,1,0,0.0,66
Jharkhand,2019,4,BLokSP,SANTHAL PARGANA DIVISION,1,0,1,0,0.0,67
Jharkhand,2019,4,BMUP,NORTH CHOTANAGPUR DIVISION,1,0,1,0,0.0,68
Jharkhand,2019,4,BMUP,PALAMU DIVISION,2,0,2,0,0.0,69
Jharkhand,2019,4,BMUP,SANTHAL PARGANA DIVISION,1,0,1,0,0.0,70
Jharkhand,2019,4,BNJD,SANTHAL PARGANA DIVISION,1,0,1,0,0.0,71
Jharkhand,2019,4,BRJNJGGWP,PALAMU DIVISION,1,0,1,0,0.0,72
Jharkhand,2019,4,BRJNJGGWP,SOUTH CHOTANAGPUR DIVISION,2,0,2,0,0.0,73
Jharkhand,2019,4,BRRTD,SANTHAL PARGANA DIVISION,1,0,1,0,0.0,74
Jharkhand,2019,4,BSP,KOLHAN DIVISION,10,0,10,0,0.0,75
Jharkhand,2019,4,BSP,NORTH CHOTANAGPUR DIVISION,23,0,23,0,0.0,76
Jharkhand,2019,4,BSP,PALAMU DIVISION,9,0,6,0,0.0,77
Jharkhand,2019,4,BSP,SANTHAL PARGANA DIVISION,14,0,14,0,0.0,78
Jharkhand,2019,4,BSP,SOUTH CHOTANAGPUR DIVISION,10,0,10,0,0.0,79
Jharkhand,2019,4,BTP,KOLHAN DIVISION,1,0,1,0,0.0,80
Jharkhand,2019,4,BTP,SOUTH CHOTANAGPUR DIVISION,4,0,4,0,0.0,81
