Assembly_No,TCPD_Prof_Main,MLAs_var
4,Agriculture,6
4,Business,22
4,Former Government,3
4,Labourer or Daily Wage,1
4,Liberal Profession or Professional,1
4,Other,10
4,Politics,24
4,Retired or Pension,2
4,Social Work,12
3,Agriculture,14
3,Business,16
3,Education,3
3,Former Government,2
3,Labourer or Daily Wage,1
3,Liberal Profession or Professional,1
3,Other,5
3,Politics,15
3,Retired or Pension,1
3,Salaried Work or Employed,3
3,Social Work,5
3,Unemployed,1
3,Unknown,14
2,Other,58
2,Unknown,23
1,Other,71
1,Unknown,10
