Assembly_No,Party_ID,MyNeta_education,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
4,8958,Doctorate,1,2,2019,AJSUP,50
4,8958,Post Graduate,1,2,2019,AJSUP,50
4,1605,10th Pass,2,25,2019,BJP,8
4,1605,12th Pass,5,25,2019,BJP,20
4,1605,Doctorate,2,25,2019,BJP,8
4,1605,Graduate,8,25,2019,BJP,32
4,1605,Graduate Professional,1,25,2019,BJP,4
4,1605,Literate,1,25,2019,BJP,4
4,1605,Others,1,25,2019,BJP,4
4,1605,Post Graduate,5,25,2019,BJP,20
4,2472,Post Graduate,1,1,2019,CPI(ML)(L),100
4,3482,10th Pass,1,16,2019,INC,6.25
4,3482,12th Pass,2,16,2019,INC,12.5
4,3482,8th Pass,1,16,2019,INC,6.25
4,3482,Doctorate,1,16,2019,INC,6.25
4,3482,Graduate,6,16,2019,INC,37.5
4,3482,Graduate Professional,3,16,2019,INC,18.75
4,3482,Post Graduate,2,16,2019,INC,12.5
4,10809,Graduate,1,2,2019,IND,50
4,10809,Post Graduate,1,2,2019,IND,50
4,4653,10th Pass,8,30,2019,JMM,26.67
4,4653,12th Pass,8,30,2019,JMM,26.67
4,4653,8th Pass,1,30,2019,JMM,3.33
4,4653,Graduate,8,30,2019,JMM,26.67
4,4653,Graduate Professional,2,30,2019,JMM,6.67
4,4653,Post Graduate,3,30,2019,JMM,10
4,4736,Graduate,3,3,2019,JVM,100
4,5792,10th Pass,1,1,2019,NCP,100
4,12103,10th Pass,1,1,2019,RJD,100
3,8958,Unknown,5,5,2014,AJSUP,100
3,1605,10th Pass,4,37,2014,BJP,10.81
3,1605,12th Pass,6,37,2014,BJP,16.22
3,1605,Doctorate,2,37,2014,BJP,5.41
3,1605,Graduate,13,37,2014,BJP,35.14
3,1605,Graduate Professional,3,37,2014,BJP,8.11
3,1605,Literate,1,37,2014,BJP,2.7
3,1605,Post Graduate,8,37,2014,BJP,21.62
3,16651,Graduate,1,1,2014,BSP,100
3,2472,Unknown,1,1,2014,CPI(M (L)L),100
3,3482,10th Pass,1,6,2014,INC,16.67
3,3482,12th Pass,1,6,2014,INC,16.67
3,3482,5th Pass,1,6,2014,INC,16.67
3,3482,Graduate,2,6,2014,INC,33.33
3,3482,Post Graduate,1,6,2014,INC,16.67
3,4012,Graduate,1,1,2014,JBSP,100
3,4717,10th Pass,1,1,2014,JKP,100
3,4653,10th Pass,2,19,2014,JMM,10.53
3,4653,12th Pass,4,19,2014,JMM,21.05
3,4653,8th Pass,2,19,2014,JMM,10.53
3,4653,Doctorate,1,19,2014,JMM,5.26
3,4653,Graduate,6,19,2014,JMM,31.58
3,4653,Graduate Professional,2,19,2014,JMM,10.53
3,4653,Post Graduate,2,19,2014,JMM,10.53
3,4736,Unknown,8,8,2014,JVM,100
3,11559,Graduate,1,1,2014,MCO,100
3,5838,Graduate,1,1,2014,NSAM,100
2,8958,Unknown,5,5,2009,AJSUP,100
2,1605,10th Pass,1,18,2009,BJP,5.56
2,1605,12th Pass,2,18,2009,BJP,11.11
2,1605,8th Pass,1,18,2009,BJP,5.56
2,1605,Graduate,12,18,2009,BJP,66.67
2,1605,Graduate Professional,1,18,2009,BJP,5.56
2,1605,Literate,1,18,2009,BJP,5.56
2,2472,Post Graduate,1,1,2009,CPI(ML)(L),100
2,3482,10th Pass,4,14,2009,INC,28.57
2,3482,12th Pass,3,14,2009,INC,21.43
2,3482,Graduate,1,14,2009,INC,7.14
2,3482,Graduate Professional,2,14,2009,INC,14.29
2,3482,Post Graduate,2,14,2009,INC,14.29
2,3482,Unknown,2,14,2009,INC,14.29
2,10809,5th Pass,1,2,2009,IND,50
2,10809,Unknown,1,2,2009,IND,50
2,4012,12th Pass,1,1,2009,JBSP,100
2,11002,10th Pass,1,2,2009,JD(U),50
2,11002,Post Graduate,1,2,2009,JD(U),50
2,4647,Unknown,1,1,2009,JHJAM,100
2,4717,10th Pass,1,1,2009,JKP,100
2,4653,10th Pass,3,18,2009,JMM,16.67
2,4653,12th Pass,6,18,2009,JMM,33.33
2,4653,Graduate,5,18,2009,JMM,27.78
2,4653,Others,1,18,2009,JMM,5.56
2,4653,Post Graduate,1,18,2009,JMM,5.56
2,4653,Unknown,2,18,2009,JMM,11.11
2,4736,Unknown,11,11,2009,JVM,100
2,11559,Unknown,1,1,2009,MCO,100
2,6603,Graduate,1,1,2009,RAKAP,100
2,12103,10th Pass,1,5,2009,RJD,20
2,12103,12th Pass,1,5,2009,RJD,20
2,12103,8th Pass,1,5,2009,RJD,20
2,12103,Others,1,5,2009,RJD,20
2,12103,Post Graduate,1,5,2009,RJD,20
1,3040,10th Pass,1,2,2005,AIFB,50
1,3040,Graduate,1,2,2005,AIFB,50
1,8958,Graduate,1,2,2005,AJSU,50
1,8958,Unknown,1,2,2005,AJSU,50
1,1605,10th Pass,4,30,2005,BJP,13.33
1,1605,12th Pass,1,30,2005,BJP,3.33
1,1605,Doctorate,1,30,2005,BJP,3.33
1,1605,Graduate,9,30,2005,BJP,30
1,1605,Graduate Professional,3,30,2005,BJP,10
1,1605,Literate,1,30,2005,BJP,3.33
1,1605,Others,1,30,2005,BJP,3.33
1,1605,Post Graduate,5,30,2005,BJP,16.67
1,1605,Unknown,5,30,2005,BJP,16.67
1,2472,Post Graduate,1,1,2005,CPI(ML)(L),100
1,3482,12th Pass,2,9,2005,INC,22.22
1,3482,Graduate,2,9,2005,INC,22.22
1,3482,Literate,1,9,2005,INC,11.11
1,3482,Post Graduate,2,9,2005,INC,22.22
1,3482,Unknown,2,9,2005,INC,22.22
1,10809,Graduate,2,3,2005,IND,66.67
1,10809,Post Graduate,1,3,2005,IND,33.33
1,11002,10th Pass,1,6,2005,JD(U),16.67
1,11002,12th Pass,2,6,2005,JD(U),33.33
1,11002,Graduate Professional,1,6,2005,JD(U),16.67
1,11002,Unknown,2,6,2005,JD(U),33.33
1,4717,10th Pass,1,1,2005,JKP,100
1,4653,10th Pass,5,17,2005,JMM,29.41
1,4653,12th Pass,1,17,2005,JMM,5.88
1,4653,8th Pass,2,17,2005,JMM,11.76
1,4653,Graduate,2,17,2005,JMM,11.76
1,4653,Graduate Professional,1,17,2005,JMM,5.88
1,4653,Literate,1,17,2005,JMM,5.88
1,4653,Unknown,5,17,2005,JMM,29.41
1,5792,10th Pass,1,1,2005,NCP,100
1,12103,10th Pass,1,7,2005,RJD,14.29
1,12103,12th Pass,2,7,2005,RJD,28.57
1,12103,8th Pass,1,7,2005,RJD,14.29
1,12103,Graduate,1,7,2005,RJD,14.29
1,12103,Others,1,7,2005,RJD,14.29
1,12103,Post Graduate,1,7,2005,RJD,14.29
1,8392,10th Pass,1,2,2005,UGDP,50
1,8392,Unknown,1,2,2005,UGDP,50
