Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,13,26,0,1,0,25,1,0,0,0,0,0,AAAP,0,#87CEEB,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,107,2,0,0,0,2,0,0,0,0,0,0,AHNP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,3040,9,0,0,1,8,0,1,0,0,0,0,AIFB,0.57,#DA0000,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,706,16,0,3,1,13,3,0,0,0,0,0,AIMIM,0.57,#285B35,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/3),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,18228,26,0,1,1,25,0,1,0,0,0,0,AITC,0.57,#4285F4,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,8958,53,5,11,13,36,6,11,1,1,0,0,AJSUP,7.47,#84df33,8.47,5 (8.47%),0,0.0% (0/5),0,0.0% (0/11),3.12
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,410,1,0,0,0,1,0,0,0,0,0,0,AKBJHP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,894,8,0,0,1,7,1,0,0,0,0,0,AMB,0.57,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,880,22,0,0,0,22,0,0,0,0,0,0,APoI,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,1060,1,0,0,0,1,0,0,0,0,0,0,BAHUMP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,18015,6,0,0,0,6,0,0,0,0,0,0,BALP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,1896,3,0,0,0,3,0,0,0,0,0,0,BDlP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,18317,6,0,1,1,5,0,1,0,0,0,0,BHAZS,0.57,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,1605,79,33,17,49,27,14,38,8,7,15,6,BJP,28.16,#ff9933,55.93,33 (55.93%),45.45,45.45% (15/33),35.29,35.29% (6/17),25
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,1990,1,0,0,0,1,0,0,0,0,0,0,BLRP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,16433,2,0,0,0,2,0,0,0,0,0,0,BLSP,0,#0388d6,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,1312,1,0,0,0,1,0,0,0,0,0,0,BLokSP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,1074,4,0,0,0,4,0,0,0,0,0,0,BMUP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,9441,1,0,0,0,1,0,0,0,0,0,0,BNJD,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,24493,3,0,0,0,3,0,0,0,0,0,0,BRJNJGGWP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,24494,1,0,0,0,1,0,0,0,0,0,0,BRRTD,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,16651,66,0,5,6,56,9,1,0,0,0,0,BSP,3.45,#003399,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/5),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,2055,5,0,0,0,5,0,0,0,0,0,0,BTP,0,#bddc3e,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,2038,2,0,0,1,1,1,0,0,0,0,0,BaSaPa,0.57,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,2444,18,0,1,6,11,5,2,0,0,0,0,CPI,3.45,#ff3300,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,2472,14,1,0,5,9,2,3,0,0,0,0,CPI(ML)(L),2.87,#9c6f73,1.69,1 (1.69%),0,0.0% (0/1),nan,nan% (0/0),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,2560,3,0,0,0,3,0,0,0,0,0,0,CPIM,0,#cc434f,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,14635,9,0,0,4,4,2,3,0,0,0,0,CPM,2.3,#991f00,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,24497,1,0,0,0,1,0,0,0,0,0,0,DD,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,3129,1,0,0,0,1,0,0,0,0,0,0,GGP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,3285,8,0,1,1,7,1,0,0,0,0,0,HAMS,0.57,#a09dcd,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,17560,1,0,0,0,1,0,0,0,0,0,0,HBP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,3247,1,0,0,0,1,0,0,0,0,0,0,HSP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,3482,31,3,4,11,16,3,12,9,8,3,2,INC,6.32,#138808,5.08,3 (5.08%),100,100.0% (3/3),50,50.0% (2/4),28.12
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,10809,367,1,0,12,353,9,5,2,2,0,0,IND,6.9,#808080,1.69,1 (1.69%),0,0.0% (0/1),nan,nan% (0/0),6.25
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,3952,5,0,0,0,5,0,0,0,0,0,0,IUML,0,#006600,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,4196,2,0,0,0,2,0,0,0,0,0,0,JAC,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,10979,1,0,1,1,0,1,0,0,0,0,0,JD(S),0.57,#166F46,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,11002,45,0,4,3,40,3,2,0,0,0,0,JD(U),1.72,#90f887,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/4),0
4,1216,59,31,81,72,13,174,1003,90,123,32,22,2019,4649,1,0,0,0,1,0,0,0,0,0,0,JKKP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
