Assembly_No,Party_ID,TCPD_Prof_Main,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
4,8958,Business,1,2,2019,AJSUP,50
4,8958,Former Government,1,2,2019,AJSUP,50
4,1605,Agriculture,2,25,2019,BJP,8
4,1605,Business,8,25,2019,BJP,32
4,1605,Other,5,25,2019,BJP,20
4,1605,Politics,6,25,2019,BJP,24
4,1605,Retired or Pension,1,25,2019,BJP,4
4,1605,Social Work,3,25,2019,BJP,12
4,2472,Politics,1,1,2019,CPI(ML)(L),100
4,3482,Business,5,16,2019,INC,31.25
4,3482,Former Government,1,16,2019,INC,6.25
4,3482,Liberal Profession or Professional,1,16,2019,INC,6.25
4,3482,Other,2,16,2019,INC,12.5
4,3482,Politics,4,16,2019,INC,25
4,3482,Retired or Pension,1,16,2019,INC,6.25
4,3482,Social Work,2,16,2019,INC,12.5
4,10809,Politics,1,2,2019,IND,50
4,10809,Social Work,1,2,2019,IND,50
4,4653,Agriculture,4,30,2019,JMM,13.33
4,4653,Business,7,30,2019,JMM,23.33
4,4653,Former Government,1,30,2019,JMM,3.33
4,4653,Labourer or Daily Wage,1,30,2019,JMM,3.33
4,4653,Other,3,30,2019,JMM,10
4,4653,Politics,8,30,2019,JMM,26.67
4,4653,Social Work,6,30,2019,JMM,20
4,4736,Politics,3,3,2019,JVM,100
4,5792,Business,1,1,2019,NCP,100
4,12103,Politics,1,1,2019,RJD,100
3,8958,Unknown,5,5,2014,AJSUP,100
3,1605,Agriculture,5,37,2014,BJP,13.51
3,1605,Business,9,37,2014,BJP,24.32
3,1605,Education,2,37,2014,BJP,5.41
3,1605,Former Government,1,37,2014,BJP,2.7
3,1605,Liberal Profession or Professional,1,37,2014,BJP,2.7
3,1605,Other,4,37,2014,BJP,10.81
3,1605,Politics,9,37,2014,BJP,24.32
3,1605,Retired or Pension,1,37,2014,BJP,2.7
3,1605,Salaried Work or Employed,2,37,2014,BJP,5.41
3,1605,Social Work,2,37,2014,BJP,5.41
3,1605,Unemployed,1,37,2014,BJP,2.7
3,16651,Agriculture,1,1,2014,BSP,100
3,2472,Unknown,1,1,2014,CPI(M (L)L),100
3,3482,Agriculture,2,6,2014,INC,33.33
3,3482,Business,3,6,2014,INC,50
3,3482,Politics,1,6,2014,INC,16.67
3,4012,Politics,1,1,2014,JBSP,100
3,4717,Politics,1,1,2014,JKP,100
3,4653,Agriculture,6,19,2014,JMM,31.58
3,4653,Business,3,19,2014,JMM,15.79
3,4653,Education,1,19,2014,JMM,5.26
3,4653,Former Government,1,19,2014,JMM,5.26
3,4653,Labourer or Daily Wage,1,19,2014,JMM,5.26
3,4653,Politics,3,19,2014,JMM,15.79
3,4653,Salaried Work or Employed,1,19,2014,JMM,5.26
3,4653,Social Work,3,19,2014,JMM,15.79
3,4736,Unknown,8,8,2014,JVM,100
3,11559,Other,1,1,2014,MCO,100
3,5838,Business,1,1,2014,NSAM,100
2,8958,Unknown,5,5,2009,AJSUP,100
2,1605,Other,18,18,2009,BJP,100
2,2472,Other,1,1,2009,CPI(ML)(L),100
2,3482,Other,12,14,2009,INC,85.71
2,3482,Unknown,2,14,2009,INC,14.29
2,10809,Other,1,2,2009,IND,50
2,10809,Unknown,1,2,2009,IND,50
2,4012,Other,1,1,2009,JBSP,100
2,11002,Other,2,2,2009,JD(U),100
2,4647,Unknown,1,1,2009,JHJAM,100
2,4717,Other,1,1,2009,JKP,100
2,4653,Other,16,18,2009,JMM,88.89
2,4653,Unknown,2,18,2009,JMM,11.11
2,4736,Unknown,11,11,2009,JVM,100
2,11559,Unknown,1,1,2009,MCO,100
2,6603,Other,1,1,2009,RAKAP,100
2,12103,Other,5,5,2009,RJD,100
1,3040,Other,2,2,2005,AIFB,100
1,8958,Other,1,2,2005,AJSU,50
1,8958,Unknown,1,2,2005,AJSU,50
1,1605,Other,27,30,2005,BJP,90
1,1605,Unknown,3,30,2005,BJP,10
1,2472,Other,1,1,2005,CPI(ML)(L),100
1,3482,Other,8,9,2005,INC,88.89
1,3482,Unknown,1,9,2005,INC,11.11
1,10809,Other,3,3,2005,IND,100
1,11002,Other,6,6,2005,JD(U),100
1,4717,Other,1,1,2005,JKP,100
1,4653,Other,13,17,2005,JMM,76.47
1,4653,Unknown,4,17,2005,JMM,23.53
1,5792,Other,1,1,2005,NCP,100
1,12103,Other,7,7,2005,RJD,100
1,8392,Other,1,2,2005,UGDP,50
1,8392,Unknown,1,2,2005,UGDP,50
