Assembly_No,MyNeta_education,MLAs_var
11,10th Pass,30
11,12th Pass,37
11,5th Pass,3
11,8th Pass,8
11,Doctorate,1
11,Graduate,62
11,Graduate Professional,48
11,Others,6
11,Post Graduate,26
11,Unknown,3
10,10th Pass,33
10,12th Pass,34
10,5th Pass,5
10,8th Pass,9
10,Doctorate,2
10,Graduate,60
10,Graduate Professional,44
10,Literate,1
10,Others,4
10,Post Graduate,30
10,Unknown,2
9,10th Pass,22
9,12th Pass,41
9,5th Pass,3
9,8th Pass,9
9,Doctorate,1
9,Graduate,58
9,Graduate Professional,52
9,Others,5
9,Post Graduate,21
9,Unknown,12
8,10th Pass,30
8,12th Pass,36
8,5th Pass,3
8,8th Pass,7
8,Graduate,65
8,Graduate Professional,34
8,Illiterate,1
8,Literate,1
8,Others,3
8,Post Graduate,16
8,Unknown,28
