Assembly_No,Total_Candidates,Contesting_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,Recontesting_Candidates,First_Contests,Second_Contests,Multiple_Contests,No_first_time_winners,First_Contest_Winners,Year,Recontesting_Candidates_pct,First_Contests_pct,Second_Contests_pct,Multiple_Contests_pct,Contesting_Incumbents_pct,Successful_Incumbents_pct,No_first_time_winners_pct,First_Contest_Winners_pct,Incumbent_Strike_Rate,Turncoat_Strike_Rate
11,2615,156,74,224,89,16,396,2058,223,334,101,85,2023,15.14,78.7,8.53,12.77,69.64,33.04,45.09,37.95,47.44,17.98
10,2655,211,99,224,148,39,571,1981,294,380,63,25,2018,21.51,74.61,11.07,14.31,94.2,44.2,28.12,11.16,46.92,26.35
9,2948,209,98,224,115,18,543,2292,304,352,68,37,2013,18.42,77.75,10.31,11.94,93.3,43.75,30.36,16.52,46.89,15.65
8,2242,189,98,224,117,27,400,1752,181,309,92,64,2008,17.84,78.14,8.07,13.78,84.38,43.75,41.07,28.57,51.85,23.08
7,1715,189,72,224,123,34,425,1204,194,317,103,57,2004,24.78,70.2,11.31,18.48,84.38,32.14,45.98,25.45,38.1,27.64
6,1341,201,85,224,170,46,390,875,182,284,87,53,1999,29.08,65.25,13.57,21.18,89.73,37.95,38.84,23.66,42.29,27.06
5,2497,174,53,224,191,96,452,1918,276,303,122,65,1994,18.1,76.81,11.05,12.13,77.68,23.66,54.46,29.02,30.46,50.26
4,2043,168,61,224,116,18,329,1608,229,206,118,74,1989,16.1,78.71,11.21,10.08,75,27.23,52.68,33.04,36.31,15.52
3,1795,156,89,224,20,12,266,1471,204,120,125,86,1985,14.82,81.95,11.36,6.69,69.64,39.73,55.8,38.39,57.05,60
2,1365,135,57,224,55,31,264,1095,267,3,167,109,1983,19.34,80.22,19.56,0.22,60.27,25.45,74.55,48.66,42.22,56.36
1,1165,0,0,224,0,0,0,1165,0,0,224,224,1978,0,100,0,0,0,0,100,100,0,0
