State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Karnataka,11,2023,5,1,NIPPANI,83,39.14,General,225798,10,1,Female,BJP,73348,JOLLE SHASHIKALA ANNASAHEB,3.89,UTTAM RAOSAHEB PATIL,NCP,M,0.49,BJP,JOLLE SHASHIKALA ANNASAHEB,-11.37,0.62,-1.05,
Karnataka,11,2023,5,2,CHIKKODI-SADALGA,81.47,69.82,General,225647,11,1,Male,INC,128349,GANESH PRAKASH HUKKERI,42.71,KATTI RAMESH VISHWANATH,BJP,M,0.52,INC,GANESH PRAKASH HUKKERI,18.78,-5.41,36.81,
Karnataka,11,2023,5,3,ATHANI,80.23,68.34,General,239660,13,1,Male,INC,131404,LAXMAN. SANGAPPA. SAVADI,39.59,MAHESH. IRANGOUDA. KUMATHALLI.,BJP,M,0.54,INC,MAHESH IRANAGOUDA KUMATHALLI,20.21,-0.98,38.22,
Karnataka,11,2023,5,4,KAGWAD,82.3,51.45,General,196936,11,1,Male,INC,83387,BHARAMGOUDA ALAGOUDA KAGE,5.45,SHRIMANT BALASAHEB PATIL,BJP,M,0.61,INC,SHRIMANT BALASAHEB PATIL,-5.54,0.76,-17.15,
Karnataka,11,2023,5,5,KUDACHI,77.08,56.87,SC,194655,7,1,Male,INC,85321,MAHENDRA. KALLAPPA. TAMMANNAVAR,16.82,P. RAJEEV,BJP,M,0.43,BJP,P.RAJEEV,7.27,-0.25,5.84,INC
Karnataka,11,2023,5,6,RAYBAG,77.1,34.79,SC,214381,10,1,Male,BJP,57500,AIHOLE DURYODHAN MAHALINGAPPA,1.55,SHAMBHU KALLOLIKAR,IND,M,1.13,BJP,AIHOLE DURYODHAN MAHALINGAPPA,-10.09,-1.36,-9.45,
Karnataka,11,2023,5,7,HUKKERI,80.3,61.69,General,209095,7,1,Male,BJP,103574,KATTI NIKHIL UMESH,25.34,A.B.PATIL,INC,M,0.7,BJP,UMESH VISHWANATH KATTI,8.75,-1.92,15.6,
Karnataka,11,2023,5,8,ARABHAVI,76.62,60.7,General,248114,13,1,Male,BJP,115402,BALACHANDRA LAXMANRAO JARKIHOLI,37.63,BHIMAPPA GUNDAPPA GADAD,IND,M,0.49,BJP,BALACHANDRA LAKSHMANARAO JARAKIHOLI,6.36,-0.87,10.88,
Karnataka,11,2023,5,9,GOKAK,74.08,55.31,General,257006,10,1,Male,BJP,105313,JARKIHOLI RAMESH LAXMANRAO,13.35,KADADI MAHANTESH KALLAPPA,INC,M,0.56,INC,JARKIHOLI RAMESH LAXMANRAO,3.44,1.05,5.14,BJP
Karnataka,11,2023,5,10,YEMKANMARDI,82.53,60.25,ST,201679,5,1,Male,INC,100290,SATISH LAXMANARAO JARKIHOLI,34.37,BASAVARAJ HUNDRI,BJP,M,0.6,INC,SATISH. L. JARKIHOLI,11.09,2.04,32.46,
Karnataka,11,2023,5,11,BELGAUM UTTAR,59.53,46.28,General,251097,15,1,Male,INC,69184,Asif (Raju) Sait,2.83,DR. RAVI B. PATIL,BJP,M,0.78,BJP,ANIL S BENAKE,-7.35,-4.7,-8.88,INC
Karnataka,11,2023,5,12,BELGAUM DAKSHIN,63.46,48.45,General,250726,8,1,Male,BJP,77094,ABHAY PATIL,7.74,RAMAKANT KONDUSKAR,IND,M,1,BJP,ABHAY PATIL,-9.14,-0.11,-32.26,
Karnataka,11,2023,5,13,BELGAUM RURAL,79.01,52.61,General,258906,12,1,Female,INC,107619,Laxmi R. Hebbalkar,27.38,Nagesh Annappa Manolkar,BJP,M,0.57,INC,LAXMI R HEBBALKAR,-2.13,-0.63,-0.37,
Karnataka,11,2023,5,14,KHANAPUR,75.69,57.04,General,212727,13,1,Male,BJP,91834,Vithal Somanna Halagekar,33.93,Dr. Anjali Hemant Nimbalkar,INC,F,0.77,INC,DR. ANJALI HEMANT NIMBALKAR,33.28,0.35,30.6,BJP
