State_Name,Year,Assembly_No,Party,Total_Seats_in_Assembly,Total_Votes_in_Assembly,Total_Votes_in_Contested_Seats,Total_Candidates,Winners,Deposits_Lost,Strike_Rate,Seat_Share,Vote_Share_in_Assembly,Vote_Share_in_Contested_Seats,position,Expanded_Party_Name
Karnataka,2023,11,AAAP,224,39154967,36675461,209,0,209,0.0,0,0.58,0.62,7,
Karnataka,2023,11,ABHM,224,39154967,1116674,6,0,6,0.0,0,0,0.06,8,
Karnataka,2023,11,ABML(S),224,39154967,178845,1,0,1,0.0,0,0,0.04,9,
Karnataka,2023,11,AIFB,224,39154967,509569,3,0,3,0.0,0,0,0.15,10,
Karnataka,2023,11,AIMEP,224,39154967,626177,4,0,4,0.0,0,0,0.09,11,
Karnataka,2023,11,AIMIM,224,39154967,307086,2,0,2,0.0,0,0.02,2.32,12,
Karnataka,2023,11,Aihra National Party,224,39154967,518186,3,0,3,0.0,0,0,0.09,13,
Karnataka,2023,11,All India Hindustan Congress Party,224,39154967,170567,1,0,1,0.0,0,0,0.14,14,
Karnataka,2023,11,All India Majlis-E-Inquilab-E-Millat,224,39154967,357652,2,0,2,0.0,0,0,0.11,15,
Karnataka,2023,11,All India Ulama Congress,224,39154967,155002,1,0,1,0.0,0,0,0.36,16,
Karnataka,2023,11,Azad Mazdoor Kissan Party,224,39154967,192279,1,0,1,0.0,0,0,0.05,17,
Karnataka,2023,11,BJP,224,39154967,39154967,224,66,31,29.464285714285715,29.46,36,36,2,BHARATIYA JANATA PARTY
Karnataka,2023,11,BSP,224,39154967,23656881,133,0,132,0.0,0,0.31,0.51,18,BAHUJAN SAMAJ PARTY
Karnataka,2023,11,Bahujan Bharat Party,224,39154967,565634,3,0,3,0.0,0,0,0.11,19,
Karnataka,2023,11,Bharathiya Belaku Party,224,39154967,901662,5,0,5,0.0,0,0,0.15,20,
Karnataka,2023,11,Bharatiya Dr. B.R.Ambedkar Janta Party,224,39154967,193941,1,0,1,0.0,0,0,0.1,21,
