State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Karnataka,2023,11,1,NIPPANI,GEN,JOLLE SHASHIKALA ANNASAHEB,BJP,73348,1,39.14,1,JOLLE SHASHIKALA ANNASAHEB,0,-11.37
Karnataka,2023,11,1,NIPPANI,GEN,UTTAM RAOSAHEB PATIL,NCP,66056,2,35.25,,,,35.25
Karnataka,2023,11,1,NIPPANI,GEN,KAKASAHEB P. PATIL,INC,44107,3,23.53,2,KAKASO PANDURANG PATIL,-1,-22.04
Karnataka,2023,11,1,NIPPANI,GEN,NOTA,None of the Above,919,4,0.49,,,,0.49
Karnataka,2023,11,1,NIPPANI,GEN,SHAKUNTALA ASHOK TELI,Kalyana Rajya Pragathi Paksha,646,5,0.34,,,,0.34
Karnataka,2023,11,1,NIPPANI,GEN,RAJARAM URF RAJU POWAR,JD(S),611,6,0.33,,,,0.33
Karnataka,2023,11,1,NIPPANI,GEN,RAJESH BANAVANNA,AAAP,572,7,0.31,,,,0.31
Karnataka,2023,11,2,CHIKKODI-SADALGA,GEN,GANESH PRAKASH HUKKERI,INC,128349,1,69.82,1,GANESH PRAKASH HUKKERI,0,18.78
Karnataka,2023,11,2,CHIKKODI-SADALGA,GEN,KATTI RAMESH VISHWANATH,BJP,49840,2,27.11,2,ANNASAHEB SHANKAR JOLLE,0,-18.03
Karnataka,2023,11,2,CHIKKODI-SADALGA,GEN,ARJUN BANDU MANE,BSP,1284,3,0.7,3,SADASHIVAPPA MARUTI WALKE,0,-0.94
Karnataka,2023,11,2,CHIKKODI-SADALGA,GEN,NOTA,None of the Above,957,4,0.52,,,,0.52
Karnataka,2023,11,2,CHIKKODI-SADALGA,GEN,SUHAS SADASHIVAPPA WALKE,JD(S),702,5,0.38,,,,0.38
Karnataka,2023,11,2,CHIKKODI-SADALGA,GEN,MANJUNATH BALU PARAGOUD,Karnataka Rajya Ryota Sangha,434,8,0.24,,,,0.24
Karnataka,2023,11,2,CHIKKODI-SADALGA,GEN,SHRIKANT MUDAGOUD PATIL,AAAP,406,9,0.22,,,,0.22
Karnataka,2023,11,2,CHIKKODI-SADALGA,GEN,ISHWAR MARUTI GUDAJ,Bahujan Bharat Party,196,10,0.11,,,,0.11
Karnataka,2023,11,2,CHIKKODI-SADALGA,GEN,APPASAHEB SHRIPATI KURANE,Indian Movement Party,167,11,0.09,,,,0.09
Karnataka,2023,11,2,CHIKKODI-SADALGA,GEN,KUMAR SAMBHAJI DONGARE,Karnataka Rashtra Samithi,147,12,0.08,,,,0.08
Karnataka,2023,11,3,ATHANI,GEN,LAXMAN. SANGAPPA. SAVADI,INC,131404,1,68.34,1,MAHESH IRANAGOUDA KUMATHALLI,0,20.21
Karnataka,2023,11,3,ATHANI,GEN,MAHESH. IRANGOUDA. KUMATHALLI.,BJP,55282,2,28.75,2,LAXMAN SANGAPPA SAVADI,0,-18.01
Karnataka,2023,11,3,ATHANI,GEN,SHASHIKANT PADASALAGI,JD(S),1265,3,0.66,3,GIRISH KEDAREPPA BUTALI,0,-1.32
Karnataka,2023,11,3,ATHANI,GEN,NOTA,None of the Above,1037,5,0.54,,,,0.54
Karnataka,2023,11,3,ATHANI,GEN,BASAVARAJ. BHIMAPPA. BISANAKOPPA,Kalyana Rajya Pragathi Paksha,935,6,0.49,,,,0.49
