State_Name,Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Karnataka,2023,11,BJP,224,66,31,3.33,29.46,2
Karnataka,2023,11,INC,223,135,11,7.83,60.54,1
Karnataka,2023,11,IND,917,2,898,0.03,0.22,6
Karnataka,2023,11,JD(S),209,19,139,0.72,9.09,4
Karnataka,2023,11,Kalyana Rajya Pragathi Paksha,46,1,42,0.11,2.17,5
Karnataka,2023,11,Sarvodaya Karnataka Paksha,8,1,7,0.74,12.5,3
Karnataka,2018,10,BJP,224,104,36,5.47,46.43,1
Karnataka,2018,10,BSP,18,1,17,0.64,5.56,4
Karnataka,2018,10,INC,222,80,13,3.57,36.04,2
Karnataka,2018,10,IND,1142,1,1127,0,0.09,6
Karnataka,2018,10,JD(S),201,37,108,2.42,18.41,3
Karnataka,2018,10,KPJP,32,1,31,0.08,3.12,5
Karnataka,2013,9,BJP,223,40,110,1.93,17.94,3
Karnataka,2013,9,BSRCP,176,4,164,0.54,2.27,8
Karnataka,2013,9,INC,224,122,23,6.9,54.46,1
Karnataka,2013,9,IND,1217,9,1190,0.12,0.74,9
Karnataka,2013,9,JD(S),222,40,110,2,18.02,2
Karnataka,2013,9,KJP,204,6,146,0.21,2.94,7
Karnataka,2013,9,KMP,7,1,6,1.81,14.29,5
Karnataka,2013,9,SKP,6,1,5,1.02,16.67,4
Karnataka,2013,9,SP,27,1,26,0.14,3.7,6
Karnataka,2008,8,BJP,224,110,31,5.76,49.11,1
Karnataka,2008,8,INC,222,80,11,3.13,36.04,2
Karnataka,2008,8,IND,944,6,923,0.05,0.64,4
Karnataka,2008,8,JD(S),219,28,107,1.44,12.79,3
Karnataka,2004,7,BJP,198,79,42,4.03,39.9,1
Karnataka,2004,7,CPM,5,1,3,2.03,20.0,5
Karnataka,2004,7,INC,224,65,7,3.33,29.02,3
Karnataka,2004,7,IND,442,13,405,0.24,2.94,8
Karnataka,2004,7,JD(S),220,58,104,2.86,26.36,4
Karnataka,2004,7,JD(U),26,5,14,1.74,19.23,7
Karnataka,2004,7,KCVP,5,1,4,1.81,20.0,6
Karnataka,2004,7,KNDP,188,1,187,0.01,0.53,9
Karnataka,2004,7,RPI,3,1,2,5.63,33.33,2
Karnataka,1999,6,ADMK,13,1,12,0.48,7.69,4
Karnataka,1999,6,BJP,149,44,37,2.56,29.53,2
Karnataka,1999,6,INC,222,132,8,8.53,59.46,1
Karnataka,1999,6,IND,476,19,416,0.51,3.99,6
Karnataka,1999,6,JD(S),203,10,148,0.35,4.93,5
Karnataka,1999,6,JD(U),112,18,38,1.84,16.07,3
Karnataka,1994,5,ADMK,4,1,2,1.08,25.0,4
Karnataka,1994,5,BJP,223,40,135,1.91,17.94,5
Karnataka,1994,5,BRP,2,1,1,7.4,50.0,2
Karnataka,1994,5,BSP,77,1,76,0.05,1.3,11
Karnataka,1994,5,CPM,13,1,10,0.56,7.69,7
Karnataka,1994,5,INC,221,34,38,1.38,15.38,6
Karnataka,1994,5,IND,1256,18,1212,0.17,1.43,10
Karnataka,1994,5,INL,2,1,1,6.76,50.0,3
Karnataka,1994,5,JD,221,115,36,8.29,52.04,1
Karnataka,1994,5,KCP,218,10,185,0.48,4.59,8
Karnataka,1994,5,KCVP,42,1,41,0.13,2.38,9
Karnataka,1994,5,KRRS,88,1,79,0.13,1.14,12
Karnataka,1989,4,ADK,1,1,0,32.2,100.0,1
Karnataka,1989,4,BJP,118,4,101,0.12,3.39,5
Karnataka,1989,4,INC,221,178,7,12.59,80.54,2
Karnataka,1989,4,IND,1088,12,1054,0.19,1.1,7
Karnataka,1989,4,JD,209,24,38,0.83,11.48,3
Karnataka,1989,4,JNP(JP),217,2,154,0.11,0.92,8
Karnataka,1989,4,KRS,105,2,84,0.33,1.9,6
Karnataka,1989,4,MUL,13,1,12,0.27,7.69,4
Karnataka,1985,3,BJP,116,2,99,0.22,1.72,5
Karnataka,1985,3,CPI,7,3,3,3.19,42.86,2
Karnataka,1985,3,CPM,7,2,2,8.72,28.57,4
Karnataka,1985,3,INC,223,65,5,2.96,29.15,3
Karnataka,1985,3,IND,1200,13,1162,0.12,1.08,6
Karnataka,1985,3,JNP,205,139,8,8.95,67.8,1
Karnataka,1983,2,ADMK,1,1,0,3.05,100.0,1
Karnataka,1983,2,BJP,110,18,71,1.66,16.36,6
Karnataka,1983,2,CPI,7,3,1,8.73,42.86,4
Karnataka,1983,2,CPM,4,3,0,12.06,75.0,2
Karnataka,1983,2,INC,221,82,1,5.93,37.1,5
Karnataka,1983,2,IND,751,22,686,0.54,2.93,7
Karnataka,1983,2,JNP,193,95,43,8.4,49.22,3
Karnataka,1978,1,CPI,6,3,0,8.17,50.0,2
Karnataka,1978,1,INC,212,2,176,0.06,0.94,6
Karnataka,1978,1,INC(I),214,149,2,11.34,69.63,1
Karnataka,1978,1,IND,480,10,456,0.23,2.08,5
Karnataka,1978,1,JNP,222,59,5,3.56,26.58,4
Karnataka,1978,1,RPI,3,1,2,5.88,33.33,3
