State_Name,Year,Assembly_No,Party,Sub_Region,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Karnataka,2023,11,AAAP,Bengaluru Karnataka,36,0,36,0,0.0,22
Karnataka,2023,11,AAAP,Bombay Karnataka,44,0,44,0,0.0,23
Karnataka,2023,11,AAAP,Central Karnataka,35,0,35,0,0.0,24
Karnataka,2023,11,AAAP,Coastal Karnataka,18,0,18,0,0.0,25
Karnataka,2023,11,AAAP,Hyderabad Karnataka,26,0,26,0,0.0,26
Karnataka,2023,11,AAAP,Southern Karnataka,50,0,50,0,0.0,27
Karnataka,2023,11,ABHM,Bengaluru Karnataka,3,0,3,0,0.0,28
Karnataka,2023,11,ABHM,Coastal Karnataka,2,0,2,0,0.0,29
Karnataka,2023,11,ABHM,Hyderabad Karnataka,1,0,1,0,0.0,30
Karnataka,2023,11,ABML(S),Hyderabad Karnataka,1,0,1,0,0.0,31
Karnataka,2023,11,AIFB,Bengaluru Karnataka,2,0,2,0,0.0,32
Karnataka,2023,11,AIFB,Central Karnataka,1,0,1,0,0.0,33
Karnataka,2023,11,AIMEP,Bengaluru Karnataka,2,0,2,0,0.0,34
Karnataka,2023,11,AIMEP,Southern Karnataka,2,0,2,0,0.0,35
Karnataka,2023,11,AIMIM,Bombay Karnataka,2,0,2,0,0.0,36
Karnataka,2023,11,Aihra National Party,Bombay Karnataka,1,0,1,0,0.0,37
Karnataka,2023,11,Aihra National Party,Southern Karnataka,2,0,2,0,0.0,38
Karnataka,2023,11,All India Hindustan Congress Party,Bombay Karnataka,1,0,1,0,0.0,39
Karnataka,2023,11,All India Majlis-E-Inquilab-E-Millat,Hyderabad Karnataka,2,0,2,0,0.0,40
Karnataka,2023,11,All India Ulama Congress,Hyderabad Karnataka,1,0,1,0,0.0,41
Karnataka,2023,11,Azad Mazdoor Kissan Party,Bombay Karnataka,1,0,1,0,0.0,42
Karnataka,2023,11,BJP,Bengaluru Karnataka,36,17,4,7.53,47.22,7
Karnataka,2023,11,BJP,Bombay Karnataka,50,16,0,4.84,32.0,8
Karnataka,2023,11,BJP,Central Karnataka,36,6,5,1,16.67,13
Karnataka,2023,11,BJP,Coastal Karnataka,19,13,0,7.78,68.42,2
Karnataka,2023,11,BJP,Hyderabad Karnataka,31,9,2,1.09,29.03,10
Karnataka,2023,11,BJP,Southern Karnataka,52,5,20,0.29,9.62,14
Karnataka,2023,11,BSP,Bengaluru Karnataka,28,0,27,0,0.0,43
Karnataka,2023,11,BSP,Bombay Karnataka,20,0,20,0,0.0,44
Karnataka,2023,11,BSP,Central Karnataka,19,0,19,0,0.0,45
Karnataka,2023,11,BSP,Coastal Karnataka,1,0,1,0,0.0,46
Karnataka,2023,11,BSP,Hyderabad Karnataka,23,0,23,0,0.0,47
Karnataka,2023,11,BSP,Southern Karnataka,42,0,42,0,0.0,48
Karnataka,2023,11,Bahujan Bharat Party,Bengaluru Karnataka,1,0,1,0,0.0,49
Karnataka,2023,11,Bahujan Bharat Party,Bombay Karnataka,2,0,2,0,0.0,50
Karnataka,2023,11,Bharathiya Belaku Party,Coastal Karnataka,1,0,1,0,0.0,51
Karnataka,2023,11,Bharathiya Belaku Party,Southern Karnataka,4,0,4,0,0.0,52
Karnataka,2023,11,Bharatiya Dr. B.R.Ambedkar Janta Party,Southern Karnataka,1,0,1,0,0.0,53
Karnataka,2023,11,Bharatiya Praja Aikyata Party,Bombay Karnataka,1,0,1,0,0.0,54
Karnataka,2023,11,Bharatiya Praja Aikyata Party,Hyderabad Karnataka,1,0,1,0,0.0,55
Karnataka,2023,11,Bharatiya Prajagala Kalyana Paksha,Bengaluru Karnataka,4,0,4,0,0.0,56
Karnataka,2023,11,Bharatiya Prajagala Kalyana Paksha,Hyderabad Karnataka,1,0,1,0,0.0,57
Karnataka,2023,11,Bharatiya Rashtravadi Paksha,Bombay Karnataka,1,0,1,0,0.0,58
Karnataka,2023,11,Bharatiya Rashtravadi Paksha,Hyderabad Karnataka,1,0,1,0,0.0,59
Karnataka,2023,11,Bhartiya Jan Samrat Party,Hyderabad Karnataka,1,0,1,0,0.0,60
Karnataka,2023,11,BhartiyaBahujanKranti Dal,Central Karnataka,1,0,1,0,0.0,61
Karnataka,2023,11,BhartiyaBahujanKranti Dal,Hyderabad Karnataka,1,0,1,0,0.0,62
Karnataka,2023,11,BhartiyaBahujanKranti Dal,Southern Karnataka,3,0,3,0,0.0,63
Karnataka,2023,11,CPI,Central Karnataka,2,0,2,0,0.0,64
Karnataka,2023,11,CPI,Hyderabad Karnataka,2,0,2,0,0.0,65
Karnataka,2023,11,CPI,Southern Karnataka,3,0,3,0,0.0,66
Karnataka,2023,11,CPI(ML)(L),Bengaluru Karnataka,1,0,1,0,0.0,67
Karnataka,2023,11,CPI(ML)(L),Hyderabad Karnataka,1,0,1,0,0.0,68
Karnataka,2023,11,CPM,Bengaluru Karnataka,1,0,1,0,0.0,69
Karnataka,2023,11,CPM,Hyderabad Karnataka,1,0,1,0,0.0,70
Karnataka,2023,11,CPM,Southern Karnataka,2,0,2,0,0.0,71
Karnataka,2023,11,Communist Party of India (Marxist-Leninist) Red Star,Central Karnataka,1,0,1,0,0.0,72
Karnataka,2023,11,Country Citizen Party,Hyderabad Karnataka,1,0,1,0,0.0,73
Karnataka,2023,11,Country Citizen Party,Southern Karnataka,3,0,3,0,0.0,74
Karnataka,2023,11,Desh Prem Party,Bengaluru Karnataka,1,0,1,0,0.0,75
Karnataka,2023,11,Desh Prem Party,Central Karnataka,2,0,2,0,0.0,76
Karnataka,2023,11,Dr. Ambedkar People's Party,Bombay Karnataka,1,0,1,0,0.0,77
Karnataka,2023,11,Dr. Ambedkar People's Party,Hyderabad Karnataka,1,0,1,0,0.0,78
Karnataka,2023,11,Dr. Ambedkar People's Party,Southern Karnataka,1,0,1,0,0.0,79
Karnataka,2023,11,Gareeb Aadmi Party,Bengaluru Karnataka,1,0,1,0,0.0,80
Karnataka,2023,11,Hindustan Janta Party,Bombay Karnataka,1,0,1,0,0.0,81
Karnataka,2023,11,Hindustan Janta Party,Hyderabad Karnataka,1,0,1,0,0.0,82
Karnataka,2023,11,Hindustan Janta Party Secular,Bombay Karnataka,3,0,3,0,0.0,83
Karnataka,2023,11,Hindustan Janta Party Secular,Coastal Karnataka,1,0,1,0,0.0,84
Karnataka,2023,11,INC,Bengaluru Karnataka,36,18,2,8.6,50.0,6
Karnataka,2023,11,INC,Bombay Karnataka,50,33,3,8.3,66.0,3
Karnataka,2023,11,INC,Central Karnataka,36,27,2,10.14,75.0,1
Karnataka,2023,11,INC,Coastal Karnataka,19,6,1,2.35,31.58,9
Karnataka,2023,11,INC,Hyderabad Karnataka,31,19,1,6.55,61.29,5
Karnataka,2023,11,INC,Southern Karnataka,51,32,2,8.02,62.75,4
Karnataka,2023,11,IND,Bengaluru Karnataka,180,0,180,0,0.0,85
Karnataka,2023,11,IND,Bombay Karnataka,196,0,190,0,0.0,86
Karnataka,2023,11,IND,Central Karnataka,163,1,157,0.05,0.61,20
Karnataka,2023,11,IND,Coastal Karnataka,37,0,36,0,0.0,87
Karnataka,2023,11,IND,Hyderabad Karnataka,101,0,99,0,0.0,88
Karnataka,2023,11,IND,Southern Karnataka,240,1,236,0.09,0.42,21
Karnataka,2023,11,Indian Christian Front,Bengaluru Karnataka,1,0,1,0,0.0,89
Karnataka,2023,11,Indian Labour Party (Ambedkar Phule),Bengaluru Karnataka,2,0,2,0,0.0,90
Karnataka,2023,11,Indian Labour Party (Ambedkar Phule),Southern Karnataka,1,0,1,0,0.0,91
Karnataka,2023,11,Indian Movement Party,Bengaluru Karnataka,8,0,8,0,0.0,92
Karnataka,2023,11,Indian Movement Party,Bombay Karnataka,11,0,11,0,0.0,93
Karnataka,2023,11,Indian Movement Party,Central Karnataka,1,0,1,0,0.0,94
Karnataka,2023,11,Indian Movement Party,Coastal Karnataka,1,0,1,0,0.0,95
Karnataka,2023,11,Indian Movement Party,Hyderabad Karnataka,5,0,5,0,0.0,96
Karnataka,2023,11,Indian Movement Party,Southern Karnataka,6,0,6,0,0.0,97
Karnataka,2023,11,Indian New Congress Party,Bengaluru Karnataka,1,0,1,0,0.0,98
Karnataka,2023,11,JD(S),Bengaluru Karnataka,31,1,23,0.26,3.23,18
Karnataka,2023,11,JD(S),Bombay Karnataka,49,1,43,0.27,2.04,19
Karnataka,2023,11,JD(S),Central Karnataka,31,2,23,0.46,6.45,17
Karnataka,2023,11,JD(S),Coastal Karnataka,18,0,16,0,0.0,99
Karnataka,2023,11,JD(S),Hyderabad Karnataka,30,2,21,0.7,6.67,16
Karnataka,2023,11,JD(S),Southern Karnataka,50,13,13,1.89,26.0,11
Karnataka,2023,11,Jai Maha Bharath Party,Bengaluru Karnataka,4,0,4,0,0.0,100
Karnataka,2023,11,Jai Maha Bharath Party,Central Karnataka,1,0,1,0,0.0,101
Karnataka,2023,11,Jai Maha Bharath Party,Southern Karnataka,1,0,1,0,0.0,102
Karnataka,2023,11,Jana Spandana Party,Bengaluru Karnataka,1,0,1,0,0.0,103
Karnataka,2023,11,Jana Spandana Party,Hyderabad Karnataka,1,0,1,0,0.0,104
Karnataka,2023,11,Janahitha Paksha,Bengaluru Karnataka,1,0,1,0,0.0,105
Karnataka,2023,11,Janahitha Paksha,Central Karnataka,1,0,1,0,0.0,106
Karnataka,2023,11,Janahitha Paksha,Coastal Karnataka,1,0,1,0,0.0,107
Karnataka,2023,11,Janahitha Paksha,Hyderabad Karnataka,1,0,1,0,0.0,108
Karnataka,2023,11,Janata Dal(United),Bengaluru Karnataka,5,0,5,0,0.0,109
Karnataka,2023,11,Janata Dal(United),Central Karnataka,1,0,1,0,0.0,110
Karnataka,2023,11,Janata Dal(United),Hyderabad Karnataka,1,0,1,0,0.0,111
Karnataka,2023,11,KJP,Bombay Karnataka,5,0,5,0,0.0,112
Karnataka,2023,11,KJP,Coastal Karnataka,1,0,1,0,0.0,113
Karnataka,2023,11,KJP,Hyderabad Karnataka,1,0,1,0,0.0,114
Karnataka,2023,11,KJP,Southern Karnataka,4,0,4,0,0.0,115
Karnataka,2023,11,KSRKP,Central Karnataka,1,0,1,0,0.0,116
Karnataka,2023,11,Kalyana Rajya Pragathi Paksha,Bombay Karnataka,17,0,16,0,0.0,117
Karnataka,2023,11,Kalyana Rajya Pragathi Paksha,Central Karnataka,12,0,10,0,0.0,118
Karnataka,2023,11,Kalyana Rajya Pragathi Paksha,Coastal Karnataka,2,0,2,0,0.0,119
Karnataka,2023,11,Kalyana Rajya Pragathi Paksha,Hyderabad Karnataka,11,1,10,0.47,9.09,15
Karnataka,2023,11,Kalyana Rajya Pragathi Paksha,Southern Karnataka,4,0,4,0,0.0,120
Karnataka,2023,11,Kannada Chalavali Vatal Paksha,Southern Karnataka,1,0,1,0,0.0,121
Karnataka,2023,11,Kannada Deshada Paksha,Southern Karnataka,2,0,2,0,0.0,122
Karnataka,2023,11,KannadaPaksha,Bengaluru Karnataka,1,0,1,0,0.0,123
Karnataka,2023,11,Karnataka Karmikara Paksha,Bengaluru Karnataka,2,0,2,0,0.0,124
Karnataka,2023,11,Karnataka Makkala Paksha,Bombay Karnataka,2,0,2,0,0.0,125
Karnataka,2023,11,Karnataka Makkala Paksha,Central Karnataka,1,0,1,0,0.0,126
Karnataka,2023,11,Karnataka Pragnyavantha Janatha Party,Bengaluru Karnataka,1,0,1,0,0.0,127
Karnataka,2023,11,Karnataka Pragnyavantha Janatha Party,Central Karnataka,1,0,1,0,0.0,128
Karnataka,2023,11,Karnataka Pragnyavantha Janatha Party,Southern Karnataka,1,0,1,0,0.0,129
Karnataka,2023,11,Karnataka Praja Party (RaithaParva),Southern Karnataka,5,0,5,0,0.0,130
Karnataka,2023,11,Karnataka Rajya Ryota Sangha,Bombay Karnataka,1,0,1,0,0.0,131
Karnataka,2023,11,Karnataka Rashtra Samithi,Bengaluru Karnataka,36,0,36,0,0.0,132
Karnataka,2023,11,Karnataka Rashtra Samithi,Bombay Karnataka,43,0,43,0,0.0,133
Karnataka,2023,11,Karnataka Rashtra Samithi,Central Karnataka,31,0,31,0,0.0,134
Karnataka,2023,11,Karnataka Rashtra Samithi,Coastal Karnataka,10,0,10,0,0.0,135
Karnataka,2023,11,Karnataka Rashtra Samithi,Hyderabad Karnataka,24,0,24,0,0.0,136
Karnataka,2023,11,Karnataka Rashtra Samithi,Southern Karnataka,51,0,51,0,0.0,137
Karnataka,2023,11,Karunaadu Party,Bombay Karnataka,1,0,1,0,0.0,138
Karnataka,2023,11,Karunaadu Party,Southern Karnataka,1,0,1,0,0.0,139
Karnataka,2023,11,Lok Shakti,Bengaluru Karnataka,1,0,1,0,0.0,140
Karnataka,2023,11,Lok Shakti,Bombay Karnataka,1,0,1,0,0.0,141
Karnataka,2023,11,Lok Shakti,Coastal Karnataka,1,0,1,0,0.0,142
Karnataka,2023,11,Lok Shakti,Southern Karnataka,2,0,2,0,0.0,143
Karnataka,2023,11,NCP,Bombay Karnataka,5,0,3,0,0.0,144
Karnataka,2023,11,NCP,Central Karnataka,1,0,1,0,0.0,145
Karnataka,2023,11,NCP,Hyderabad Karnataka,1,0,1,0,0.0,146
Karnataka,2023,11,NCP,Southern Karnataka,2,0,2,0,0.0,147
Karnataka,2023,11,NPP,Bengaluru Karnataka,2,0,2,0,0.0,148
Karnataka,2023,11,Navabharath Sena,Bengaluru Karnataka,3,0,3,0,0.0,149
