Assembly_No,TCPD_Prof_Main,MLAs_var
11,Agricultural Labour,1
11,Agriculture,52
11,Business,102
11,Former Government,1
11,Labourer or Daily Wage,1
11,Liberal Profession or Professional,18
11,Other,12
11,Politics,16
11,Salaried Work or Employed,3
11,Social Work,15
11,Unknown,3
10,Agriculture,74
10,Business,63
10,Education,2
10,Former Government,2
10,Liberal Profession or Professional,9
10,Other,39
10,Politics,10
10,Retired or Pension,2
10,Salaried Work or Employed,7
10,Small Business or Self-employed,1
10,Social Work,14
10,Unknown,1
9,Agriculture,61
9,Business,68
9,Education,3
9,Former Government,2
9,Liberal Profession or Professional,17
9,Other,20
9,Politics,16
9,Retired or Pension,2
9,Salaried Work or Employed,4
9,Small Business or Self-employed,5
9,Social Work,14
9,Unknown,12
8,Other,215
8,Unknown,9
