Assembly_No,Party_ID,MyNeta_education,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
11,1605,10th Pass,14,66,2023,BJP,21.21
11,1605,12th Pass,10,66,2023,BJP,15.15
11,1605,5th Pass,1,66,2023,BJP,1.52
11,1605,8th Pass,1,66,2023,BJP,1.52
11,1605,Graduate,16,66,2023,BJP,24.24
11,1605,Graduate Professional,13,66,2023,BJP,19.7
11,1605,Others,3,66,2023,BJP,4.55
11,1605,Post Graduate,8,66,2023,BJP,12.12
11,3482,10th Pass,11,135,2023,INC,8.15
11,3482,12th Pass,24,135,2023,INC,17.78
11,3482,5th Pass,1,135,2023,INC,0.74
11,3482,8th Pass,6,135,2023,INC,4.44
11,3482,Doctorate,1,135,2023,INC,0.74
11,3482,Graduate,39,135,2023,INC,28.89
11,3482,Graduate Professional,30,135,2023,INC,22.22
11,3482,Others,3,135,2023,INC,2.22
11,3482,Post Graduate,18,135,2023,INC,13.33
11,3482,Unknown,2,135,2023,INC,1.48
11,10809,12th Pass,1,2,2023,IND,50
11,10809,Unknown,1,2,2023,IND,50
11,10979,10th Pass,4,19,2023,JD(S),21.05
11,10979,12th Pass,2,19,2023,JD(S),10.53
11,10979,5th Pass,1,19,2023,JD(S),5.26
11,10979,8th Pass,1,19,2023,JD(S),5.26
11,10979,Graduate,7,19,2023,JD(S),36.84
11,10979,Graduate Professional,4,19,2023,JD(S),21.05
11,,10th Pass,1,1,2023,Kalyana Rajya Pragathi Paksha,100
11,7713,Graduate Professional,1,1,2023,Sarvodaya Karnataka Paksha,100
10,1605,10th Pass,18,104,2018,BJP,17.31
10,1605,12th Pass,14,104,2018,BJP,13.46
10,1605,5th Pass,3,104,2018,BJP,2.88
10,1605,8th Pass,3,104,2018,BJP,2.88
10,1605,Graduate,27,104,2018,BJP,25.96
10,1605,Graduate Professional,21,104,2018,BJP,20.19
10,1605,Literate,1,104,2018,BJP,0.96
10,1605,Others,3,104,2018,BJP,2.88
10,1605,Post Graduate,14,104,2018,BJP,13.46
10,16651,Post Graduate,1,1,2018,BSP,100
10,3482,10th Pass,9,80,2018,INC,11.25
10,3482,12th Pass,19,80,2018,INC,23.75
10,3482,5th Pass,2,80,2018,INC,2.5
10,3482,8th Pass,4,80,2018,INC,5
10,3482,Doctorate,1,80,2018,INC,1.25
10,3482,Graduate,16,80,2018,INC,20
10,3482,Graduate Professional,15,80,2018,INC,18.75
10,3482,Others,1,80,2018,INC,1.25
10,3482,Post Graduate,12,80,2018,INC,15
10,3482,Unknown,1,80,2018,INC,1.25
10,10809,Graduate Professional,1,1,2018,IND,100
10,10979,10th Pass,5,37,2018,JD(S),13.51
10,10979,12th Pass,1,37,2018,JD(S),2.7
10,10979,8th Pass,2,37,2018,JD(S),5.41
10,10979,Doctorate,1,37,2018,JD(S),2.7
10,10979,Graduate,17,37,2018,JD(S),45.95
10,10979,Graduate Professional,7,37,2018,JD(S),18.92
10,10979,Post Graduate,3,37,2018,JD(S),8.11
10,10979,Unknown,1,37,2018,JD(S),2.7
10,4790,10th Pass,1,1,2018,KPJP,100
9,1605,10th Pass,7,40,2013,BJP,17.5
9,1605,12th Pass,9,40,2013,BJP,22.5
9,1605,8th Pass,1,40,2013,BJP,2.5
9,1605,Graduate,7,40,2013,BJP,17.5
9,1605,Graduate Professional,12,40,2013,BJP,30
9,1605,Others,1,40,2013,BJP,2.5
9,1605,Post Graduate,2,40,2013,BJP,5
9,1605,Unknown,1,40,2013,BJP,2.5
9,1039,Graduate,2,4,2013,BSRCP,50
9,1039,Graduate Professional,1,4,2013,BSRCP,25
9,1039,Post Graduate,1,4,2013,BSRCP,25
9,3482,10th Pass,8,122,2013,INC,6.56
9,3482,12th Pass,25,122,2013,INC,20.49
9,3482,5th Pass,1,122,2013,INC,0.82
9,3482,8th Pass,5,122,2013,INC,4.1
9,3482,Doctorate,1,122,2013,INC,0.82
9,3482,Graduate,32,122,2013,INC,26.23
9,3482,Graduate Professional,29,122,2013,INC,23.77
9,3482,Others,2,122,2013,INC,1.64
9,3482,Post Graduate,15,122,2013,INC,12.3
9,3482,Unknown,4,122,2013,INC,3.28
9,10809,12th Pass,1,9,2013,IND,11.11
9,10809,5th Pass,1,9,2013,IND,11.11
9,10809,8th Pass,1,9,2013,IND,11.11
9,10809,Graduate,1,9,2013,IND,11.11
9,10809,Unknown,5,9,2013,IND,55.56
9,10979,10th Pass,6,40,2013,JD(S),15
9,10979,12th Pass,6,40,2013,JD(S),15
9,10979,5th Pass,1,40,2013,JD(S),2.5
9,10979,8th Pass,2,40,2013,JD(S),5
9,10979,Graduate,12,40,2013,JD(S),30
9,10979,Graduate Professional,7,40,2013,JD(S),17.5
9,10979,Others,2,40,2013,JD(S),5
9,10979,Post Graduate,2,40,2013,JD(S),5
9,10979,Unknown,2,40,2013,JD(S),5
9,4786,10th Pass,1,6,2013,KJP,16.67
9,4786,Graduate,2,6,2013,KJP,33.33
9,4786,Graduate Professional,3,6,2013,KJP,50
9,4788,Post Graduate,1,1,2013,KMP,100
9,7713,Graduate,1,1,2013,SKP,100
9,7425,Graduate,1,1,2013,SP,100
8,1605,10th Pass,16,110,2008,BJP,14.55
8,1605,12th Pass,23,110,2008,BJP,20.91
8,1605,5th Pass,3,110,2008,BJP,2.73
8,1605,8th Pass,7,110,2008,BJP,6.36
