Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct
11,2615,156,74,224,89,16,396,2058,223,334,101,85,2023,13,209,0,8,7,192,14,3,0,0,0,0,AAAP,1.77,#87CEEB,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/8),0
11,2615,156,74,224,89,16,396,2058,223,334,101,85,2023,268,6,0,0,2,3,1,2,0,0,0,0,ABHM,0.51,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,2615,156,74,224,89,16,396,2058,223,334,101,85,2023,339,1,0,0,1,0,1,0,0,0,0,0,ABML(S),0.25,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,2615,156,74,224,89,16,396,2058,223,334,101,85,2023,3040,3,0,0,0,2,1,0,0,0,0,0,AIFB,0,#DA0000,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,2615,156,74,224,89,16,396,2058,223,334,101,85,2023,701,4,0,0,1,3,0,1,0,0,0,0,AIMEP,0.25,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,2615,156,74,224,89,16,396,2058,223,334,101,85,2023,706,2,0,0,0,1,0,1,0,0,0,0,AIMIM,0,#285B35,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,2615,156,74,224,89,16,396,2058,223,334,101,85,2023,107,3,0,0,0,2,1,0,0,0,0,0,Aihra National Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,2615,156,74,224,89,16,396,2058,223,334,101,85,2023,662,1,0,1,0,0,1,0,0,0,0,0,All India Hindustan Congress Party,0,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
11,2615,156,74,224,89,16,396,2058,223,334,101,85,2023,24930,2,0,0,0,2,0,0,0,0,0,0,All India Majlis-E-Inquilab-E-Millat,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,2615,156,74,224,89,16,396,2058,223,334,101,85,2023,1025,1,0,0,0,1,0,0,0,0,0,0,Azad Mazdoor Kissan Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,2615,156,74,224,89,16,396,2058,223,334,101,85,2023,1605,224,82,9,108,106,24,94,28,27,33,0,BJP,27.27,#ff9933,52.56,82 (52.56%),40.24,40.24% (33/82),0,0.0% (0/9),27.72
11,2615,156,74,224,89,16,396,2058,223,334,101,85,2023,16651,133,1,7,8,113,14,6,0,0,0,0,BSP,2.02,#003399,0.64,1 (0.64%),0,0.0% (0/1),0,0.0% (0/7),0
11,2615,156,74,224,89,16,396,2058,223,334,101,85,2023,1389,1,0,0,0,1,0,0,0,0,0,0,Bharatiya Dr. B.R.Ambedkar Janta Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,2615,156,74,224,89,16,396,2058,223,334,101,85,2023,1762,5,0,0,0,5,0,0,0,0,0,0,Bharatiya Prajagala Kalyana Paksha,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,2615,156,74,224,89,16,396,2058,223,334,101,85,2023,1771,2,0,0,0,2,0,0,0,0,0,0,Bharatiya Rashtravadi Paksha,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,2615,156,74,224,89,16,396,2058,223,334,101,85,2023,1885,5,0,0,0,5,0,0,0,0,0,0,BhartiyaBahujanKranti Dal,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,2615,156,74,224,89,16,396,2058,223,334,101,85,2023,2444,7,0,0,2,3,3,1,0,0,0,0,CPI,0.51,#ff3300,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,2615,156,74,224,89,16,396,2058,223,334,101,85,2023,2472,2,0,0,0,1,0,1,0,0,0,0,CPI(ML)(L),0,#9c6f73,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,2615,156,74,224,89,16,396,2058,223,334,101,85,2023,14635,4,0,0,1,3,0,1,0,0,0,0,CPM,0.25,#991f00,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
