State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Kerala,2021,16,1,MANJESHWAR,GEN,A K M ASHRAF,IUML,65758,1,38.14,1,P B ABDUL RAZAK,0,2.35
Kerala,2021,16,1,MANJESHWAR,GEN,K SURENDRAN,BJP,65013,2,37.7,2,K SURENDRAN,0,1.96
Kerala,2021,16,1,MANJESHWAR,GEN,V V RAMESHAN,CPM,40639,3,23.57,3,ADV. C.H.KUNHAMBU,0,-3.22
Kerala,2021,16,1,MANJESHWAR,GEN,None Of The Above,NOTA,387,4,0.22,5,None of the Above,1,-0.19
Kerala,2021,16,1,MANJESHWAR,GEN,PRAVEEN KUMAR S,Anna Democratic Human Rights Movement Party of India,251,5,0.15,,,,0.15
Kerala,2021,16,2,KASARAGOD,GEN,N A NELLIKKUNNU,IUML,63296,1,43.8,1,N A NELLIKKUNNU,0,-0.92
Kerala,2021,16,2,KASARAGOD,GEN,ADV K SHREEKANTH,BJP,50395,2,34.88,2,RAVISHA THANTRI KUNTAR,0,-3.89
Kerala,2021,16,2,KASARAGOD,GEN,M A LATHEEF,INL,28323,3,19.6,3,DR. A A AMEEN,0,4.67
Kerala,2021,16,2,KASARAGOD,GEN,VIJAYA K P,BSP,679,4,0.47,5,VIJAYAKUMAR B,1,0.07
Kerala,2021,16,2,KASARAGOD,GEN,None Of The Above,NOTA,639,5,0.44,4,None of the Above,-1,-0.02
Kerala,2021,16,2,KASARAGOD,GEN,RANJITH RAJ M,Anna Democratic Human Rights Movement Party of India,555,6,0.38,,,,0.38
Kerala,2021,16,3,UDMA,GEN,C H KUNHAMBU,CPM,78664,1,47.58,1,K KUNHIRAMAN,0,3.64
Kerala,2021,16,3,UDMA,GEN,BALAKRISHNAN PERIYE,INC,65342,2,39.52,2,K SUDHAKARAN,0,-2.03
Kerala,2021,16,3,UDMA,GEN,A VELAYUDHAN,BJP,20360,3,12.31,3,ADV. K SHREEKANTH,0,-0.89
Kerala,2021,16,3,UDMA,GEN,None Of The Above,NOTA,434,4,0.26,4,None of the Above,0,0.01
Kerala,2021,16,3,UDMA,GEN,GOVINDAN B ALINTHAZE,Ambedkarite Party of India,194,6,0.12,,,,0.12
Kerala,2021,16,4,KANHANGAD,GEN,E CHANDRASHEKARAN,CPI,84615,1,50.72,1,E.CHANDRASHEKARAN,0,0.74
Kerala,2021,16,4,KANHANGAD,GEN,P V SURESH,INC,57476,2,34.45,2,DHANYA SURESH,0,0.61
Kerala,2021,16,4,KANHANGAD,GEN,BALRAJ,BJP,21570,3,12.93,,,,12.93
Kerala,2021,16,4,KANHANGAD,GEN,ABDUL SAMAD. T S/o T KUNHAMU HAJI,SDPI,775,4,0.46,,,,0.46
Kerala,2021,16,4,KANHANGAD,GEN,None Of The Above,NOTA,637,5,0.38,6,None of the Above,1,-0.15
Kerala,2021,16,4,KANHANGAD,GEN,RESHMA KARIVEDAKAM,Anna Democratic Human Rights Movement Party of India,185,10,0.11,,,,0.11
Kerala,2021,16,4,KANHANGAD,GEN,T ABDUL SAMAD S/o T KUNHIKOYA HAJI,JD(U),87,12,0.05,,,,0.05
Kerala,2021,16,5,TRIKARIPUR,GEN,M RAJAGOPALAN,CPM,86151,1,53.71,1,M.RAJAGOPALAN,0,2.78
Kerala,2021,16,5,TRIKARIPUR,GEN,M P JOSEPH,KEC,60014,2,37.41,,,,37.41
Kerala,2021,16,5,TRIKARIPUR,GEN,SHIBIN T V,BJP,10961,3,6.83,3,M.BHASKARAN,0,-0.09
Kerala,2021,16,5,TRIKARIPUR,GEN,LIYAKATHALI P,SDPI,1211,4,0.75,5,M V SHAUKATHALI,1,0.21
Kerala,2021,16,5,TRIKARIPUR,GEN,T MAHESH MASTER,Welfare Party Of India,817,5,0.51,,,,0.51
Kerala,2021,16,5,TRIKARIPUR,GEN,None Of The Above,NOTA,558,6,0.35,6,None of the Above,0,-0.15
Kerala,2021,16,5,TRIKARIPUR,GEN,SUDHAN VELLARIKKUND,Anna Democratic Human Rights Movement Party of India,116,9,0.07,,,,0.07
