State_Name,Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Kerala,2021,16,C(S),1,1,0,1.3,100.0,1
Kerala,2021,16,CPI,23,17,0,8.6,73.91,8
Kerala,2021,16,CPM,75,62,0,11.12,82.67,7
Kerala,2021,16,INC,93,21,0,1.67,22.58,15
Kerala,2021,16,IND,320,6,303,0.07,1.88,17
Kerala,2021,16,INL,3,1,0,3.49,33.33,13
Kerala,2021,16,IUML,25,15,0,5.29,60.0,10
Kerala,2021,16,JD(S),4,2,0,7.58,50.0,11
Kerala,2021,16,Janadhipathiya Kerala Congress,1,1,0,5.53,100.0,2
Kerala,2021,16,KEC,10,2,0,1.78,20.0,16
Kerala,2021,16,KEC(B),1,1,0,10.46,100.0,3
Kerala,2021,16,KEC(J),1,1,0,16.04,100.0,4
Kerala,2021,16,KEC(M),12,5,0,2.68,41.67,12
Kerala,2021,16,LJD,3,1,0,2.04,33.33,14
Kerala,2021,16,NCP,3,2,0,9.27,66.67,9
Kerala,2021,16,NSC,1,1,0,0.65,100.0,5
Kerala,2021,16,RMPOI,1,1,0,5.48,100.0,6
Kerala,2016,15,BJP,98,1,62,0.06,1.02,14
Kerala,2016,15,C(S),1,1,0,0.95,100.0,1
Kerala,2016,15,CMPKSC,2,1,0,2.24,50.0,8
Kerala,2016,15,CPI,25,19,0,8.82,76.0,5
Kerala,2016,15,CPM,84,58,0,8.88,69.05,6
Kerala,2016,15,INC,87,22,0,2.6,25.29,12
Kerala,2016,15,IND,438,6,424,0.13,1.37,13
Kerala,2016,15,IUML,23,18,0,6.4,78.26,4
Kerala,2016,15,JD(S),5,3,0,3.56,60.0,7
Kerala,2016,15,KEC(B),1,1,0,17.29,100.0,2
Kerala,2016,15,KEC(J),1,1,0,3.84,100.0,3
Kerala,2016,15,KEC(M),15,6,0,5.31,40.0,11
Kerala,2016,15,NCP,4,2,0,5.57,50.0,9
Kerala,2016,15,NSC,2,1,0,1.74,50.0,10
Kerala,2011,14,CPI,27,13,1,4.7,48.15,9
Kerala,2011,14,CPM,84,45,0,5.51,53.57,5
Kerala,2011,14,INC,81,38,0,4.18,46.91,10
Kerala,2011,14,IND,309,2,293,0.03,0.65,13
Kerala,2011,14,JD(S),5,4,0,4.16,80.0,3
Kerala,2011,14,KEC(B),2,1,0,7.94,50.0,6
Kerala,2011,14,KEC(J),3,1,0,0.04,33.33,11
Kerala,2011,14,KEC(M),15,9,0,6.76,60.0,4
Kerala,2011,14,KRSP,1,1,0,4.77,100.0,1
Kerala,2011,14,MUL,23,20,0,13.43,86.96,2
Kerala,2011,14,NCP,4,2,0,4.42,50.0,7
Kerala,2011,14,RSP,4,2,0,4.02,50.0,8
Kerala,2011,14,SJD,6,2,0,2.82,33.33,12
Kerala,2006,13,C(S),1,1,0,24.54,100.0,1
Kerala,2006,13,CPI,24,17,0,7.59,70.83,5
Kerala,2006,13,CPM,85,61,0,8.43,71.76,4
Kerala,2006,13,DIC,17,1,1,0.38,5.88,15
Kerala,2006,13,INC,77,24,0,2.27,31.17,13
Kerala,2006,13,IND,376,5,363,0.07,1.33,16
Kerala,2006,13,INL,3,1,0,4.77,33.33,11
Kerala,2006,13,JD(S),8,5,0,6.8,62.5,8
Kerala,2006,13,JPSS,5,1,0,0.23,20.0,14
Kerala,2006,13,KCS,1,1,0,8.15,100.0,2
Kerala,2006,13,KEC,6,4,0,5.51,66.67,6
Kerala,2006,13,KEC(B),2,1,0,5.68,50.0,9
Kerala,2006,13,KEC(M),11,7,0,5.79,63.64,7
Kerala,2006,13,MUL,21,7,0,5.01,33.33,12
Kerala,2006,13,NCP,2,1,0,6.11,50.0,10
Kerala,2006,13,RSP,4,3,0,10.53,75.0,3
Kerala,2001,12,CMPKSC,2,1,0,4.46,50.0,7
Kerala,2001,12,CPI,22,7,0,1.07,31.82,11
Kerala,2001,12,CPM,65,23,0,2.09,35.38,9
Kerala,2001,12,INC,88,62,0,6.29,70.45,5
Kerala,2001,12,IND,277,3,254,0.03,1.08,15
Kerala,2001,12,JD(S),10,3,0,1.96,30.0,12
Kerala,2001,12,JPSS,5,4,0,4.95,80.0,3
Kerala,2001,12,KEC,10,2,0,1.42,20.0,14
Kerala,2001,12,KEC(B),2,2,0,10.74,100.0,1
Kerala,2001,12,KEC(J),3,2,0,6.44,66.67,6
Kerala,2001,12,KEC(M),11,9,0,10.01,81.82,2
Kerala,2001,12,MUL,21,16,0,13.16,76.19,4
Kerala,2001,12,NCP,9,2,0,2.09,22.22,13
Kerala,2001,12,RSP,6,2,0,0.48,33.33,10
Kerala,2001,12,RSPK(B),4,2,0,6.03,50.0,8
Kerala,1996,11,CPI,22,18,0,5.68,81.82,2
Kerala,1996,11,CPM,62,40,0,5.49,64.52,3
Kerala,1996,11,ICS,9,3,1,2.5,33.33,10
Kerala,1996,11,INC,94,37,0,2.5,39.36,9
Kerala,1996,11,IND,672,5,650,0.03,0.74,13
Kerala,1996,11,JD,13,4,0,4.98,30.77,11
Kerala,1996,11,JPSS,4,1,0,3.68,25.0,12
Kerala,1996,11,KEC,10,6,0,4.47,60.0,4
Kerala,1996,11,KEC(B),2,1,0,1.8,50.0,6
Kerala,1996,11,KEC(J),4,2,0,4.35,50.0,7
Kerala,1996,11,KEC(M),10,5,0,5.97,50.0,8
Kerala,1996,11,MUL,22,13,0,7.48,59.09,5
Kerala,1996,11,RSP,6,5,0,4.97,83.33,1
Kerala,1991,10,CPI,24,12,0,2.43,50.0,5
Kerala,1991,10,CPM,65,29,0,2.44,44.62,6
Kerala,1991,10,CPM(K),4,1,0,0.16,25.0,8
Kerala,1991,10,ICS(SCS),12,2,0,1.17,16.67,10
Kerala,1991,10,INC,91,55,0,2.97,60.44,4
Kerala,1991,10,IND,334,4,317,0.13,1.2,12
Kerala,1991,10,JD,13,3,0,1.09,23.08,9
Kerala,1991,10,KEC,11,1,0,0.95,9.09,11
Kerala,1991,10,KEC(M),13,10,0,5.69,76.92,2
Kerala,1991,10,MUL,22,19,0,11.2,86.36,1
Kerala,1991,10,NDP,3,2,0,2.66,66.67,3
Kerala,1991,10,RSP,6,2,1,1.1,33.33,7
Kerala,1987,9,CPI,25,16,0,4.52,64.0,3
Kerala,1987,9,CPM,70,38,0,4.04,54.29,5
Kerala,1987,9,ICS(SCS),14,6,0,4.01,42.86,8
Kerala,1987,9,INC,76,33,0,2.66,43.42,7
Kerala,1987,9,IND,896,14,849,0.12,1.56,10
Kerala,1987,9,JNP,12,7,0,4.42,58.33,4
Kerala,1987,9,KEC,14,5,2,1.65,35.71,9
Kerala,1987,9,LKD,2,1,0,11.54,50.0,6
Kerala,1987,9,MUL,23,15,0,13.11,65.22,2
Kerala,1987,9,RSP,6,5,0,7.91,83.33,1
Kerala,1982,8,CPI,25,13,0,3.13,52.0,5
Kerala,1982,8,CPM,51,26,0,5.01,50.98,6
Kerala,1982,8,IC(S),1,1,0,0.02,100.0,1
Kerala,1982,8,ICS,15,5,0,2.63,33.33,10
Kerala,1982,8,IML,12,4,0,3.99,33.33,11
Kerala,1982,8,INC,36,20,1,3.39,55.56,4
Kerala,1982,8,IND,417,33,348,0.54,7.91,13
Kerala,1982,8,JNP,13,4,1,3.99,30.77,12
Kerala,1982,8,KEC,17,6,0,3.91,35.29,9
Kerala,1982,8,KEC(J),12,8,0,6.23,66.67,3
Kerala,1982,8,MUL,18,14,0,15.2,77.78,2
Kerala,1982,8,NDP,5,2,0,1.03,40.0,8
Kerala,1982,8,RSP,8,4,0,1.22,50.0,7
Kerala,1980,7,CPI,22,17,0,8.22,77.27,1
Kerala,1980,7,CPM,50,35,0,8.45,70.0,3
Kerala,1980,7,IML,11,5,0,3.65,45.45,8
Kerala,1980,7,INC(I),53,17,3,1.98,32.08,10
Kerala,1980,7,INC(U),31,21,0,7.59,67.74,4
Kerala,1980,7,IND,329,5,295,0.12,1.52,12
Kerala,1980,7,JNP,29,5,4,0.88,17.24,11
Kerala,1980,7,KCP,2,1,0,28.08,50.0,6
Kerala,1980,7,KEC,17,8,0,2.85,47.06,7
Kerala,1980,7,KEC(J),17,6,3,2.66,35.29,9
Kerala,1980,7,MUL,21,14,1,12.18,66.67,5
Kerala,1980,7,RSP,8,6,0,9.24,75.0,2
Kerala,1977,6,BLD,27,6,1,0.8,22.22,7
Kerala,1977,6,CPI,27,23,0,10.35,85.19,2
Kerala,1977,6,CPM,68,17,0,1.33,25.0,6
Kerala,1977,6,INC,54,38,0,7.77,70.37,5
Kerala,1977,6,IND,308,9,281,0.27,2.92,10
Kerala,1977,6,KCP,15,2,0,2.39,13.33,9
Kerala,1977,6,KEC,22,20,0,12.88,90.91,1
Kerala,1977,6,MLO,16,3,0,0.6,18.75,8
Kerala,1977,6,MUL,16,13,0,22.71,81.25,4
Kerala,1977,6,RSP,11,9,0,14.03,81.82,3
Kerala,1970,5,CPI,29,16,0,5.59,55.17,3
Kerala,1970,5,CPM,73,29,1,4.14,39.73,8
Kerala,1970,5,INC,52,30,0,5.45,57.69,2
Kerala,1970,5,IND,206,16,154,0.66,7.77,11
Kerala,1970,5,ISP,11,3,1,2.01,27.27,10
Kerala,1970,5,KEC,31,12,12,3.73,38.71,9
Kerala,1970,5,KSP,1,1,0,13.76,100.0,1
Kerala,1970,5,MUL,20,11,1,8.87,55.0,4
Kerala,1970,5,PSP,7,3,0,7.44,42.86,5
Kerala,1970,5,RSP,14,6,2,9.16,42.86,6
Kerala,1970,5,SOP,14,6,0,4.02,42.86,7
Kerala,1967,4,CPI,22,19,0,13.27,86.36,4
Kerala,1967,4,CPM,59,52,0,15.85,88.14,3
Kerala,1967,4,INC,133,9,9,0.33,6.77,7
Kerala,1967,4,IND,75,15,55,3.46,20.0,5
Kerala,1967,4,KEC,61,5,38,0.46,8.2,6
Kerala,1967,4,MUL,15,14,0,25.55,93.33,1
Kerala,1967,4,SSP,21,19,0,16.08,90.48,2
Kerala,1965,3,CON,133,36,6,2.79,27.07,5
Kerala,1965,3,CPI,79,3,54,0.14,3.8,7
Kerala,1965,3,CPM,73,40,9,7.53,54.79,1
Kerala,1965,3,IND,174,12,136,0.79,6.9,6
Kerala,1965,3,KC,54,23,10,6.34,42.59,3
Kerala,1965,3,ML,16,6,2,6.23,37.5,4
Kerala,1965,3,SSP,29,13,4,8.27,44.83,2
