State_Name,Year,Assembly_No,Party,Sub_Region,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Kerala,2021,16,ADMK,MALABAR (NORTH KERALA),1,0,1,0,0.0,27
Kerala,2021,16,Akhil Bharat Hindu Mahasabha,MALABAR (NORTH KERALA),1,0,1,0,0.0,28
Kerala,2021,16,Akhil Bharat Hindu Mahasabha,TRAVANCORE (SOUTH KERALA),1,0,1,0,0.0,29
Kerala,2021,16,Ambedkarite Party of India,MALABAR (NORTH KERALA),1,0,1,0,0.0,30
Kerala,2021,16,Ambedkarite Party of India,TRAVANCORE (SOUTH KERALA),4,0,4,0,0.0,31
Kerala,2021,16,Anna Democratic Human Rights Movement Party of India,MALABAR (NORTH KERALA),5,0,5,0,0.0,32
Kerala,2021,16,Anna Democratic Human Rights Movement Party of India,TRAVANCORE (SOUTH KERALA),15,0,15,0,0.0,33
Kerala,2021,16,BDJS,KOCHI (CENTRAL KERALA),5,0,5,0,0.0,34
Kerala,2021,16,BDJS,MALABAR (NORTH KERALA),3,0,3,0,0.0,35
Kerala,2021,16,BDJS,TRAVANCORE (SOUTH KERALA),13,0,13,0,0.0,36
Kerala,2021,16,BJP,KOCHI (CENTRAL KERALA),21,0,14,0,0.0,37
Kerala,2021,16,BJP,MALABAR (NORTH KERALA),55,0,46,0,0.0,38
Kerala,2021,16,BJP,TRAVANCORE (SOUTH KERALA),39,0,24,0,0.0,39
Kerala,2021,16,BSP,KOCHI (CENTRAL KERALA),12,0,12,0,0.0,40
Kerala,2021,16,BSP,MALABAR (NORTH KERALA),22,0,22,0,0.0,41
Kerala,2021,16,BSP,TRAVANCORE (SOUTH KERALA),38,0,38,0,0.0,42
Kerala,2021,16,Bahujan Dravida Party,TRAVANCORE (SOUTH KERALA),3,0,3,0,0.0,43
Kerala,2021,16,C(S),MALABAR (NORTH KERALA),1,1,0,1.3,100.0,1
Kerala,2021,16,CPI,KOCHI (CENTRAL KERALA),7,5,0,9.39,71.43,13
