Assembly_No,TCPD_Prof_Main,MLAs_var
16,Agriculture,8
16,Business,9
16,Labourer or Daily Wage,1
16,Liberal Profession or Professional,28
16,Other,25
16,Politics,25
16,Retired or Pension,6
16,Salaried Work or Employed,3
16,Social Work,30
16,Unemployed,1
16,Unknown,4
15,Agriculture,10
15,Business,9
15,Education,5
15,Liberal Profession or Professional,22
15,Other,25
15,Politics,27
15,Retired or Pension,4
15,Salaried Work or Employed,4
15,Social Work,30
15,Student,1
15,Unknown,3
14,Agriculture,4
14,Business,4
14,Education,2
14,Former Government,1
14,Liberal Profession or Professional,16
14,Other,27
14,Politics,17
14,Retired or Pension,1
14,Salaried Work or Employed,1
14,Social Work,26
14,Unemployed,2
14,Unknown,39
13,Other,71
13,Unknown,69
