Assembly_No,Party_ID,MyNeta_education,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
16,2881,Graduate,1,1,2021,C(S),100
16,2444,10th Pass,4,17,2021,CPI,23.53
16,2444,12th Pass,2,17,2021,CPI,11.76
16,2444,8th Pass,1,17,2021,CPI,5.88
16,2444,Graduate,3,17,2021,CPI,17.65
16,2444,Graduate Professional,5,17,2021,CPI,29.41
16,2444,Others,1,17,2021,CPI,5.88
16,2444,Post Graduate,1,17,2021,CPI,5.88
16,14635,10th Pass,13,62,2021,CPM,20.97
16,14635,12th Pass,7,62,2021,CPM,11.29
16,14635,5th Pass,1,62,2021,CPM,1.61
16,14635,8th Pass,3,62,2021,CPM,4.84
16,14635,Doctorate,1,62,2021,CPM,1.61
16,14635,Graduate,12,62,2021,CPM,19.35
16,14635,Graduate Professional,15,62,2021,CPM,24.19
16,14635,Post Graduate,6,62,2021,CPM,9.68
16,14635,Unknown,4,62,2021,CPM,6.45
16,3482,10th Pass,1,21,2021,INC,4.76
16,3482,12th Pass,2,21,2021,INC,9.52
16,3482,8th Pass,1,21,2021,INC,4.76
16,3482,Doctorate,1,21,2021,INC,4.76
16,3482,Graduate,5,21,2021,INC,23.81
16,3482,Graduate Professional,7,21,2021,INC,33.33
16,3482,Post Graduate,4,21,2021,INC,19.05
16,10809,10th Pass,1,6,2021,IND,16.67
16,10809,12th Pass,2,6,2021,IND,33.33
16,10809,Doctorate,1,6,2021,IND,16.67
16,10809,Graduate Professional,1,6,2021,IND,16.67
16,10809,Post Graduate,1,6,2021,IND,16.67
16,3842,10th Pass,1,1,2021,INL,100
16,3952,10th Pass,4,15,2021,IUML,26.67
16,3952,12th Pass,2,15,2021,IUML,13.33
16,3952,8th Pass,1,15,2021,IUML,6.67
16,3952,Graduate,2,15,2021,IUML,13.33
16,3952,Graduate Professional,4,15,2021,IUML,26.67
16,3952,Post Graduate,2,15,2021,IUML,13.33
16,10979,8th Pass,1,2,2021,JD(S),50
16,10979,Graduate Professional,1,2,2021,JD(S),50
16,24337,Graduate Professional,1,1,2021,Janadhipathiya Kerala Congress,100
16,4807,Graduate Professional,1,2,2021,KEC,50
16,4807,Post Graduate,1,2,2021,KEC,50
16,4819,12th Pass,1,1,2021,KEC(B),100
16,4825,Graduate Professional,1,1,2021,KEC(J),100
16,11341,Doctorate,1,5,2021,KEC(M),20
16,11341,Graduate,1,5,2021,KEC(M),20
16,11341,Graduate Professional,3,5,2021,KEC(M),60
16,5184,12th Pass,1,1,2021,LJD,100
16,5792,10th Pass,2,2,2021,NCP,100
16,5676,10th Pass,1,1,2021,NSC,100
16,7200,Graduate,1,1,2021,RMPOI,100
15,1605,Graduate Professional,1,1,2016,BJP,100
15,2881,Graduate,1,1,2016,C(S),100
15,2152,10th Pass,1,1,2016,CMPKSC,100
15,2444,10th Pass,4,19,2016,CPI,21.05
15,2444,12th Pass,4,19,2016,CPI,21.05
15,2444,8th Pass,1,19,2016,CPI,5.26
15,2444,Graduate,4,19,2016,CPI,21.05
15,2444,Graduate Professional,5,19,2016,CPI,26.32
15,2444,Post Graduate,1,19,2016,CPI,5.26
15,14635,10th Pass,8,58,2016,CPM,13.79
15,14635,12th Pass,9,58,2016,CPM,15.52
15,14635,5th Pass,3,58,2016,CPM,5.17
15,14635,8th Pass,5,58,2016,CPM,8.62
15,14635,Doctorate,1,58,2016,CPM,1.72
15,14635,Graduate,11,58,2016,CPM,18.97
15,14635,Graduate Professional,11,58,2016,CPM,18.97
15,14635,Literate,1,58,2016,CPM,1.72
15,14635,Post Graduate,9,58,2016,CPM,15.52
15,3482,10th Pass,1,22,2016,INC,4.55
15,3482,12th Pass,2,22,2016,INC,9.09
15,3482,8th Pass,1,22,2016,INC,4.55
15,3482,Graduate,3,22,2016,INC,13.64
15,3482,Graduate Professional,8,22,2016,INC,36.36
15,3482,Post Graduate,7,22,2016,INC,31.82
15,10809,10th Pass,1,6,2016,IND,16.67
15,10809,8th Pass,1,6,2016,IND,16.67
15,10809,Graduate,2,6,2016,IND,33.33
15,10809,Unknown,2,6,2016,IND,33.33
15,3952,10th Pass,3,18,2016,IUML,16.67
15,3952,12th Pass,3,18,2016,IUML,16.67
15,3952,5th Pass,1,18,2016,IUML,5.56
15,3952,8th Pass,1,18,2016,IUML,5.56
15,3952,Graduate,1,18,2016,IUML,5.56
15,3952,Graduate Professional,3,18,2016,IUML,16.67
15,3952,Literate,1,18,2016,IUML,5.56
15,3952,Post Graduate,5,18,2016,IUML,27.78
15,10979,8th Pass,2,3,2016,JD(S),66.67
15,10979,Graduate Professional,1,3,2016,JD(S),33.33
15,4819,Unknown,1,1,2016,KEC(B),100
15,4825,Graduate Professional,1,1,2016,KEC(J),100
15,11341,Graduate,1,6,2016,KEC(M),16.67
