Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,930,1,0,0,0,1,0,0,0,0,0,0,ADMK,0,#37f226,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,268,2,0,0,0,2,0,0,0,0,0,0,Akhil Bharat Hindu Mahasabha,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,880,5,0,0,1,4,1,0,0,0,0,0,Ambedkarite Party of India,0.58,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,24331,20,0,0,0,20,0,0,0,0,0,0,Anna Democratic Human Rights Movement Party of India,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,1338,21,0,0,3,17,4,0,0,0,0,0,BDJS,1.75,#47ABFF,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,1605,115,0,1,22,82,16,17,0,0,0,0,BJP,12.87,#ff9933,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,16651,72,0,0,3,66,5,1,0,0,0,0,BSP,1.75,#003399,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,24487,3,0,0,0,3,0,0,0,0,0,0,Bahujan Dravida Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,2881,1,1,0,1,0,0,1,0,0,1,0,C(S),0.58,#b40c5e,1.18,1 (1.18%),100,100.0% (1/1),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,2444,23,12,0,13,8,8,7,6,5,10,0,CPI,7.6,#ff3300,14.12,12 (14.12%),83.33,83.33% (10/12),nan,nan% (0/0),9.84
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,14635,75,27,2,31,38,25,12,32,30,25,1,CPM,18.13,#991f00,31.76,27 (31.76%),92.59,92.59% (25/27),50,50.0% (1/2),52.46
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,2152,1,0,0,0,1,0,0,0,0,0,0,Communist Marxist Party Kerala State Committee,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,2560,1,0,0,0,1,0,0,0,0,0,0,Communist Party of India (Marxist-Leninist) Red Star,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,24336,1,0,0,0,1,0,0,0,0,0,0,Democratic Human Rights Movement Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,24333,10,0,0,0,10,0,0,0,0,0,0,Democratic Social Justice Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,3482,93,18,0,32,57,11,25,7,4,12,0,INC,18.71,#138808,21.18,18 (21.18%),66.67,66.67% (12/18),nan,nan% (0/0),11.48
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,10809,320,6,0,23,293,21,6,1,1,5,0,IND,13.45,#808080,7.06,6 (7.06%),83.33,83.33% (5/6),nan,nan% (0/0),1.64
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,3842,3,0,0,0,3,0,0,1,1,0,0,INL,0,#3f1a6e,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),1.64
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,3952,25,10,0,11,13,4,8,7,7,8,0,IUML,6.43,#006600,11.76,10 (11.76%),80,80.0% (8/10),nan,nan% (0/0),11.48
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,3342,1,0,0,0,1,0,0,0,0,0,0,Indian Christian Secular Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,16063,1,0,0,0,1,0,0,0,0,0,0,Indian Gandhiyan Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,10979,4,2,0,2,0,0,4,0,0,2,0,JD(S),1.17,#166F46,2.35,2 (2.35%),100,100.0% (2/2),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,11002,1,0,0,0,1,0,0,0,0,0,0,JD(U),0,#90f887,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,24337,1,0,0,0,1,0,0,1,1,0,0,Janadhipathiya Kerala Congress,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),1.64
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,4807,10,2,4,5,5,2,3,0,0,2,2,KEC,2.92,#05dc46,2.35,2 (2.35%),100,100.0% (2/2),50,50.0% (2/4),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,4819,1,1,0,1,0,0,1,0,0,1,0,KEC(B),0.58,#506e7a,1.18,1 (1.18%),100,100.0% (1/1),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,4825,1,1,0,1,0,0,1,0,0,1,0,KEC(J),0.58,#b0f80e,1.18,1 (1.18%),100,100.0% (1/1),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,11341,12,2,1,2,8,1,3,3,2,2,0,KEC(M),1.17,#DD1200,2.35,2 (2.35%),100,100.0% (2/2),0,0.0% (0/1),4.92
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,24335,1,1,0,1,0,0,1,0,0,0,0,"Kerala Janapaksham (Secular),",0.58,,1.18,1 (1.18%),0,0.0% (0/1),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,4841,1,0,0,1,0,1,0,0,0,0,0,Kerala Janatha Party,0.58,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,5184,3,0,2,2,1,1,1,1,1,0,0,LJD,1.17,#b7ae02,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/2),1.64
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,5399,2,0,0,0,2,0,0,0,0,0,0,Marxist Communist Party of India (United),0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,5792,3,1,0,2,1,1,1,1,1,1,0,NCP,1.17,#99003d,1.18,1 (1.18%),100,100.0% (1/1),nan,nan% (0/0),1.64
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,5676,1,1,0,1,0,1,0,0,0,1,0,NSC,0.58,#1c0ea0,1.18,1 (1.18%),100,100.0% (1/1),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,24377,1,0,0,0,1,0,0,0,0,0,0,National Labour Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,24332,2,0,0,0,2,0,0,0,0,0,0,New Labour Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,12103,2,0,0,0,2,0,0,0,0,0,0,RJD,0,#cc0066,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,7200,1,0,0,0,1,0,0,1,1,0,0,RMPOI,0,#333300,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),1.64
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,12053,5,0,0,2,2,1,2,0,0,0,0,RSP,1.17,#F20400,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,12285,1,0,0,0,1,0,0,0,0,0,0,Republican Party of India (A),0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,7985,40,0,0,8,31,6,3,0,0,0,0,SDPI,4.68,#84df33,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,18691,2,0,0,0,2,0,0,0,0,0,0,SHS,0,#EA5A03,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,8082,36,0,0,2,33,2,1,0,0,0,0,SUCI,1.17,#82f4e5,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,7333,2,0,0,0,2,0,0,0,0,0,0,Samajwadi Forward Bloc,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,12954,1,0,0,0,1,0,0,0,0,0,0,Samajwadi Jan Parishad,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,24371,1,0,0,0,1,0,0,0,0,0,0,Secular Democratic Congress,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,8172,1,0,0,0,1,0,0,0,0,0,0,Swaraj India,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,24334,8,0,0,0,8,0,0,0,0,0,0,Twenty 20 Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
16,957,85,71,140,10,3,171,747,112,98,61,54,2021,8529,19,0,0,1,18,1,0,0,0,0,0,Welfare Party Of India,0.58,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,1203,108,82,140,25,14,201,917,154,132,48,43,2016,930,7,0,0,0,7,0,0,0,0,0,0,ADMK,0,#37f226,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,1203,108,82,140,25,14,201,917,154,132,48,43,2016,456,2,0,0,0,2,0,0,0,0,0,0,AKTP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,1203,108,82,140,25,14,201,917,154,132,48,43,2016,880,5,0,0,0,5,0,0,0,0,0,0,APOI,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,1203,108,82,140,25,14,201,917,154,132,48,43,2016,1338,36,0,0,0,36,0,0,0,0,0,0,BDJS,0,#47ABFF,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
15,1203,108,82,140,25,14,201,917,154,132,48,43,2016,1605,98,0,0,19,69,18,11,1,0,0,0,BJP,9.45,#ff9933,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),2.08
