Assembly_No,Party_ID,TCPD_Prof_Main,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
16,2881,Social Work,1,1,2021,C(S),100
16,2444,Agriculture,1,17,2021,CPI,5.88
16,2444,Other,4,17,2021,CPI,23.53
16,2444,Politics,6,17,2021,CPI,35.29
16,2444,Retired or Pension,1,17,2021,CPI,5.88
16,2444,Salaried Work or Employed,1,17,2021,CPI,5.88
16,2444,Social Work,4,17,2021,CPI,23.53
16,14635,Agriculture,3,62,2021,CPM,4.84
16,14635,Business,1,62,2021,CPM,1.61
16,14635,Liberal Profession or Professional,12,62,2021,CPM,19.35
16,14635,Other,12,62,2021,CPM,19.35
16,14635,Politics,9,62,2021,CPM,14.52
16,14635,Retired or Pension,3,62,2021,CPM,4.84
16,14635,Salaried Work or Employed,1,62,2021,CPM,1.61
16,14635,Social Work,17,62,2021,CPM,27.42
16,14635,Unknown,4,62,2021,CPM,6.45
16,3482,Agriculture,2,21,2021,INC,9.52
16,3482,Liberal Profession or Professional,6,21,2021,INC,28.57
16,3482,Other,3,21,2021,INC,14.29
16,3482,Politics,5,21,2021,INC,23.81
16,3482,Social Work,5,21,2021,INC,23.81
16,10809,Business,2,6,2021,IND,33.33
16,10809,Liberal Profession or Professional,1,6,2021,IND,16.67
16,10809,Other,2,6,2021,IND,33.33
16,10809,Unemployed,1,6,2021,IND,16.67
16,3842,Business,1,1,2021,INL,100
16,3952,Agriculture,1,15,2021,IUML,6.67
16,3952,Business,3,15,2021,IUML,20
16,3952,Labourer or Daily Wage,1,15,2021,IUML,6.67
16,3952,Liberal Profession or Professional,2,15,2021,IUML,13.33
16,3952,Other,3,15,2021,IUML,20
16,3952,Politics,3,15,2021,IUML,20
16,3952,Retired or Pension,1,15,2021,IUML,6.67
16,3952,Social Work,1,15,2021,IUML,6.67
16,10979,Other,1,2,2021,JD(S),50
16,10979,Social Work,1,2,2021,JD(S),50
16,24337,Liberal Profession or Professional,1,1,2021,Janadhipathiya Kerala Congress,100
16,4807,Agriculture,1,2,2021,KEC,50
16,4807,Liberal Profession or Professional,1,2,2021,KEC,50
16,4819,Liberal Profession or Professional,1,1,2021,KEC(B),100
16,4825,Politics,1,1,2021,KEC(J),100
16,11341,Liberal Profession or Professional,3,5,2021,KEC(M),60
16,11341,Retired or Pension,1,5,2021,KEC(M),20
16,11341,Social Work,1,5,2021,KEC(M),20
16,5184,Liberal Profession or Professional,1,1,2021,LJD,100
16,5792,Business,1,2,2021,NCP,50
16,5792,Politics,1,2,2021,NCP,50
16,5676,Business,1,1,2021,NSC,100
16,7200,Salaried Work or Employed,1,1,2021,RMPOI,100
15,1605,Other,1,1,2016,BJP,100
15,2881,Other,1,1,2016,C(S),100
15,2152,Business,1,1,2016,CMPKSC,100
15,2444,Education,1,19,2016,CPI,5.26
15,2444,Liberal Profession or Professional,1,19,2016,CPI,5.26
15,2444,Other,4,19,2016,CPI,21.05
15,2444,Politics,7,19,2016,CPI,36.84
15,2444,Retired or Pension,1,19,2016,CPI,5.26
15,2444,Social Work,4,19,2016,CPI,21.05
15,2444,Student,1,19,2016,CPI,5.26
15,14635,Agriculture,6,58,2016,CPM,10.34
15,14635,Business,1,58,2016,CPM,1.72
15,14635,Education,2,58,2016,CPM,3.45
15,14635,Liberal Profession or Professional,10,58,2016,CPM,17.24
15,14635,Other,14,58,2016,CPM,24.14
15,14635,Politics,7,58,2016,CPM,12.07
15,14635,Retired or Pension,2,58,2016,CPM,3.45
15,14635,Salaried Work or Employed,2,58,2016,CPM,3.45
15,14635,Social Work,14,58,2016,CPM,24.14
15,3482,Agriculture,1,22,2016,INC,4.55
15,3482,Business,1,22,2016,INC,4.55
15,3482,Liberal Profession or Professional,6,22,2016,INC,27.27
15,3482,Politics,7,22,2016,INC,31.82
15,3482,Salaried Work or Employed,1,22,2016,INC,4.55
15,3482,Social Work,6,22,2016,INC,27.27
15,10809,Business,1,6,2016,IND,16.67
15,10809,Other,1,6,2016,IND,16.67
15,10809,Social Work,2,6,2016,IND,33.33
15,10809,Unknown,2,6,2016,IND,33.33
15,3952,Agriculture,1,18,2016,IUML,5.56
15,3952,Business,3,18,2016,IUML,16.67
15,3952,Education,2,18,2016,IUML,11.11
15,3952,Liberal Profession or Professional,2,18,2016,IUML,11.11
15,3952,Other,3,18,2016,IUML,16.67
15,3952,Politics,4,18,2016,IUML,22.22
15,3952,Retired or Pension,1,18,2016,IUML,5.56
15,3952,Salaried Work or Employed,1,18,2016,IUML,5.56
15,3952,Social Work,1,18,2016,IUML,5.56
15,10979,Agriculture,1,3,2016,JD(S),33.33
15,10979,Liberal Profession or Professional,1,3,2016,JD(S),33.33
15,10979,Other,1,3,2016,JD(S),33.33
15,4819,Unknown,1,1,2016,KEC(B),100
15,4825,Liberal Profession or Professional,1,1,2016,KEC(J),100
15,11341,Agriculture,1,6,2016,KEC(M),16.67
15,11341,Liberal Profession or Professional,1,6,2016,KEC(M),16.67
15,11341,Politics,1,6,2016,KEC(M),16.67
15,11341,Social Work,3,6,2016,KEC(M),50
15,5792,Business,1,2,2016,NCP,50
15,5792,Politics,1,2,2016,NCP,50
15,5676,Business,1,1,2016,NSC,100
14,2444,Former Government,1,13,2011,CPI,7.69
14,2444,Liberal Profession or Professional,2,13,2011,CPI,15.38
14,2444,Other,2,13,2011,CPI,15.38
14,2444,Politics,1,13,2011,CPI,7.69
14,2444,Social Work,6,13,2011,CPI,46.15
14,2444,Unemployed,1,13,2011,CPI,7.69
14,14635,Agriculture,2,45,2011,CPM,4.44
14,14635,Education,1,45,2011,CPM,2.22
14,14635,Liberal Profession or Professional,4,45,2011,CPM,8.89
14,14635,Other,16,45,2011,CPM,35.56
14,14635,Politics,9,45,2011,CPM,20
14,14635,Social Work,5,45,2011,CPM,11.11
14,14635,Unemployed,1,45,2011,CPM,2.22
14,14635,Unknown,7,45,2011,CPM,15.56
14,3482,Agriculture,1,38,2011,INC,2.63
14,3482,Business,2,38,2011,INC,5.26
14,3482,Liberal Profession or Professional,7,38,2011,INC,18.42
14,3482,Other,7,38,2011,INC,18.42
14,3482,Politics,4,38,2011,INC,10.53
14,3482,Salaried Work or Employed,1,38,2011,INC,2.63
14,3482,Social Work,11,38,2011,INC,28.95
14,3482,Unknown,5,38,2011,INC,13.16
14,10809,Unknown,2,2,2011,IND,100
14,10979,Liberal Profession or Professional,1,4,2011,JD(S),25
14,10979,Other,1,4,2011,JD(S),25
14,10979,Retired or Pension,1,4,2011,JD(S),25
14,10979,Unknown,1,4,2011,JD(S),25
14,4819,Unknown,1,1,2011,KEC(B),100
14,4825,Politics,1,1,2011,KEC(J),100
14,11341,Agriculture,1,9,2011,KEC(M),11.11
14,11341,Business,1,9,2011,KEC(M),11.11
14,11341,Education,1,9,2011,KEC(M),11.11
14,11341,Liberal Profession or Professional,2,9,2011,KEC(M),22.22
