Assembly_No,MyNeta_education,MLAs_var
15,10th Pass,11
15,12th Pass,31
15,5th Pass,7
15,8th Pass,5
15,Doctorate,3
15,Graduate,47
15,Graduate Professional,36
15,Literate,3
15,Others,3
15,Post Graduate,49
15,Unknown,35
14,10th Pass,14
14,12th Pass,43
14,5th Pass,7
14,8th Pass,5
14,Doctorate,3
14,Graduate,51
14,Graduate Professional,29
14,Literate,2
14,Others,2
14,Post Graduate,68
14,Unknown,6
13,10th Pass,17
13,12th Pass,37
13,5th Pass,7
13,8th Pass,15
13,Doctorate,5
13,Graduate,46
13,Graduate Professional,28
13,Literate,4
13,Others,2
13,Post Graduate,52
13,Unknown,17
