Assembly_No,Total_Candidates,Contesting_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,Recontesting_Candidates,First_Contests,Second_Contests,Multiple_Contests,No_first_time_winners,First_Contest_Winners,Year,Recontesting_Candidates_pct,First_Contests_pct,Second_Contests_pct,Multiple_Contests_pct,Contesting_Incumbents_pct,Successful_Incumbents_pct,No_first_time_winners_pct,First_Contest_Winners_pct,Incumbent_Strike_Rate,Turncoat_Strike_Rate
15,2899,154,75,230,81,4,393,2363,293,243,105,78,2018,13.56,81.51,10.11,8.38,66.96,32.61,45.65,33.91,48.7,4.94
14,2583,147,71,230,81,10,427,2039,325,219,118,86,2013,16.53,78.94,12.58,8.48,63.91,30.87,51.3,37.39,48.3,12.35
13,3179,134,70,230,65,7,320,2753,223,203,130,111,2008,10.07,86.6,7.01,6.39,58.26,30.43,56.52,48.26,52.24,10.77
12,2171,157,63,230,74,10,316,1728,226,217,129,98,2003,14.56,79.59,10.41,10,68.26,27.39,56.09,42.61,40.13,13.51
11,2510,198,104,320,72,13,412,1954,265,291,168,128,1998,16.41,77.85,10.56,11.59,61.88,32.5,52.5,40,52.53,18.06
10,3729,200,87,320,55,10,550,2982,460,287,180,125,1993,14.75,79.97,12.34,7.7,62.5,27.19,56.25,39.06,43.5,18.18
9,4214,137,50,320,64,24,396,3626,363,225,223,166,1990,9.4,86.05,8.61,5.34,42.81,15.62,69.69,51.88,36.5,37.5
8,2450,137,83,320,58,9,333,2017,261,172,213,173,1985,13.59,82.33,10.65,7.02,42.81,25.94,66.56,54.06,60.58,15.52
7,2000,141,69,320,120,29,307,1611,269,120,207,176,1980,15.35,80.55,13.45,6,44.06,21.56,64.69,55,48.94,24.17
6,1994,99,35,320,71,55,226,1732,211,51,278,232,1977,11.33,86.86,10.58,2.56,30.94,10.94,86.88,72.5,35.35,77.46
5,1417,22,14,296,30,8,60,1291,98,28,261,245,1972,4.23,91.11,6.92,1.98,7.43,4.73,88.18,82.77,63.64,26.67
4,1553,38,22,296,13,3,82,1471,82,0,274,266,1967,5.28,94.72,5.28,0,12.84,7.43,92.57,89.86,57.89,23.08
3,1336,0,0,288,0,0,0,1336,0,0,288,288,1962,0,100,0,0,0,0,100,100,0,0
