State_Name,Year,Assembly_No,Party,Total_Seats_in_Assembly,Total_Votes_in_Assembly,Total_Votes_in_Contested_Seats,Total_Candidates,Winners,Deposits_Lost,Strike_Rate,Seat_Share,Vote_Share_in_Assembly,Vote_Share_in_Contested_Seats,position,Expanded_Party_Name
Madhya_Pradesh,2018,15,AABHP,230,38138186,914422,6,0,6,0.0,0,0.01,0.48,6,
Madhya_Pradesh,2018,15,AAP,230,38138186,34463519,208,0,207,0.0,0,0.66,0.73,7,
Madhya_Pradesh,2018,15,ABAD,230,38138186,335248,2,0,2,0.0,0,0,0.16,8,
Madhya_Pradesh,2018,15,ABASP,230,38138186,144543,1,0,1,0.0,0,0,0.87,9,
Madhya_Pradesh,2018,15,ABGP,230,38138186,155495,1,0,1,0.0,0,0,0.26,10,
Madhya_Pradesh,2018,15,ABHKP,230,38138186,262500,2,0,2,0.0,0,0,0.26,11,
Madhya_Pradesh,2018,15,ABHM,230,38138186,868068,5,0,5,0.0,0,0.01,0.3,12,
Madhya_Pradesh,2018,15,ADAL,230,38138186,2016002,14,0,14,0.0,0,0.02,0.43,13,
Madhya_Pradesh,2018,15,ADSMP,230,38138186,136434,1,0,1,0.0,0,0,0.37,14,
Madhya_Pradesh,2018,15,ADVIP,230,38138186,427957,3,0,3,0.0,0,0,0.27,15,
Madhya_Pradesh,2018,15,AHSP,230,38138186,206124,1,0,1,0.0,0,0,0.08,16,
Madhya_Pradesh,2018,15,AIDP,230,38138186,635881,4,0,4,0.0,0,0,0.18,17,
Madhya_Pradesh,2018,15,AIFB,230,38138186,1083252,7,0,7,0.0,0,0.01,0.27,18,
Madhya_Pradesh,2018,15,AINHCP,230,38138186,823829,5,0,5,0.0,0,0.01,0.46,19,
Madhya_Pradesh,2018,15,ANASP,230,38138186,288319,2,0,2,0.0,0,0,0.49,20,
Madhya_Pradesh,2018,15,API,230,38138186,707351,4,0,4,0.0,0,0.01,0.69,21,
Madhya_Pradesh,2018,15,AVIRP,230,38138186,620341,4,0,4,0.0,0,0,0.15,22,
Madhya_Pradesh,2018,15,BAAP,230,38138186,511403,3,0,3,0.0,0,0,0.13,23,
Madhya_Pradesh,2018,15,BASD,230,38138186,8146688,50,0,49,0.0,0,0.21,0.97,24,
Madhya_Pradesh,2018,15,BBPSP,230,38138186,169989,1,0,1,0.0,0,0,0.31,25,
Madhya_Pradesh,2018,15,BGSP,230,38138186,153370,1,0,1,0.0,0,0,0.15,26,
Madhya_Pradesh,2018,15,BHAPP,230,38138186,616153,4,0,4,0.0,0,0.01,0.41,27,
Madhya_Pradesh,2018,15,BHBP,230,38138186,199204,1,0,1,0.0,0,0,0.38,28,
Madhya_Pradesh,2018,15,BHVD,230,38138186,806210,5,0,5,0.0,0,0.01,0.36,29,
Madhya_Pradesh,2018,15,BJJP,230,38138186,161893,1,0,1,0.0,0,0,0.6,30,
Madhya_Pradesh,2018,15,BJMP,230,38138186,310201,2,0,2,0.0,0,0,0.27,31,
Madhya_Pradesh,2018,15,BJP,230,38138186,38138186,230,109,1,47.391304347826086,47.39,41.02,41.02,2,BHARATIYA JANATA PARTY
Madhya_Pradesh,2018,15,BJSMP,230,38138186,126452,1,0,1,0.0,0,0,0.15,32,
Madhya_Pradesh,2018,15,BJYP,230,38138186,464967,3,0,3,0.0,0,0,0.13,33,
Madhya_Pradesh,2018,15,BMUP,230,38138186,5591089,34,0,34,0.0,0,0.07,0.44,34,
Madhya_Pradesh,2018,15,BPCP,230,38138186,3931209,25,0,25,0.0,0,0.02,0.22,35,
Madhya_Pradesh,2018,15,BRMD,230,38138186,337118,2,0,2,0.0,0,0,0.24,36,
Madhya_Pradesh,2018,15,BRPP,230,38138186,341182,2,0,2,0.0,0,0,0.24,37,
Madhya_Pradesh,2018,15,BRSP,230,38138186,204950,1,0,1,0.0,0,0,0.15,38,
Madhya_Pradesh,2018,15,BSCP,230,38138186,8812464,55,0,55,0.0,0,0.19,0.81,39,
Madhya_Pradesh,2018,15,BSKRP,230,38138186,508773,3,0,3,0.0,0,0.01,0.45,40,
Madhya_Pradesh,2018,15,BSP,230,38138186,37719015,227,2,202,0.8810572687224669,0.87,5.01,5.07,4,BAHUJAN SAMAJ PARTY
Madhya_Pradesh,2018,15,BSVSP,230,38138186,147922,1,0,1,0.0,0,0,0.16,41,
Madhya_Pradesh,2018,15,BTP,230,38138186,514072,3,0,3,0.0,0,0.01,0.55,42,
Madhya_Pradesh,2018,15,BUMM,230,38138186,148782,1,0,1,0.0,0,0,0.28,43,
Madhya_Pradesh,2018,15,BUNKD,230,38138186,143613,1,0,1,0.0,0,0,0.31,44,
Madhya_Pradesh,2018,15,CPI,230,38138186,2965965,18,0,18,0.0,0,0.1,1.3,45,COMMUNIST PARTY OF INDIA
Madhya_Pradesh,2018,15,CPM,230,38138186,2102257,13,0,13,0.0,0,0.04,0.81,46,COMMUNIST PARTY OF INDIA (MARXIST)
Madhya_Pradesh,2018,15,DVP(B),230,38138186,137472,1,0,1,0.0,0,0,0.05,47,
Madhya_Pradesh,2018,15,GGP,230,38138186,12478974,73,0,68,0.0,0,1.77,5.41,48,GONDVANA GANTANTRA PARTY
Madhya_Pradesh,2018,15,HCP,230,38138186,124916,1,0,1,0.0,0,0,0.37,49,
Madhya_Pradesh,2018,15,INC,230,38138186,37999202,229,114,9,49.78165938864629,49.57,40.89,41.04,1,INDIAN NATIONAL CONGRESS
Madhya_Pradesh,2018,15,INCP,230,38138186,216345,1,0,1,0.0,0,0,0.05,50,
Madhya_Pradesh,2018,15,IND,230,38138186,38138186,1094,4,1074,0.3656307129798903,1.74,5.82,5.82,3,INDEPENDENT
Madhya_Pradesh,2018,15,IPBP,230,38138186,534518,3,0,3,0.0,0,0,0.17,51,
Madhya_Pradesh,2018,15,IUML,230,38138186,156504,1,0,1,0.0,0,0,0.12,52,
Madhya_Pradesh,2018,15,IVD,230,38138186,178690,1,0,1,0.0,0,0,0.26,53,
Madhya_Pradesh,2018,15,JANADIP,230,38138186,5013222,33,0,33,0.0,0,0.07,0.57,54,
Madhya_Pradesh,2018,15,JANKP,230,38138186,305786,2,0,2,0.0,0,0.01,0.65,55,
Madhya_Pradesh,2018,15,JC,230,38138186,1783711,11,0,11,0.0,0,0.01,0.26,56,
Madhya_Pradesh,2018,15,JD(S),230,38138186,263710,2,0,2,0.0,0,0,0.4,57,
Madhya_Pradesh,2018,15,JLP,230,38138186,697770,4,0,4,0.0,0,0,0.16,58,
Madhya_Pradesh,2018,15,JPJD,230,38138186,522432,3,0,3,0.0,0,0,0.23,59,
Madhya_Pradesh,2018,15,JSMP,230,38138186,438945,3,0,3,0.0,0,0.01,0.84,60,
Madhya_Pradesh,2018,15,JSVP,230,38138186,156087,1,0,1,0.0,0,0,0.27,61,
Madhya_Pradesh,2018,15,KJSP,230,38138186,299564,2,0,2,0.0,0,0,0.14,62,
Madhya_Pradesh,2018,15,LJD,230,38138186,303504,2,0,2,0.0,0,0.03,4.19,63,
Madhya_Pradesh,2018,15,LPSP,230,38138186,178948,1,0,1,0.0,0,0,0.17,64,
