State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Madhya_Pradesh,2018,15,1,SHEOPUR,GEN,BABU JANDEL,INC,98580,1,55.17,3,BRAJRAJ SINGH,2,33.13
Madhya_Pradesh,2018,15,1,SHEOPUR,GEN,DURGA LAL VIJAY (VAKIL),BJP,56870,2,31.83,1,DURGALAL VIJAY,-1,-9.36
Madhya_Pradesh,2018,15,1,SHEOPUR,GEN,TULSINARAYAN MEENA,BSP,14444,3,8.08,2,BABU JANDAIL,-1,-22.74
Madhya_Pradesh,2018,15,1,SHEOPUR,GEN,AD. KULDEEP SINGH,AAP,2142,4,1.2,,,,1.2
Madhya_Pradesh,2018,15,1,SHEOPUR,GEN,None of the Above,NOTA,1794,5,1,4,None of the Above,-1,-0.16
Madhya_Pradesh,2018,15,1,SHEOPUR,GEN,MUKESH SUMAN,BMUP,937,7,0.52,,,,0.52
Madhya_Pradesh,2018,15,1,SHEOPUR,GEN,TEJPAL ADIWASI,JPJD,594,9,0.33,,,,0.33
Madhya_Pradesh,2018,15,1,SHEOPUR,GEN,MURLIDHAR PRAJAPATI,RKSP,525,10,0.29,12,RAMVILASH MEENA,2,0
Madhya_Pradesh,2018,15,1,SHEOPUR,GEN,RAVINDRA KUMAR,IVD,466,11,0.26,,,,0.26
Madhya_Pradesh,2018,15,1,SHEOPUR,GEN,BHURE SINGH MALEE,JANADIP,398,12,0.22,,,,0.22
Madhya_Pradesh,2018,15,2,VIJAYPUR,GEN,SEETARAM,BJP,63331,1,36.5,2,SITARAM ADIWASHI,1,-6.22
Madhya_Pradesh,2018,15,2,VIJAYPUR,GEN,RAMNIWAS RAWAT,INC,60491,2,34.86,1,RAMNIWAS RAWAT,-1,-9.26
Madhya_Pradesh,2018,15,2,VIJAYPUR,GEN,BABULAL MEBRA,BSP,35628,3,20.53,3,SATISH,0,15.82
