Assembly_No,TCPD_Prof_Main,MLAs_var
15,Agricultural Labour,2
15,Agriculture,60
15,Business,73
15,Education,1
15,Former Government,2
15,Liberal Profession or Professional,7
15,Other,9
15,Politics,21
15,Religious Occupation,1
15,Retired or Pension,12
15,Salaried Work or Employed,6
15,Small Business or Self-employed,2
15,Unknown,34
14,Agricultural Labour,4
14,Agriculture,67
14,Business,68
14,Former Government,1
14,Liberal Profession or Professional,5
14,Other,26
14,Politics,26
14,Retired or Pension,20
14,Salaried Work or Employed,5
14,Social Work,2
14,Unknown,6
13,Other,218
13,Unknown,12
