Assembly_No,Party_ID,MyNeta_education,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
15,1605,10th Pass,4,109,2018,BJP,3.67
15,1605,12th Pass,10,109,2018,BJP,9.17
15,1605,5th Pass,1,109,2018,BJP,0.92
15,1605,8th Pass,2,109,2018,BJP,1.83
15,1605,Doctorate,3,109,2018,BJP,2.75
15,1605,Graduate,21,109,2018,BJP,19.27
15,1605,Graduate Professional,20,109,2018,BJP,18.35
15,1605,Literate,2,109,2018,BJP,1.83
15,1605,Others,3,109,2018,BJP,2.75
15,1605,Post Graduate,25,109,2018,BJP,22.94
15,1605,Unknown,18,109,2018,BJP,16.51
15,16651,Literate,1,2,2018,BSP,50
15,16651,Unknown,1,2,2018,BSP,50
15,3482,10th Pass,7,114,2018,INC,6.14
15,3482,12th Pass,20,114,2018,INC,17.54
15,3482,5th Pass,6,114,2018,INC,5.26
15,3482,8th Pass,3,114,2018,INC,2.63
15,3482,Graduate,26,114,2018,INC,22.81
15,3482,Graduate Professional,15,114,2018,INC,13.16
15,3482,Post Graduate,24,114,2018,INC,21.05
15,3482,Unknown,13,114,2018,INC,11.4
15,10809,Graduate Professional,1,4,2018,IND,25
15,10809,Unknown,3,4,2018,IND,75
15,7425,12th Pass,1,1,2018,SP,100
14,1605,10th Pass,9,165,2013,BJP,5.45
14,1605,12th Pass,33,165,2013,BJP,20
14,1605,5th Pass,4,165,2013,BJP,2.42
14,1605,8th Pass,3,165,2013,BJP,1.82
14,1605,Doctorate,2,165,2013,BJP,1.21
14,1605,Graduate,38,165,2013,BJP,23.03
14,1605,Graduate Professional,23,165,2013,BJP,13.94
14,1605,Literate,2,165,2013,BJP,1.21
14,1605,Others,2,165,2013,BJP,1.21
14,1605,Post Graduate,46,165,2013,BJP,27.88
14,1605,Unknown,3,165,2013,BJP,1.82
14,16651,12th Pass,1,4,2013,BSP,25
14,16651,Graduate,1,4,2013,BSP,25
14,16651,Post Graduate,2,4,2013,BSP,50
14,3482,10th Pass,5,58,2013,INC,8.62
14,3482,12th Pass,9,58,2013,INC,15.52
14,3482,5th Pass,3,58,2013,INC,5.17
14,3482,8th Pass,2,58,2013,INC,3.45
14,3482,Doctorate,1,58,2013,INC,1.72
14,3482,Graduate,12,58,2013,INC,20.69
14,3482,Graduate Professional,6,58,2013,INC,10.34
14,3482,Post Graduate,19,58,2013,INC,32.76
14,3482,Unknown,1,58,2013,INC,1.72
14,10809,Post Graduate,1,3,2013,IND,33.33
14,10809,Unknown,2,3,2013,IND,66.67
13,1605,10th Pass,10,143,2008,BJP,6.99
13,1605,12th Pass,23,143,2008,BJP,16.08
13,1605,5th Pass,4,143,2008,BJP,2.8
13,1605,8th Pass,10,143,2008,BJP,6.99
13,1605,Doctorate,3,143,2008,BJP,2.1
13,1605,Graduate,30,143,2008,BJP,20.98
13,1605,Graduate Professional,18,143,2008,BJP,12.59
13,1605,Literate,3,143,2008,BJP,2.1
13,1605,Others,2,143,2008,BJP,1.4
13,1605,Post Graduate,33,143,2008,BJP,23.08
13,1605,Unknown,7,143,2008,BJP,4.9
13,1452,12th Pass,2,5,2008,BJSH,40
13,1452,Graduate,1,5,2008,BJSH,20
13,1452,Graduate Professional,1,5,2008,BJSH,20
13,1452,Unknown,1,5,2008,BJSH,20
13,16651,10th Pass,1,7,2008,BSP,14.29
13,16651,12th Pass,1,7,2008,BSP,14.29
13,16651,8th Pass,1,7,2008,BSP,14.29
13,16651,Graduate,1,7,2008,BSP,14.29
13,16651,Graduate Professional,1,7,2008,BSP,14.29
13,16651,Post Graduate,1,7,2008,BSP,14.29
13,16651,Unknown,1,7,2008,BSP,14.29
13,3482,10th Pass,6,71,2008,INC,8.45
13,3482,12th Pass,10,71,2008,INC,14.08
13,3482,5th Pass,3,71,2008,INC,4.23
13,3482,8th Pass,4,71,2008,INC,5.63
13,3482,Doctorate,2,71,2008,INC,2.82
13,3482,Graduate,13,71,2008,INC,18.31
13,3482,Graduate Professional,8,71,2008,INC,11.27
13,3482,Literate,1,71,2008,INC,1.41
13,3482,Post Graduate,18,71,2008,INC,25.35
13,3482,Unknown,6,71,2008,INC,8.45
13,10809,12th Pass,1,3,2008,IND,33.33
13,10809,Graduate,1,3,2008,IND,33.33
13,10809,Unknown,1,3,2008,IND,33.33
13,7425,Unknown,1,1,2008,SP,100
