Assembly_No,Party_ID,TCPD_Prof_Main,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
15,1605,Agricultural Labour,2,109,2018,BJP,1.83
15,1605,Agriculture,25,109,2018,BJP,22.94
15,1605,Business,35,109,2018,BJP,32.11
15,1605,Education,1,109,2018,BJP,0.92
15,1605,Former Government,2,109,2018,BJP,1.83
15,1605,Liberal Profession or Professional,4,109,2018,BJP,3.67
15,1605,Other,4,109,2018,BJP,3.67
15,1605,Politics,11,109,2018,BJP,10.09
15,1605,Religious Occupation,1,109,2018,BJP,0.92
15,1605,Retired or Pension,2,109,2018,BJP,1.83
15,1605,Salaried Work or Employed,5,109,2018,BJP,4.59
15,1605,Unknown,17,109,2018,BJP,15.6
15,16651,Other,1,2,2018,BSP,50
15,16651,Unknown,1,2,2018,BSP,50
15,3482,Agriculture,35,114,2018,INC,30.7
15,3482,Business,36,114,2018,INC,31.58
15,3482,Liberal Profession or Professional,3,114,2018,INC,2.63
15,3482,Other,4,114,2018,INC,3.51
15,3482,Politics,10,114,2018,INC,8.77
15,3482,Retired or Pension,10,114,2018,INC,8.77
15,3482,Salaried Work or Employed,1,114,2018,INC,0.88
15,3482,Small Business or Self-employed,2,114,2018,INC,1.75
15,3482,Unknown,13,114,2018,INC,11.4
15,10809,Business,1,4,2018,IND,25
15,10809,Unknown,3,4,2018,IND,75
15,7425,Business,1,1,2018,SP,100
14,1605,Agricultural Labour,4,165,2013,BJP,2.42
14,1605,Agriculture,44,165,2013,BJP,26.67
14,1605,Business,48,165,2013,BJP,29.09
14,1605,Former Government,1,165,2013,BJP,0.61
14,1605,Liberal Profession or Professional,4,165,2013,BJP,2.42
14,1605,Other,17,165,2013,BJP,10.3
14,1605,Politics,22,165,2013,BJP,13.33
14,1605,Retired or Pension,17,165,2013,BJP,10.3
14,1605,Salaried Work or Employed,3,165,2013,BJP,1.82
14,1605,Social Work,2,165,2013,BJP,1.21
14,1605,Unknown,3,165,2013,BJP,1.82
14,16651,Business,2,4,2013,BSP,50
14,16651,Other,1,4,2013,BSP,25
14,16651,Retired or Pension,1,4,2013,BSP,25
14,3482,Agriculture,23,58,2013,INC,39.66
14,3482,Business,17,58,2013,INC,29.31
14,3482,Liberal Profession or Professional,1,58,2013,INC,1.72
14,3482,Other,8,58,2013,INC,13.79
14,3482,Politics,4,58,2013,INC,6.9
14,3482,Retired or Pension,2,58,2013,INC,3.45
14,3482,Salaried Work or Employed,2,58,2013,INC,3.45
14,3482,Unknown,1,58,2013,INC,1.72
14,10809,Business,1,3,2013,IND,33.33
14,10809,Unknown,2,3,2013,IND,66.67
13,1605,Other,137,143,2008,BJP,95.8
13,1605,Unknown,6,143,2008,BJP,4.2
13,1452,Other,4,5,2008,BJSH,80
13,1452,Unknown,1,5,2008,BJSH,20
13,16651,Other,7,7,2008,BSP,100
13,3482,Other,67,71,2008,INC,94.37
13,3482,Unknown,4,71,2008,INC,5.63
13,10809,Other,2,3,2008,IND,66.67
13,10809,Unknown,1,3,2008,IND,33.33
13,7425,Other,1,1,2008,SP,100
