State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Madras,4,1967,2,1,WASHERMANPET,74.7,50.7,General,91287,4,1,Male,DMK,34571,M. VEDACHALAM,10.62,M. M. NADAR,INC,M,nan,INC,M. MAYANDI NADAR,12.93,1.73,8.22,DMK
Madras,4,1967,2,2,HARBOUR,70.49,51.69,General,80590,3,1,Male,IND,29360,H. BAIG,6.78,K. S. G. H. SHEREEF,INC,M,nan,INC,K. S. G. HAJA SHARIFF,1.82,1.17,0.66,IND
Madras,4,1967,2,3,BASIN BRIDGE,72.72,53.81,General,102515,4,1,Male,DMK,40109,M. R. KANNAN,12.55,K. RAMDAS,INC,M,nan,INC,T. N. ANANTHANAYAKI,3.18,2.29,3.6,DMK
Madras,4,1967,2,4,PARK TOWN,73.9,51.57,General,76470,5,1,Male,SWA,29144,H. V. HANDE,4.74,T. N. ANANDANAYAKI,INC,F,nan,INC,D. SULOCHANA,-2.91,-0.05,-6.23,SWA
Madras,4,1967,2,5,PERAMBUR,73.13,54.19,SC,101856,3,1,Female,DMK,40364,S. MUTHU,8.98,D. SULOCHANA,INC,F,nan,INC,BASHYAM REDDY,12.15,3.93,-4.43,DMK
Madras,4,1967,2,6,PURASAWALKAM,72.87,58.04,General,97584,3,1,Male,DMK,41272,V. S. GOVINDARAJAN,17.19,DAMODARAN,INC,M,nan,DMK,K. A. MATHIALAGAN,12.45,4.31,13.32,
Madras,4,1967,2,7,EGMORE,72.91,54.2,General,91441,3,1,Male,DMK,36133,A. V. P. ASAITHAMBI,10.42,J. VENCATACHELLUM,INC,F,nan,INC,JOTHI VENKATACHALAM,5.95,0.93,7.76,DMK
Madras,4,1967,2,8,THOUSANDLIGHTS,71.9,60.27,General,91195,5,1,Male,DMK,39518,K. A. MATHIALAGAN,21.58,M. SIVARAJ,INC,F,nan,DMK,V. R. NEDUNCHEZHIAN,8.98,1.42,5.59,
Madras,4,1967,2,9,TRIPLICANE,74.42,59.41,General,87580,3,1,Male,DMK,38721,V. R. NEDUNCHEZHIYAN,19.48,M. S. SAMMANDAPPA,INC,M,nan,DMK,ARANGANNAL,19.17,4.65,8.02,
Madras,4,1967,2,10,MYLAPORE,72.49,57.02,General,90731,2,1,Male,DMK,37498,ARANGANNAL,14.03,V. R. RADHAKRISHNAN,INC,M,nan,DMK,KANCHI MANIMOZHIAR,16,5.51,4.1,
Madras,4,1967,2,11,THIAGARAYANAGAR,71.3,57.36,General,92089,3,1,Male,DMK,37662,M. P. SIVAGNANAM,15.22,K. M. SUBRAMANIAM,IND,M,nan,SWA,"A, RAGHAVA REDDI",10.86,15.59,13.73,DMK
Madras,4,1967,2,12,SAIDAPET,71.82,60.96,General,121979,5,1,Male,DMK,53401,M. KARUNANIDHI,23.38,S. G. VINAYAGAMURTHI,INC,M,nan,INC,T. P. ELUMALAI,12.55,11.27,4.1,DMK
