State_Name,Year,Assembly_No,Party,Total_Seats_in_Assembly,Total_Votes_in_Assembly,Total_Votes_in_Contested_Seats,Total_Candidates,Winners,Deposits_Lost,Strike_Rate,Seat_Share,Vote_Share_in_Assembly,Vote_Share_in_Contested_Seats,position,Expanded_Party_Name
Madras,1967,4,BJS,234,15310702,1606817,24,0,24,0.0,0,0.15,1.42,10,
Madras,1967,4,CPI,234,15310702,2150989,32,2,24,6.25,0.85,1.8,12.83,7,COMMUNIST PARTY OF INDIA
Madras,1967,4,CPM,234,15310702,1409548,22,11,2,50.0,4.7,4.07,44.21,4,COMMUNIST PARTY OF INDIA (MARXIST)
Madras,1967,4,DMK,234,15310702,11469870,174,137,0,78.73563218390805,58.55,40.69,54.32,1,DRAVIDA MUNITRA KAZHAGAM
Madras,1967,4,FBL,234,15310702,62004,1,1,0,100.0,0.43,0.29,72.11,9,FARWARD BLOCK
Madras,1967,4,INC,234,15310702,15180608,232,51,0,21.982758620689655,21.79,41.1,41.46,2,INDIAN NATIONAL CONGRESS
Madras,1967,4,IND,234,15310702,15310702,246,6,228,2.4390243902439024,2.56,4.95,4.95,5,
Madras,1967,4,PSP,234,15310702,265181,4,4,0,100.0,1.71,0.89,51.36,6,PRAJA SOCIALIST PARTY
Madras,1967,4,RPI,234,15310702,800009,13,0,13,0.0,0,0.2,3.91,11,
Madras,1967,4,SSP,234,15310702,213808,3,2,1,66.66666666666667,0.85,0.55,39.38,8,SANGHATA SOCIALIST PARTY
Madras,1967,4,SWA,234,15310702,1618694,27,20,2,74.07407407407408,8.55,5.3,50.12,3,SWATANTRA PARTY
Madras,1962,3,CPI,206,12676346,4462504,68,2,26,2.9411764705882355,0.97,7.72,21.93,6,COMMUNIST PARTY OF INDIA
Madras,1962,3,DMK,206,12676346,8798792,143,50,11,34.96503496503497,24.27,27.1,39.05,2,DRAVIDA MUNITRA KAZHAGAM
Madras,1962,3,FB,206,12676346,365139,6,3,0,50.0,1.46,1.37,47.45,5,FORWARD BLOCK
Madras,1962,3,INC,206,12676346,12676346,206,139,0,67.47572815533981,67.48,46.14,46.14,1,INDIAN NATIONAL CONGRESS
Madras,1962,3,IND,206,12676346,12676346,207,5,189,2.4154589371980677,2.43,5.34,5.34,4,
Madras,1962,3,JS,206,12676346,302131,4,0,4,0.0,0,0.08,3.56,8,
Madras,1962,3,ML,206,12676346,400245,6,0,1,0.0,0,0.71,22.48,9,
Madras,1962,3,PSP,206,12676346,1367328,21,0,15,0.0,0,1.26,11.64,10,PRAJA SOCIALIST PARTY
Madras,1962,3,REP,206,12676346,221604,4,0,1,0.0,0,0.45,25.93,11,
Madras,1962,3,SL,206,12676346,440058,7,0,5,0.0,0,0.34,9.81,12,
Madras,1962,3,SOC,206,12676346,463820,7,1,6,14.285714285714286,0.49,0.38,10.51,7,
Madras,1962,3,SWA,206,12676346,5790582,94,6,59,6.382978723404255,2.91,7.82,17.13,3,SWATANTRA PARTY
Madras,1962,3,TNP,206,12676346,551529,9,0,8,0.0,0,0.35,7.99,13,
Madras,1962,3,WT,206,12676346,936885,16,0,11,0.0,0,0.93,12.56,14,
