State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Madras,1967,4,1,WASHERMANPET,GEN,M. VEDACHALAM,DMK,34571,1,50.7,2,M. VEDACHALAM,1,15.33
Madras,1967,4,1,WASHERMANPET,GEN,M. M. NADAR,INC,27329,2,40.08,1,M. MAYANDI NADAR,-1,2.31
Madras,1967,4,2,HARBOUR,GEN,K. S. G. H. SHEREEF,INC,25510,2,44.91,1,K. S. G. HAJA SHARIFF,-1,-4.96
Madras,1967,4,2,HARBOUR,GEN,MOTILAL,BJS,1935,3,3.41,,,,3.41
Madras,1967,4,3,BASIN BRIDGE,GEN,M. R. KANNAN,DMK,40109,1,53.81,2,N. V. NATARAJAN,1,12.13
Madras,1967,4,3,BASIN BRIDGE,GEN,K. RAMDAS,INC,30757,2,41.26,1,T. N. ANANTHANAYAKI,-1,-9.37
Madras,1967,4,3,BASIN BRIDGE,GEN,G. KANNAN,CPI,3450,3,4.63,,,,4.63
Madras,1967,4,4,PARK TOWN,GEN,H. V. HANDE,SWA,29144,1,51.57,,,,51.57
Madras,1967,4,4,PARK TOWN,GEN,T. N. ANANDANAYAKI,INC,26465,2,46.83,1,D. SULOCHANA,-1,-7.65
Madras,1967,4,4,PARK TOWN,GEN,P. C. KALYANASUNDARAM,BJS,384,3,0.68,,,,0.68
Madras,1967,4,5,PERAMBUR,SC,S. MUTHU,DMK,40364,1,54.19,,,,54.19
Madras,1967,4,5,PERAMBUR,SC,D. SULOCHANA,INC,33677,2,45.21,1,BASHYAM REDDY,-1,3.17
Madras,1967,4,6,PURASAWALKAM,GEN,V. S. GOVINDARAJAN,DMK,41272,1,58.04,1,K. A. MATHIALAGAN,0,12.45
Madras,1967,4,6,PURASAWALKAM,GEN,DAMODARAN,INC,29046,2,40.85,2,INDRANI CHANGALVARAYAN,0,-0.87
Madras,1967,4,6,PURASAWALKAM,GEN,KRISHNIAH,BJS,792,3,1.11,,,,1.11
Madras,1967,4,7,EGMORE,GEN,A. V. P. ASAITHAMBI,DMK,36133,1,54.2,2,ANBAZHAGAN,1,8.62
Madras,1967,4,7,EGMORE,GEN,J. VENCATACHELLUM,INC,29187,2,43.78,1,JOTHI VENKATACHALAM,-1,-4.47
Madras,1967,4,8,THOUSANDLIGHTS,GEN,K. A. MATHIALAGAN,DMK,39518,1,60.27,1,V. R. NEDUNCHEZHIAN,0,8.98
