State_Name,Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Madras,1967,4,CPI,32,2,24,0.8,6.25,8
Madras,1967,4,CPM,22,11,2,7.32,50.0,6
Madras,1967,4,DMK,174,137,0,13.38,78.74,3
Madras,1967,4,FBL,1,1,0,45.95,100.0,1
Madras,1967,4,INC,232,51,0,1.27,21.98,7
Madras,1967,4,IND,246,6,228,0.25,2.44,9
Madras,1967,4,PSP,4,4,0,12.69,100.0,2
Madras,1967,4,SSP,3,2,1,10.44,66.67,5
Madras,1967,4,SWA,27,20,2,11.92,74.07,4
Madras,1962,3,CPI,68,2,26,0.35,2.94,6
Madras,1962,3,DMK,143,50,11,4.66,34.97,3
Madras,1962,3,FB,6,3,0,9.68,50.0,2
Madras,1962,3,INC,206,139,0,10.32,67.48,1
Madras,1962,3,IND,207,5,189,0.29,2.42,7
Madras,1962,3,SOC,7,1,6,1.72,14.29,4
Madras,1962,3,SWA,94,6,59,0.59,6.38,5
