Assembly_No,MyNeta_education,MLAs_var
13,10th Pass,43
13,12th Pass,51
13,5th Pass,6
13,8th Pass,12
13,Doctorate,6
13,Graduate,74
13,Graduate Professional,43
13,Literate,4
13,Others,6
13,Post Graduate,35
13,Unknown,8
12,10th Pass,43
12,12th Pass,52
12,5th Pass,8
12,8th Pass,14
12,Doctorate,7
12,Graduate,65
12,Graduate Professional,49
12,Literate,3
12,Others,8
12,Post Graduate,28
12,Unknown,11
11,10th Pass,49
11,12th Pass,44
11,5th Pass,6
11,8th Pass,9
11,Doctorate,3
11,Graduate,74
11,Graduate Professional,29
11,Literate,4
11,Others,2
11,Post Graduate,25
11,Unknown,43
10,10th Pass,61
10,12th Pass,34
10,5th Pass,7
10,8th Pass,20
10,Doctorate,5
10,Graduate,67
10,Graduate Professional,30
10,Illiterate,2
10,Literate,7
10,Others,6
10,Post Graduate,35
10,Unknown,14
