Assembly_No,Total_Candidates,Contesting_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,Recontesting_Candidates,First_Contests,Second_Contests,Multiple_Contests,No_first_time_winners,First_Contest_Winners,Year,Recontesting_Candidates_pct,First_Contests_pct,Second_Contests_pct,Multiple_Contests_pct,Contesting_Incumbents_pct,Successful_Incumbents_pct,No_first_time_winners_pct,First_Contest_Winners_pct,Incumbent_Strike_Rate,Turncoat_Strike_Rate
13,3237,227,127,288,97,34,450,2720,216,301,118,78,2019,13.9,84.03,6.67,9.3,78.82,44.1,40.97,27.08,55.95,35.05
12,4119,231,119,288,134,26,503,3486,322,311,136,97,2014,12.21,84.63,7.82,7.55,80.21,41.32,47.22,33.68,51.52,19.4
11,3558,199,103,288,59,13,374,3079,207,272,157,117,2009,10.51,86.54,5.82,7.64,69.1,35.76,54.51,40.62,51.76,22.03
10,2678,217,129,288,79,18,397,2175,198,305,127,84,2004,14.82,81.22,7.39,11.39,75.35,44.79,44.1,29.17,59.45,22.78
9,2006,223,135,288,132,48,432,1479,255,272,116,79,1999,21.54,73.73,12.71,13.56,77.43,46.88,40.28,27.43,60.54,36.36
8,4708,214,112,288,68,13,425,4165,274,269,152,111,1995,9.03,88.47,5.82,5.71,74.31,38.89,52.78,38.54,52.34,19.12
7,3764,184,107,288,109,46,307,3331,226,207,155,114,1990,8.16,88.5,6,5.5,63.89,37.15,53.82,39.58,58.15,42.2
6,2230,135,77,288,54,27,275,1852,201,177,184,144,1985,12.33,83.05,9.01,7.94,46.88,26.74,63.89,50,57.04,50
5,1537,177,81,288,96,34,345,1155,284,98,188,131,1980,22.45,75.15,18.48,6.38,61.46,28.12,65.28,45.49,45.76,35.42
4,1819,109,36,288,55,25,188,1557,222,40,241,214,1978,10.34,85.6,12.2,2.2,37.85,12.5,83.68,74.31,33.03,45.45
3,1196,13,7,270,17,2,21,1095,92,9,230,223,1972,1.76,91.56,7.69,0.75,4.81,2.59,85.19,82.59,53.85,11.76
2,1242,10,8,270,4,1,20,1221,20,1,262,258,1967,1.61,98.31,1.61,0.08,3.7,2.96,97.04,95.56,80,25
1,1161,0,0,264,0,0,0,1161,0,0,264,264,1962,0,100,0,0,0,0,100,100,0,0
