State_Name,Year,Assembly_No,Party,Total_Seats_in_Assembly,Total_Votes_in_Assembly,Total_Votes_in_Contested_Seats,Total_Candidates,Winners,Deposits_Lost,Strike_Rate,Seat_Share,Vote_Share_in_Assembly,Vote_Share_in_Contested_Seats,position,Expanded_Party_Name
Maharashtra,2019,13,AAAP,288,55149929,4406839,24,0,23,0.0,0,0.1,1.31,17,
Maharashtra,2019,13,AAPP,288,55149929,418741,3,0,3,0.0,0,0,0.19,18,
Maharashtra,2019,13,ABEP,288,55149929,445066,2,0,2,0.0,0,0,0.34,19,
Maharashtra,2019,13,ABHM,288,55149929,1328249,7,0,7,0.0,0,0.01,0.4,20,
Maharashtra,2019,13,ABHS,288,55149929,371396,3,0,3,0.0,0,0.02,2.94,21,AKHIL BHARATIYA SENA
Maharashtra,2019,13,ABMP,288,55149929,207796,1,0,1,0.0,0,0,0.14,22,
Maharashtra,2019,13,AIFB,288,55149929,197914,1,0,1,0.0,0,0,0.18,23,
Maharashtra,2019,13,AIMF,288,55149929,108600,1,0,1,0.0,0,0,0.41,24,
Maharashtra,2019,13,AIMIM,288,55149929,7987399,44,2,35,4.545454545454546,0.69,1.34,9.24,7,ALL INDIA MAJLIS-E-ITTEHADUL MUSLIMEEN
Maharashtra,2019,13,ANC,288,55149929,1271830,6,0,6,0.0,0,0.01,0.27,25,
Maharashtra,2019,13,APoI,288,55149929,5301938,28,0,28,0.0,0,0.03,0.34,26,
Maharashtra,2019,13,ARP,288,55149929,655012,3,0,3,0.0,0,0,0.33,27,
Maharashtra,2019,13,AimPP,288,55149929,462089,4,0,4,0.0,0,0,0.11,28,
Maharashtra,2019,13,BAHUMP,288,55149929,4782988,25,0,25,0.0,0,0.02,0.27,29,
Maharashtra,2019,13,BALP,288,55149929,4793696,23,0,23,0.0,0,0.02,0.29,30,
Maharashtra,2019,13,BARESP,288,55149929,573436,3,0,3,0.0,0,0,0.19,31,
Maharashtra,2019,13,BDNP,288,55149929,177595,1,0,1,0.0,0,0,0.14,32,
Maharashtra,2019,13,BHABHAPA,288,55149929,118581,1,0,1,0.0,0,0,0.09,33,
Maharashtra,2019,13,BHAPRAP,288,55149929,210011,1,0,1,0.0,0,0,0.08,34,
Maharashtra,2019,13,BHJSRP,288,55149929,200319,1,0,1,0.0,0,0,0.33,35,
Maharashtra,2019,13,BHYS,288,55149929,228336,1,0,1,0.0,0,0,0.18,36,
Maharashtra,2019,13,BJP,288,55149929,31900377,164,105,3,64.02439024390245,36.46,25.75,44.51,1,BHARATIYA JANATA PARTY
Maharashtra,2019,13,BMFP,288,55149929,612245,4,0,4,0.0,0,0,0.19,37,
Maharashtra,2019,13,BMSM,288,55149929,129074,1,0,1,0.0,0,0,0.14,38,
Maharashtra,2019,13,BMUP,288,55149929,15581250,81,0,81,0.0,0,0.09,0.31,39,
Maharashtra,2019,13,BPSJP,288,55149929,443029,2,0,2,0.0,0,0,0.25,40,
Maharashtra,2019,13,BSP,288,55149929,50465778,262,0,261,0.0,0,0.92,1,41,
Maharashtra,2019,13,BTP,288,55149929,1929226,10,0,10,0.0,0,0.04,1.1,42,
Maharashtra,2019,13,BVA,288,55149929,5996818,31,3,28,9.67741935483871,1.04,0.67,6.15,6,BAHUJAN VIKAS AAGHADI
Maharashtra,2019,13,BhaRP,288,55149929,278231,1,0,1,0.0,0,0,0.32,43,
Maharashtra,2019,13,CPI,288,55149929,3167518,16,0,16,0.0,0,0.06,1.11,44,COMMUNIST PARTY OF INDIA
Maharashtra,2019,13,CPIM,288,55149929,2025872,11,1,9,9.090909090909092,0.35,0.37,10.14,10,
Maharashtra,2019,13,CSM,288,55149929,198641,1,0,1,0.0,0,0,0.27,45,
Maharashtra,2019,13,DJHP,288,55149929,193366,1,0,1,0.0,0,0,0.05,46,
Maharashtra,2019,13,DONP,288,55149929,189456,1,0,1,0.0,0,0,0.25,47,
Maharashtra,2019,13,GGP,288,55149929,2570027,13,0,12,0.0,0,0.15,3.21,48,GONDVANA GANTANTRA PARTY
Maharashtra,2019,13,HAPa,288,55149929,608873,3,0,3,0.0,0,0,0.18,49,
