State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Maharashtra,2019,13,1,AKKALKUWA,ST,ADV. K. C. PADAVI,INC,82770,1,41.26,1,PADAVI ADV. K.C.,0,4.47
Maharashtra,2019,13,1,AKKALKUWA,ST,AAMSHYA FULJI PADAVI,SHS,80674,2,40.21,4,AAMSHYA FULJI PADAVI,2,34.3
Maharashtra,2019,13,1,AKKALKUWA,ST,NOTA,NOTA,4857,4,2.42,6,None of the Above,2,0.04
Maharashtra,2019,13,1,AKKALKUWA,ST,ADV. KAILAS PRATAPSING VASAVE,AAAP,4055,5,2.02,,,,2.02
Maharashtra,2019,13,1,AKKALKUWA,ST,DR.SANJAY RAVLYA VALVI,BTP,2824,7,1.41,,,,1.41
Maharashtra,2019,13,2,SHAHADA,ST,Rajesh Udesing Padvi,BJP,94931,1,45.12,1,PADVI UDESING KOCHARU,0,13.74
Maharashtra,2019,13,2,SHAHADA,ST,Adv.Padmakar Vijaysing Valvi,INC,86940,2,41.32,2,PADMAKAR VIJAYSING VALVI,0,10.33
Maharashtra,2019,13,2,SHAHADA,ST,Mali Jaysing Devchand,CPIM,4060,4,1.93,,,,1.93
Maharashtra,2019,13,2,SHAHADA,ST,NOTA,NOTA,3449,5,1.64,7,None of the Above,2,0.16
Maharashtra,2019,13,3,NANDURBAR,ST,VIJAYKUMAR KRUSHNARAO GAVIT,BJP,121605,1,64.52,1,GAVIT VIJAYKUMAR KRUSHNARAO,0,12.19
Maharashtra,2019,13,3,NANDURBAR,ST,UDESING KOCHARU PADVI,INC,51209,2,27.17,2,VASAVE KUNAL BATESING,0,-11.16
Maharashtra,2019,13,3,NANDURBAR,ST,DIPA SHAMSHON VALVI,VBA,6734,3,3.57,,,,3.57
Maharashtra,2019,13,3,NANDURBAR,ST,NOTA,NOTA,3521,4,1.87,4,None of the Above,0,0.39
Maharashtra,2019,13,3,NANDURBAR,ST,VIPUL RAMSING VASAVE,BSP,1925,6,1.02,,,,1.02
Maharashtra,2019,13,3,NANDURBAR,ST,Adv.PRAKASH MOHAN GANGURDE,SWP,1448,7,0.77,,,,0.77
Maharashtra,2019,13,4,NAWAPUR,ST,Naik Shirishkumar Surupsing,INC,74652,1,34.3,1,NAIK SURUPSING HIRYA,0,-13.11
